Name,Image,DIY,Stack Size,Buy,Sell,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
bamboo lattice fence,,Yes,50,NFS,960,Crafting,,NA,NA,1.0.0,Yes,ItemFenceBamboo,3403,XaLnmQsQ47HfHQ9g5
barbed-wire fence,,Yes,50,NFS,1980,Crafting,,NA,NA,1.0.0,Yes,ItemFenceBarbedWire,5213,dNgibaR9jFqaDwuDZ
brick fence,,Yes,50,NFS,1200,Crafting,,NA,NA,1.0.0,Yes,ItemFenceWallRenga,3080,WAzanA7e5MREzJdMh
Bunny Day fence,,Yes,50,NFS,2400,Crafting,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,ItemFenceEgg,12630,CLQGhAfSNykpxrh3a
corral fence,,Yes,50,NFS,720,Crafting,,NA,NA,1.0.0,Yes,ItemFenceHorizontalWood,4349,rqwqYy7Aphvh5zBSA
country fence,,Yes,50,NFS,720,Crafting,,NA,NA,1.0.0,Yes,ItemFenceLog,4350,twwkbWJ8YsoJEy3j8
hedge,,Yes,50,NFS,55,Crafting,,Nature Day,No,1.2.0,Yes,ItemFenceIkegaki,12758,TphLYSh2MdogHdheg
imperial fence,,Yes,50,NFS,1200,Crafting,,NA,NA,1.0.0,Yes,ItemFenceChinese,4354,fHqt7TXfbhfKnPbwG
iron fence,,Yes,50,NFS,4500,Crafting,,NA,NA,1.0.0,Yes,ItemFenceSteel,4357,RL5hL24NbwzE7zv3R
iron-and-stone fence,,Yes,50,NFS,3150,Crafting,,NA,NA,1.0.0,Yes,ItemFenceIronAndStone,5206,kjSa4R6JQz2DtWQ2C
lattice fence,,Yes,50,NFS,960,Crafting,,NA,NA,1.0.0,Yes,ItemFenceLatiiceNatural,11712,qBrhYgaCnEiQYouP6
mermaid fence,,Yes,50,NFS,1310,Crafting,,NA,NA,1.7.0,Yes,ItemFenceMermaid,14278,ckHANkPvuKPj7P59Z
rope fence,,Yes,50,NFS,3000,Crafting,,NA,NA,1.0.0,Yes,ItemFencePegRope,4352,TpruAQnqeeYcDxPRj
simple wooden fence,,Yes,50,NFS,720,Crafting; Tom Nook,50 fences are given by Tom Nook after completing the three house plots during the main storyline,NA,NA,1.0.0,Yes,ItemFenceNatural,11711,bxF62vutvYBw9BTDT
spiky fence,,Yes,50,NFS,960,Crafting,,NA,NA,1.0.0,Yes,ItemFenceSharply,4358,gYccyRpBzpFCLLW56
spooky fence,,Yes,50,NFS,585,Crafting,,Halloween (ready days); Halloween,Yes,1.5.0,Yes,ItemFenceHalloween,13275,yHsjxz9cexo9WbDaK
stone fence,,Yes,50,NFS,600,Crafting,,NA,NA,1.0.0,Yes,ItemFenceStone,5212,ECNmTH3oh3SEDpHCr
straw fence,,Yes,50,NFS,560,Crafting,,NA,NA,1.0.0,Yes,ItemFenceDriedStraw,4356,yp69uEZTdfS9CkisA
vertical-board fence,,Yes,50,NFS,960,Crafting,,NA,NA,1.0.0,Yes,ItemFenceVerticalWood,3402,M9pkSgdAaKgQELi3E
wedding fence,,Yes,50,NFS,411,Crafting,,Wedding Season,Yes,1.2.0,Yes,ItemFenceJuneBride,12894,68uMh2zjCmeJukYhv
zen fence,,Yes,50,NFS,3300,Crafting,,NA,NA,1.0.0,Yes,ItemFenceJapanese,5207,yZeqREzefxeSiLAaP
