Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
acorn pochette,,NA,6,acorn,,,,,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,1.0.0,Yes,0,Equipment,7492,brown,BagShoulderAcorn0,NA,4682,632,a9FFbP64fTcJ3Cn5E
acoustic guitar,,NA,8,softwood,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,383,brown,FtrAcorsticguitar,NA,406,44,Y62RymJYgbmZEyQon
angled signpost,,NA,2,hardwood,3,softwood,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Housewares,7867,brown,FtrSignpostTilt,NA,440,510,BNiDaivRjGNzCckWw
apple chair,,NA,10,apple,4,wood,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,NA,NA,1.0.0,Yes,100,Housewares,4134,red,FtrFruitsChairApple,NA,1700,189,HB55bMQf4D57ekNf4
apple dress,,NA,8,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9836,red,TopsTexOnepieceAlineNApple0,NA,1782,621,KmfTvhh3qeyd6WcFJ
apple hat,,NA,5,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9871,red,CapHatApple0,NA,1781,622,5ABmQxkN3SatETcEg
apple rug,,NA,6,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Rugs,7327,red,RugOtherAppleM00,NA,1770,542,5noTnXTTPzBfbsaz2
apple umbrella,,NA,7,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9948,red,UmbrellaApple0,NA,1780,623,N2aQCn6hYqjw2ijPX
apple wall,,NA,20,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4916,red,RoomTexWallApple00,NA,1750,304,7azjirioafcXyzPHB
Aquarius urn,,NA,3,star fragment,2,Aquarius fragment,2,gold nugget,5,stone,,,,,NFS,200,NA,NA,Celeste,,Aquarius,Yes,1.0.0,Yes,0,Housewares,5956,silver,FtrZodiacAquarius,NA,2310,366,NGfmzz4ndL9MvLG2F
Aries rocking chair,,NA,3,star fragment,2,Aries fragment,1,gold nugget,5,stone,,,,,NFS,200,NA,NA,Celeste,,Aries,Yes,1.0.0,Yes,0,Housewares,5954,silver,FtrZodiacAries,NA,2300,367,XXJwFRCG4m9Q4xe6y
armor shoes,,NA,4,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Equipment,5472,dark gray,ShoesKneeKnightIron,NA,962,642,zbzh6s369wZ3anypo
aroma pot,,NA,3,clay,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,1753,brick,FtrAlomapot,NA,704,30,BTu3bRj64f2dwdDXa
asteroid,,NA,5,star fragment,10,stone,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1439,silver,FtrMeteo,NA,2203,235,BPNHraJWRXYZahLoJ
astronaut suit,,NA,5,star fragment,5,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1445,silver,FtrSpacesuit,NA,2220,236,sczENjHH7XW8e2n3Q
