Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Kit Type,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
air conditioner,,White,NA,NA,NA,No,No,No,NA,None,63000,15750,White,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_0_0,0_0,929,7EpH4QiWWq6i7j4yp
air conditioner,,Gray,NA,NA,NA,No,No,No,NA,None,63000,15750,Gray,Gray,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_1_0,1_0,929,iWBEC2WbBHnk4ikm3
air conditioner,,Black,NA,NA,NA,No,No,No,NA,None,63000,15750,Black,Black,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_2_0,2_0,929,wPNpj6gofFKDMneeS
air conditioner,,Pink,NA,NA,NA,No,No,No,NA,None,63000,15750,Pink,Pink,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_3_0,3_0,929,SyG8yuDJjnxjRRAYJ
air conditioner,,Blue,NA,NA,NA,No,No,No,NA,None,63000,15750,Aqua,Aqua,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_4_0,4_0,929,fBngP3empPftMfnsB
air conditioner,,Brown,NA,NA,NA,No,No,No,NA,None,63000,15750,Brown,Brown,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_5_0,5_0,929,B5d8BvAPL6TJeYMZB
antique phone,,Brown,NA,NA,NA,No,No,No,NA,None,16000,4000,Brown,Yellow,NA,NA,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,living room,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_0_0,0_0,3953,hJBB3R4NDJrTGhQK7
antique phone,,Natural,NA,NA,NA,No,No,No,NA,None,16000,4000,Beige,Yellow,NA,NA,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,living room,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_1_0,1_0,3953,6EomSi8yTfRRCoxwn
antique phone,,Black,NA,NA,NA,No,No,No,NA,None,16000,4000,Black,Yellow,NA,NA,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,living room,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_2_0,2_0,3953,SSHmqTAWCt99jDNq8
autograph cards,,Signature,NA,Musician's signature,Signature,No,No,Yes,1,Normal,1400,350,White,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_0_0,0_0,1899,HpebEX4QbjWeQGmPb
autograph cards,,Signature,NA,Comedian's signature,Signature,No,No,Yes,1,Normal,1400,350,White,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_0_1,0_1,1899,agiS2suZcLp3cZp7x
autograph cards,,Handprints,NA,Musician's signature,Signature,No,No,Yes,1,Normal,1400,350,Beige,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_1_0,1_0,1899,XzBB69cXctRGbKen7
