id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
57818,20210425152431,2021-04-26,275948,"Hollywood, Florida, United States",Hollywood,26.0167,-80.12437,Entire house,Entire home/apt,4,163.0,2,19,49,79,354,2021-04-26,45,92.0,9.0,10.0,10.0,10.0,9.0,1,0.44,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
216046,20210425152431,2021-04-26,964836,"Hollywood, Florida, United States",Hollywood,26.007460000000002,-80.19631,Entire house,Entire home/apt,10,276.0,2,3,5,15,207,2021-04-26,56,93.0,9.0,10.0,9.0,9.0,9.0,1,0.49,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
433485,20210425152431,2021-04-26,1774750,"Hollywood, Florida, United States",Hollywood,26.03173,-80.20597,Entire townhouse,Entire home/apt,4,58.0,5,0,0,0,0,2021-04-26,55,91.0,8.0,10.0,10.0,10.0,9.0,3,1.49,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
722515,20210425152431,2021-04-26,2609518,"Hollywood, Florida, United States",Hollywood,26.0073,-80.15713000000001,Entire villa,Entire home/apt,10,743.0,3,7,24,39,201,2021-04-26,196,97.0,9.0,10.0,10.0,10.0,10.0,10,1.9,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
912964,20210425152431,2021-04-26,4787710,"Hollywood, Florida, United States",Hollywood,25.98925,-80.11882,Entire apartment,Entire home/apt,8,150.0,2,5,14,14,157,2021-04-26,64,90.0,9.0,9.0,9.0,10.0,9.0,1,0.64,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
1173175,20210425152431,2021-04-26,2604965,"Hollywood, Florida, United States",Hollywood,26.02862,-80.16496,Entire house,Entire home/apt,6,632.0,2,29,59,89,364,2021-04-26,40,99.0,10.0,10.0,10.0,9.0,10.0,1,0.42,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
1293741,20210425152431,2021-04-26,6321234,"Hollywood, Florida, United States",Hollywood,25.987070000000003,-80.11925,Entire condominium,Entire home/apt,7,224.0,4,5,8,17,256,2021-04-26,187,97.0,10.0,10.0,10.0,10.0,10.0,1,1.97,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
1658551,20210425152431,2021-04-26,8790381,"Hollywood, Florida, United States",Hollywood,25.98869,-80.11806,Entire condominium,Entire home/apt,2,119.0,4,1,5,24,299,2021-04-26,16,93.0,9.0,8.0,9.0,10.0,9.0,11,0.18,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
1987335,20210425152431,2021-04-26,8790381,"Hollywood, Florida, United States",Hollywood,25.98869,-80.11806,Entire condominium,Entire home/apt,4,136.0,4,4,20,41,311,2021-04-26,28,91.0,10.0,9.0,10.0,10.0,9.0,11,0.38,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
2274922,20210425152431,2021-04-26,11584719,"Hollywood, Florida, United States",Hollywood,26.01166,-80.11576,Entire condominium,Entire home/apt,4,122.0,2,16,36,64,335,2021-04-26,20,95.0,9.0,10.0,10.0,10.0,10.0,1,3.92,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
2410896,20210425152431,2021-04-26,8790381,"Hollywood, Florida, United States",Hollywood,25.98869,-80.11806,Entire condominium,Entire home/apt,6,214.0,4,0,7,28,298,2021-04-26,26,90.0,10.0,10.0,10.0,9.0,9.0,11,0.34,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
2615921,20210425152431,2021-04-26,13397314,"Hollywood, Florida, United States",Hollywood,26.01285,-80.12824,Entire villa,Entire home/apt,16,1457.0,3,17,33,51,219,2021-04-26,38,93.0,9.0,10.0,10.0,10.0,9.0,1,0.55,HOLLYWOOD,FL,12086,Miami-Dade County,28.6,776975,98.8,33023
