id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
8521,20210427031817,2021-04-28,306681,"Cambridge, Massachusetts, United States",West Cambridge,42.38258,-71.13646,Entire apartment,Entire home/apt,5,150.0,2,6,11,13,42,2021-04-28,36,94.0,10.0,10.0,10.0,10.0,9.0,2,0.25,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
326170,20210427031817,2021-04-28,1665697,"Cambridge, Massachusetts, United States",Agassiz,42.380990000000004,-71.11265,Entire guest suite,Entire home/apt,3,81.0,1,0,0,0,0,2021-04-28,224,97.0,10.0,10.0,10.0,10.0,10.0,1,2.0,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
1893287,20210427031817,2021-04-28,9553483,"Cambridge, Massachusetts, United States",The Port,42.36571,-71.1023,Entire apartment,Entire home/apt,2,145.0,2,0,0,0,0,2021-04-28,159,98.0,9.0,10.0,10.0,10.0,10.0,1,1.76,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
1935343,20210427031817,2021-04-28,10014448,"Cambridge, Massachusetts, United States",Cambridgeport,42.35715,-71.11026,Entire guest suite,Entire home/apt,2,145.0,2,18,31,48,314,2021-04-28,193,95.0,10.0,10.0,10.0,10.0,9.0,1,2.2,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
2038283,20210427031817,2021-04-28,4521987,"Cambridge, Massachusetts, United States",Mid-Cambridge,42.37247,-71.11381,Entire condominium,Entire home/apt,2,120.0,4,3,26,30,30,2021-04-28,138,96.0,10.0,10.0,10.0,10.0,10.0,1,1.56,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
2580942,20210427031817,2021-04-28,430015,"Cambridge, Massachusetts, United States",The Port,42.3695,-71.09921,Entire apartment,Entire home/apt,5,336.0,3,23,47,55,323,2021-04-28,264,98.0,10.0,10.0,10.0,10.0,10.0,2,3.12,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
3774900,20210427031817,2021-04-28,6823717,"Cambridge, Massachusetts, United States",Cambridgeport,42.360240000000005,-71.11398,Entire house,Entire home/apt,4,104.0,2,0,1,23,251,2021-04-28,263,96.0,10.0,10.0,10.0,10.0,10.0,1,3.27,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
6106691,20210427031817,2021-04-28,8824696,"Cambridge, Massachusetts, United States",West Cambridge,42.38085,-71.13546,Entire house,Entire home/apt,6,362.0,1,0,17,37,312,2021-04-28,149,95.0,10.0,10.0,10.0,10.0,9.0,2,2.08,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
6662157,20210427031817,2021-04-28,30719211,"Cambridge, Massachusetts, United States",North Cambridge,42.39277,-71.13114,Entire guest suite,Entire home/apt,10,391.0,2,0,8,19,281,2021-04-28,141,99.0,10.0,10.0,10.0,10.0,10.0,1,1.97,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
9300963,20210427031817,2021-04-28,21103602,"Cambridge, Massachusetts, United States",North Cambridge,42.39478,-71.12946,Entire apartment,Entire home/apt,4,150.0,3,0,0,26,86,2021-04-28,34,100.0,10.0,10.0,10.0,10.0,10.0,1,0.52,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
9341968,20210427031817,2021-04-28,33963271,"Cambridge, Massachusetts, United States",Neighborhood Nine,42.38295,-71.12878,Entire loft,Entire home/apt,2,130.0,2,5,24,43,296,2021-04-28,250,94.0,9.0,10.0,10.0,10.0,10.0,1,3.84,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
10355885,20210427031817,2021-04-28,51536389,"Cambridge, Massachusetts, United States",The Port,42.368759999999995,-71.10023000000001,Entire condominium,Entire home/apt,9,363.0,5,16,31,61,241,2021-04-28,109,92.0,9.0,10.0,10.0,10.0,9.0,3,1.7,CAMBRIDGE,MA,25017,Middlesex County,34.2,551572,87.8,02138
