id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
5387,20210414165557,2021-04-17,7878,"Captain Cook, Hawaii, United States",South Kona,19.43081,-155.88069,Entire apartment,Entire home/apt,2,86.0,5,0,5,7,218,2021-04-17,173,93.0,9.0,10.0,10.0,10.0,10.0,3,1.27,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
36877,20210414165557,2021-04-17,159123,"Captain Cook, Hawaii, United States",South Kona,19.31731,-155.87708999999998,Entire guest suite,Entire home/apt,2,135.0,2,24,54,84,359,2021-04-17,163,92.0,9.0,10.0,10.0,10.0,9.0,1,1.41,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
1256665,20210414165557,2021-04-17,5659421,"Captain Cook, Hawaii, United States",South Kona,19.315,-155.8795,Entire house,Entire home/apt,6,145.0,3,7,10,22,198,2021-04-17,317,94.0,9.0,10.0,10.0,10.0,10.0,1,3.32,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
2136529,20210414165557,2021-04-17,2491422,"Captain Cook, Hawaii, United States",South Kona,19.274720000000002,-155.87153999999998,Entire apartment,Entire home/apt,2,85.0,1,9,18,40,272,2021-04-17,83,96.0,10.0,10.0,10.0,9.0,10.0,2,0.94,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
2587328,20210414165557,2021-04-17,13248873,"Captain Cook, Hawaii, United States",South Kona,19.30467,-155.87303,Entire cabin,Entire home/apt,4,115.0,4,1,4,6,142,2021-04-17,59,99.0,10.0,10.0,10.0,10.0,10.0,2,0.75,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
2817747,20210414165557,2021-04-17,14413970,"Captain Cook, Hawaii, United States",South Kona,19.20603,-155.9013,Entire cottage,Entire home/apt,6,234.0,1,5,5,7,183,2021-04-17,131,95.0,10.0,10.0,10.0,9.0,10.0,2,1.61,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
5259604,20210414165557,2021-04-17,27224031,"Captain Cook, Hawaii, United States",South Kona,19.31425,-155.88366000000002,Entire house,Entire home/apt,6,125.0,5,0,1,2,132,2021-04-17,98,98.0,10.0,10.0,10.0,10.0,10.0,1,1.3,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
5640741,20210414165557,2021-04-17,29232870,"Captain Cook, Hawaii, United States",South Kona,19.187910000000002,-155.89756,Entire house,Entire home/apt,12,321.0,3,20,31,37,247,2021-04-17,74,98.0,10.0,10.0,10.0,9.0,9.0,2,1.47,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
6360908,20210414165557,2021-04-17,33138754,"Captain Cook, Hawaii, United States",South Kona,19.157529999999998,-155.8596,Entire guesthouse,Entire home/apt,2,105.0,2,3,17,19,249,2021-04-17,102,100.0,10.0,10.0,10.0,10.0,10.0,1,1.46,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
7637694,20210414165557,2021-04-17,16445159,"Captain Cook, Hawaii, United States",South Kona,19.43553,-155.89112,Entire apartment,Entire home/apt,2,90.0,3,0,3,32,307,2021-04-17,39,94.0,10.0,9.0,10.0,10.0,9.0,2,0.63,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
7887505,20210414165557,2021-04-17,41583178,"Captain Cook, Hawaii, United States",South Kona,19.208270000000002,-155.89997,Entire house,Entire home/apt,4,260.0,3,3,6,12,156,2021-04-17,64,98.0,10.0,10.0,10.0,9.0,10.0,1,0.96,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
9197930,20210414165557,2021-04-17,1596111,"Captain Cook, Hawaii, United States",South Kona,19.473489999999998,-155.91858,Entire house,Entire home/apt,8,250.0,5,0,0,4,140,2021-04-17,21,98.0,10.0,10.0,10.0,10.0,10.0,2,0.36,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
9417161,20210414165557,2021-04-17,48828256,"Captain Cook, Hawaii, United States",South Kona,19.19568,-155.86899,Tent,Entire home/apt,2,76.0,1,0,29,58,58,2021-04-17,14,91.0,8.0,9.0,10.0,9.0,8.0,2,0.23,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
13822881,20210414165557,2021-04-17,169230,"Captain Cook, Hawaii, United States",South Kona,19.47291,-155.91803000000002,Entire house,Entire home/apt,8,599.0,5,1,7,10,79,2021-04-17,48,100.0,10.0,10.0,10.0,10.0,10.0,1,0.85,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
16185163,20210414165557,2021-04-17,96813222,"Captain Cook, Hawaii, United States",South Kona,19.20886,-155.90033,Entire house,Entire home/apt,5,175.0,6,6,13,21,223,2021-04-17,46,100.0,10.0,10.0,10.0,10.0,10.0,1,0.88,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
19786346,20210414165557,2021-04-17,139701460,"Captain Cook, Hawaii, United States",South Kona,19.166629999999998,-155.86565,Entire cabin,Entire home/apt,2,85.0,3,0,0,0,228,2021-04-17,24,92.0,9.0,10.0,9.0,9.0,9.0,2,0.56,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
19790298,20210414165557,2021-04-17,139747552,"Captain Cook, Hawaii, United States",South Kona,19.20724,-155.90198,Entire house,Entire home/apt,8,130.0,3,1,1,1,1,2021-04-17,10,96.0,9.0,10.0,10.0,9.0,9.0,3,0.25,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
19970365,20210414165557,2021-04-17,141610279,"Captain Cook, Hawaii, United States",South Kona,19.470570000000002,-155.91879,Entire house,Entire home/apt,8,325.0,3,1,1,2,100,2021-04-17,62,97.0,10.0,10.0,10.0,10.0,9.0,1,1.54,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
20536932,20210414165557,2021-04-17,121679638,"Captain Cook, Hawaii, United States",South Kona,19.31423,-155.87705,Entire house,Entire home/apt,4,241.0,3,4,4,13,263,2021-04-17,23,97.0,9.0,10.0,10.0,10.0,10.0,47,0.55,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
20692139,20210414165557,2021-04-17,17652427,"Captain Cook, Hawaii, United States",South Kona,19.3145,-155.88485,Entire apartment,Entire home/apt,3,125.0,5,10,19,49,138,2021-04-17,74,97.0,10.0,10.0,10.0,9.0,10.0,1,1.73,CAPTAIN COOK,HI,15001,Hawaii County,0.0,0,0.0,96704
