id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
13776,20210407173820,2021-04-10,31306,"Redondo Beach, California, United States",Redondo Beach,33.83931,-118.38638,Entire cottage,Entire home/apt,4,175.0,2,1,1,1,1,2021-04-10,178,97.0,10.0,10.0,10.0,10.0,10.0,3,1.3,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
14124,20210407173820,2021-04-10,31306,"Redondo Beach, California, United States",Redondo Beach,33.83931,-118.38638,Entire cottage,Entire home/apt,4,175.0,2,2,15,27,261,2021-04-10,164,96.0,10.0,10.0,10.0,10.0,10.0,3,1.24,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
24041,20210407173820,2021-04-10,39253,"Redondo Beach, California, United States",Redondo Beach,33.83198,-118.38253999999999,Entire bungalow,Entire home/apt,2,155.0,4,5,6,6,227,2021-04-10,348,94.0,9.0,10.0,10.0,10.0,9.0,2,2.59,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
4068682,20210407173820,2021-04-10,14591657,"Redondo Beach, California, United States",Redondo Beach,33.83059,-118.38546000000001,Entire apartment,Entire home/apt,4,158.0,3,3,6,9,201,2021-04-10,278,97.0,10.0,10.0,10.0,10.0,10.0,2,3.52,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
7265493,20210407173820,2021-04-10,10156997,"Redondo Beach, California, United States",Redondo Beach,33.88559,-118.36431,Entire guesthouse,Entire home/apt,2,169.0,2,4,11,17,259,2021-04-10,239,99.0,10.0,10.0,10.0,10.0,10.0,1,3.46,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
7347374,20210407173820,2021-04-10,15606215,"Redondo Beach, California, United States",Redondo Beach,33.82727,-118.3857,Entire house,Entire home/apt,3,191.0,2,0,9,18,243,2021-04-10,70,95.0,9.0,10.0,10.0,10.0,9.0,3,1.01,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
10393333,20210407173820,2021-04-10,53511541,"Redondo Beach, California, United States",Redondo Beach,33.84055,-118.38771000000001,Entire bungalow,Entire home/apt,3,225.0,3,0,0,0,0,2021-04-10,5,96.0,10.0,10.0,10.0,10.0,10.0,2,0.08,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
10541934,20210407173820,2021-04-10,51861201,"Redondo Beach, California, United States",Redondo Beach,33.86962,-118.38803,Entire house,Entire home/apt,6,442.0,2,0,0,0,0,2021-04-10,62,99.0,10.0,10.0,10.0,10.0,10.0,2,1.03,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
11066562,20210407173820,2021-04-10,57441366,"Redondo Beach, California, United States",Redondo Beach,33.83036,-118.38948,Entire guest suite,Entire home/apt,3,175.0,5,14,44,66,334,2021-04-10,139,93.0,9.0,10.0,10.0,10.0,10.0,2,2.29,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
24246278,20210407173820,2021-04-10,182811042,"Redondo Beach, California, United States",Redondo Beach,33.82717,-118.37521000000001,Entire guesthouse,Entire home/apt,2,135.0,4,11,32,47,47,2021-04-10,12,100.0,10.0,10.0,10.0,10.0,10.0,1,0.37,REDONDO BEACH,CA,06037,Los Angeles County,20.9,2095921,96.8,90277
