id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
5739,20210423160936,2021-04-25,9276,"Oakland, California, United States",Oakland Ave-Harrison St,37.813520000000004,-122.26055,Entire guest suite,Entire home/apt,2,125.0,6,1,30,54,54,2021-04-25,265,99.0,10.0,10.0,10.0,10.0,10.0,1,1.85,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
302629,20210423160936,2021-04-25,1551566,"Oakland, California, United States",Glen Highlands,37.84387,-122.22153999999999,Entire guest suite,Entire home/apt,2,88.0,3,1,1,2,58,2021-04-25,132,98.0,10.0,10.0,10.0,10.0,10.0,1,1.17,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
503632,20210423160936,2021-04-25,1481714,"Oakland, California, United States",Shafter,37.83885,-122.25628,Entire house,Entire home/apt,4,162.0,3,1,25,47,47,2021-04-25,164,96.0,10.0,10.0,10.0,10.0,10.0,1,1.53,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
634312,20210423160936,2021-04-25,3158871,"Oakland, California, United States",Oakmore,37.80664,-122.20918,Entire guest suite,Entire home/apt,2,95.0,2,0,3,8,226,2021-04-25,256,97.0,10.0,10.0,10.0,10.0,10.0,1,2.42,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
778782,20210423160936,2021-04-25,201447,"Oakland, California, United States",Shafter,37.83717,-122.25506000000001,Entire house,Entire home/apt,4,240.0,3,0,0,0,0,2021-04-25,23,97.0,10.0,10.0,10.0,10.0,10.0,2,0.26,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
871044,20210423160936,2021-04-25,2006749,"Oakland, California, United States",Paradise Park,37.846470000000004,-122.27991999999999,Entire apartment,Entire home/apt,2,93.0,1,13,37,66,341,2021-04-25,413,95.0,9.0,10.0,10.0,10.0,9.0,1,4.32,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
883762,20210423160936,2021-04-25,4679636,"Oakland, California, United States",Shafter,37.83717,-122.25738999999999,Entire guesthouse,Entire home/apt,2,110.0,1,0,0,0,146,2021-04-25,520,98.0,10.0,10.0,10.0,10.0,10.0,1,6.14,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
1197379,20210423160936,2021-04-25,3046829,"Oakland, California, United States",Shafter,37.84274,-122.25273999999999,Entire guest suite,Entire home/apt,2,118.0,3,3,7,7,244,2021-04-25,354,97.0,10.0,10.0,10.0,10.0,10.0,1,3.7,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
1919711,20210423160936,2021-04-25,9667769,"Oakland, California, United States",Longfellow,37.836240000000004,-122.27216000000001,Entire bungalow,Entire home/apt,6,275.0,3,0,30,57,328,2021-04-25,67,94.0,9.0,10.0,10.0,9.0,9.0,2,0.74,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
2442776,20210423160936,2021-04-25,763380,"Oakland, California, United States",Grand Lake,37.81694,-122.24703999999998,Entire guest suite,Entire home/apt,2,136.0,1,24,42,71,346,2021-04-25,244,97.0,10.0,10.0,10.0,10.0,9.0,1,2.88,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
3209094,20210423160936,2021-04-25,6262310,"Oakland, California, United States",Oakmore,37.811240000000005,-122.21146999999999,Entire house,Entire home/apt,6,330.0,3,0,0,0,115,2021-04-25,17,96.0,10.0,10.0,10.0,10.0,9.0,1,0.21,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
3774808,20210423160936,2021-04-25,19353583,"Oakland, California, United States",Upper Rockridge,37.84095,-122.24821999999999,Entire house,Entire home/apt,2,139.0,3,0,0,0,145,2021-04-25,274,99.0,10.0,10.0,10.0,10.0,10.0,1,3.38,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
4407529,20210423160936,2021-04-25,801232,"Oakland, California, United States",Shepherd Canyon,37.836090000000006,-122.18959,Entire apartment,Entire home/apt,3,120.0,5,0,0,0,267,2021-04-25,186,98.0,10.0,10.0,10.0,10.0,10.0,1,2.36,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
5815992,20210423160936,2021-04-25,30181009,"Oakland, California, United States",Shafter,37.836659999999995,-122.25703999999999,Entire guest suite,Entire home/apt,2,140.0,2,9,34,60,144,2021-04-25,234,97.0,10.0,10.0,10.0,10.0,10.0,1,3.18,OAKLAND,CA,06001,Alameda County,35.0,585461,96.8,94601
