id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
41014,20210430164821,2021-04-30,174738,"Pacific Grove, California, United States",Pacific Grove,36.63242,-121.93791,Entire house,Entire home/apt,13,1200.0,3,1,2,6,6,2021-04-30,108,99.0,10.0,10.0,10.0,10.0,10.0,1,0.89,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
4269074,20210430164821,2021-04-30,22162277,"Pacific Grove, California, United States",Pacific Grove,36.62721,-121.91984,Entire house,Entire home/apt,6,599.0,3,5,12,12,231,2021-04-30,41,96.0,10.0,10.0,10.0,10.0,9.0,1,0.52,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
5238711,20210430164821,2021-04-30,14806795,"Pacific Grove, California, United States",Pacific Grove,36.61945,-121.91408999999999,Entire house,Entire home/apt,8,675.0,3,3,8,12,230,2021-04-30,47,97.0,10.0,10.0,10.0,10.0,9.0,2,0.67,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
6715036,20210430164821,2021-04-30,35157242,"Pacific Grove, California, United States",Pacific Grove,36.599759999999996,-121.93263,Entire house,Entire home/apt,2,225.0,2,0,0,0,57,2021-04-30,29,95.0,9.0,10.0,10.0,10.0,9.0,1,1.4,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
11210583,20210430164821,2021-04-30,58388459,"Pacific Grove, California, United States",Pacific Grove,36.62399,-121.92088999999999,Entire bungalow,Entire home/apt,4,414.0,3,25,43,73,340,2021-04-30,112,99.0,10.0,10.0,10.0,10.0,9.0,2,1.96,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
12027823,20210430164821,2021-04-30,46785054,"Pacific Grove, California, United States",Pacific Grove,36.62359,-121.91601999999999,Entire house,Entire home/apt,4,548.0,1,9,18,30,219,2021-04-30,24,95.0,10.0,10.0,10.0,10.0,9.0,16,0.42,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
14388930,20210430164821,2021-04-30,14882503,"Pacific Grove, California, United States",Pacific Grove,36.62395,-121.93423,Entire house,Entire home/apt,2,195.0,4,1,1,1,147,2021-04-30,53,100.0,10.0,10.0,10.0,10.0,10.0,1,1.03,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
16476278,20210430164821,2021-04-30,2360802,"Pacific Grove, California, United States",Pacific Grove,36.62676,-121.91968999999999,Entire house,Entire home/apt,6,121.0,1,6,6,6,219,2021-04-30,33,95.0,9.0,10.0,10.0,10.0,9.0,2,0.63,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
17623471,20210430164821,2021-04-30,4591051,"Pacific Grove, California, United States",Pacific Grove,36.62243,-121.92963,Entire house,Entire home/apt,4,270.0,2,4,10,16,251,2021-04-30,211,99.0,10.0,10.0,10.0,10.0,10.0,3,4.24,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
19789713,20210430164821,2021-04-30,139737993,"Pacific Grove, California, United States",Pacific Grove,36.62603,-121.91821999999999,Entire house,Entire home/apt,8,541.0,2,14,29,40,264,2021-04-30,170,98.0,10.0,10.0,10.0,10.0,10.0,1,3.74,PACIFIC GROVE,CA,06053,Monterey County,29.6,128315,96.9,93950
