id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
12651,20210423223743,2021-04-24,49735,"Menlo Park, California, United States",Unincorporated Areas,37.431709999999995,-122.19828999999999,Entire guest suite,Entire home/apt,1,197.0,3,0,0,0,0,2021-04-24,152,98.0,10.0,10.0,10.0,10.0,10.0,4,1.11,MENLO PARK,CA,06081,San Mateo County,36.5,279807,96.8,94025
6054230,20210423223743,2021-04-24,6510205,"Menlo Park, California, United States",Menlo Park,37.45547,-122.15705,Entire house,Entire home/apt,6,550.0,4,0,2,2,2,2021-04-24,32,98.0,10.0,10.0,10.0,10.0,9.0,2,0.45,MENLO PARK,CA,06081,San Mateo County,36.5,279807,96.8,94025
27810459,20210423223743,2021-04-24,3171740,"Menlo Park, California, United States",Menlo Park,37.45836,-122.18776000000001,Entire condominium,Entire home/apt,5,150.0,2,0,0,0,0,2021-04-24,9,100.0,10.0,10.0,10.0,10.0,10.0,1,0.28,MENLO PARK,CA,06081,San Mateo County,36.5,279807,96.8,94025
28467145,20210423223743,2021-04-24,175566646,"Menlo Park, California, United States",Menlo Park,37.47883,-122.18133999999999,Entire house,Entire home/apt,5,165.0,4,2,2,2,2,2021-04-24,56,96.0,9.0,10.0,10.0,10.0,9.0,1,1.78,MENLO PARK,CA,06081,San Mateo County,36.5,279807,96.8,94025
44234017,20210423223743,2021-04-24,379711454,"Menlo Park, California, United States",Menlo Park,37.48583,-122.18283999999998,Entire apartment,Entire home/apt,6,179.0,2,0,0,0,0,2021-04-24,38,94.0,9.0,9.0,10.0,9.0,9.0,3,4.04,MENLO PARK,CA,06081,San Mateo County,36.5,279807,96.8,94025
44234022,20210423223743,2021-04-24,379711454,"Menlo Park, California, United States",Menlo Park,37.48603,-122.18248999999999,Entire apartment,Entire home/apt,4,149.0,2,0,0,0,0,2021-04-24,28,94.0,9.0,9.0,9.0,10.0,9.0,3,3.15,MENLO PARK,CA,06081,San Mateo County,36.5,279807,96.8,94025
44504,20210423223743,2021-04-24,195645,"Burlingame, California, United States",Burlingame,37.58959,-122.36708,Entire apartment,Entire home/apt,2,210.0,3,0,0,0,0,2021-04-24,149,97.0,10.0,10.0,10.0,10.0,10.0,2,1.16,BURLINGAME,CA,06081,San Mateo County,36.5,279807,96.8,94010
4404959,20210423223743,2021-04-24,195645,"Burlingame, California, United States",Burlingame,37.58951,-122.36697,Entire apartment,Entire home/apt,2,165.0,1,0,0,0,0,2021-04-24,83,97.0,10.0,10.0,10.0,9.0,10.0,2,1.1,BURLINGAME,CA,06081,San Mateo County,36.5,279807,96.8,94010
15324289,20210423223743,2021-04-24,1176292,"Burlingame, California, United States",Burlingame,37.5837,-122.35094,Entire guesthouse,Entire home/apt,2,110.0,3,0,0,0,0,2021-04-24,87,93.0,10.0,10.0,10.0,10.0,9.0,1,1.87,BURLINGAME,CA,06081,San Mateo County,36.5,279807,96.8,94010
21295501,20210423223743,2021-04-24,154097991,"Burlingame, California, United States",Burlingame,37.581990000000005,-122.3606,Entire guest suite,Entire home/apt,3,155.0,2,0,0,0,0,2021-04-24,64,99.0,10.0,10.0,10.0,10.0,10.0,1,1.52,BURLINGAME,CA,06081,San Mateo County,36.5,279807,96.8,94010
45179011,20210423223743,2021-04-24,275917251,"Burlingame, California, United States",Burlingame,37.58672,-122.35699,Entire apartment,Entire home/apt,4,105.0,2,0,0,0,0,2021-04-24,1,100.0,10.0,10.0,10.0,10.0,10.0,2,0.13,BURLINGAME,CA,06081,San Mateo County,36.5,279807,96.8,94010
45287,20210423223743,2021-04-26,200479,"Burlingame, California, United States",Burlingame,37.58082,-122.34031,Entire guesthouse,Entire home/apt,2,125.0,3,12,42,72,162,2021-04-26,258,98.0,10.0,10.0,10.0,10.0,10.0,1,2.02,BURLINGAME,CA,06081,San Mateo County,37.7,289094,96.9,94010
2865481,20210423223743,2021-04-26,4746905,"Burlingame, California, United States",Burlingame,37.58273,-122.35975,Entire guest suite,Entire home/apt,2,119.0,1,0,24,54,329,2021-04-26,288,96.0,10.0,10.0,10.0,10.0,9.0,2,3.41,BURLINGAME,CA,06081,San Mateo County,37.7,289094,96.9,94010
3176811,20210423223743,2021-04-26,4746905,"Burlingame, California, United States",Burlingame,37.58,-122.36218000000001,Entire apartment,Entire home/apt,3,139.0,1,1,1,1,1,2021-04-26,196,96.0,10.0,10.0,10.0,10.0,9.0,2,2.4,BURLINGAME,CA,06081,San Mateo County,37.7,289094,96.9,94010
10503669,20210423223743,2021-04-26,16746040,"Burlingame, California, United States",Unincorporated Areas,37.5786,-122.38729,Entire house,Entire home/apt,2,139.0,2,10,21,27,297,2021-04-26,32,100.0,10.0,10.0,10.0,10.0,10.0,1,0.5,BURLINGAME,CA,06081,San Mateo County,37.7,289094,96.9,94010
12525192,20210423223743,2021-04-26,14091111,"Burlingame, California, United States",Burlingame,37.58487,-122.39266,Entire house,Entire home/apt,12,638.0,5,20,50,80,161,2021-04-26,147,97.0,10.0,10.0,10.0,10.0,9.0,2,2.46,BURLINGAME,CA,06081,San Mateo County,37.7,289094,96.9,94010
13437202,20210423223743,2021-04-26,650456,"Burlingame, California, United States",Burlingame,37.58379,-122.36152,Entire house,Entire home/apt,6,289.0,2,8,13,26,119,2021-04-26,150,99.0,10.0,10.0,10.0,10.0,10.0,1,2.6,BURLINGAME,CA,06081,San Mateo County,37.7,289094,96.9,94010
23233752,20210423223743,2021-04-26,12403118,"Burlingame, California, United States",Burlingame,37.58352,-122.35673,Entire guest suite,Entire home/apt,2,128.0,3,3,19,40,288,2021-04-26,85,98.0,10.0,10.0,10.0,9.0,10.0,1,2.25,BURLINGAME,CA,06081,San Mateo County,37.7,289094,96.9,94010
72211,20210423223743,2021-04-26,101491,"Portola Valley, California, United States",Portola Valley,37.3878,-122.20206,Entire house,Entire home/apt,8,385.0,3,1,2,3,179,2021-04-26,103,98.0,10.0,10.0,10.0,10.0,10.0,1,0.86,PORTOLA VALLEY,CA,06085,Santa Clara County,31.5,608092,96.9,94028
4110458,20210423223743,2021-04-26,723831,"Portola Valley, California, United States",Portola Valley,37.393640000000005,-122.20183,Entire guesthouse,Entire home/apt,4,306.0,3,15,36,37,300,2021-04-26,72,97.0,9.0,10.0,10.0,10.0,9.0,1,0.9,PORTOLA VALLEY,CA,06085,Santa Clara County,31.5,608092,96.9,94028
5170921,20210423223743,2021-04-26,24620845,"Portola Valley, California, United States",Portola Valley,37.3856,-122.19823999999998,Entire guesthouse,Entire home/apt,4,230.0,3,2,16,29,282,2021-04-26,105,100.0,10.0,10.0,10.0,10.0,10.0,1,1.39,PORTOLA VALLEY,CA,06085,Santa Clara County,31.5,608092,96.9,94028
12808843,20210423223743,2021-04-26,29570261,"Portola Valley, California, United States",Unincorporated Areas,37.34445,-122.1997,Entire guesthouse,Entire home/apt,2,170.0,2,0,1,31,31,2021-04-26,119,99.0,10.0,10.0,10.0,10.0,10.0,1,1.97,PORTOLA VALLEY,CA,06085,Santa Clara County,31.5,608092,96.9,94028
25971177,20210423223743,2021-04-26,23314720,"Portola Valley, California, United States",Unincorporated Areas,37.34132,-122.19332,Entire guest suite,Entire home/apt,2,139.0,2,0,0,0,112,2021-04-26,15,95.0,10.0,10.0,10.0,9.0,9.0,2,0.44,PORTOLA VALLEY,CA,06085,Santa Clara County,31.5,608092,96.9,94028
41025763,20210423223743,2021-04-26,233670241,"Portola Valley, California, United States",Portola Valley,37.380829999999996,-122.20727,Tiny house,Entire home/apt,2,250.0,2,24,54,83,83,2021-04-26,2,90.0,10.0,10.0,10.0,10.0,9.0,1,0.14,PORTOLA VALLEY,CA,06085,Santa Clara County,31.5,608092,96.9,94028
