id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
310367,20210424214105,2021-04-26,1596454,"Palo Alto, California, United States",Palo Alto,37.41001,-122.1371,Entire house,Entire home/apt,2,176.0,1,29,59,89,89,2021-04-26,42,97.0,9.0,10.0,10.0,10.0,10.0,1,0.52,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
969522,20210424214105,2021-04-26,771434,"Palo Alto, California, United States",Palo Alto,37.4234,-122.13892,Entire bungalow,Entire home/apt,4,220.0,4,0,2,9,223,2021-04-26,28,97.0,9.0,10.0,10.0,9.0,9.0,1,0.29,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
2536234,20210424214105,2021-04-26,12987286,"Palo Alto, California, United States",Palo Alto,37.4546,-122.14828999999999,Entire guesthouse,Entire home/apt,4,380.0,4,25,51,81,356,2021-04-26,56,99.0,10.0,10.0,10.0,10.0,10.0,1,0.65,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
3654787,20210424214105,2021-04-26,6958076,"Palo Alto, California, United States",Palo Alto,37.43081,-122.14918999999999,Entire house,Entire home/apt,1,140.0,2,0,24,54,54,2021-04-26,250,99.0,10.0,10.0,10.0,10.0,10.0,1,3.12,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
4645802,20210424214105,2021-04-26,24052290,"Palo Alto, California, United States",Palo Alto,37.44688,-122.13046000000001,Entire house,Entire home/apt,5,417.0,3,30,60,90,365,2021-04-26,101,93.0,9.0,10.0,10.0,9.0,9.0,1,1.31,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
5397131,20210424214105,2021-04-26,25825149,"Palo Alto, California, United States",Palo Alto,37.408609999999996,-122.13023999999999,Entire house,Entire home/apt,6,395.0,3,24,24,34,123,2021-04-26,30,98.0,10.0,10.0,10.0,10.0,10.0,1,0.42,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
5648497,20210424214105,2021-04-26,29272650,"Palo Alto, California, United States",Palo Alto,37.42406,-122.14902,Entire house,Entire home/apt,3,142.0,3,22,52,82,171,2021-04-26,158,94.0,10.0,10.0,10.0,10.0,9.0,2,2.13,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
5679666,20210424214105,2021-04-26,97688,"Palo Alto, California, United States",Palo Alto,37.44193,-122.14528,Entire house,Entire home/apt,7,400.0,3,1,1,2,178,2021-04-26,16,100.0,10.0,10.0,10.0,10.0,10.0,1,0.22,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
6092949,20210424214105,2021-04-26,17652151,"Palo Alto, California, United States",Palo Alto,37.455290000000005,-122.15347,Entire house,Entire home/apt,2,275.0,2,25,52,82,172,2021-04-26,138,98.0,10.0,10.0,10.0,10.0,10.0,1,1.95,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
6926755,20210424214105,2021-04-26,4382857,"Palo Alto, California, United States",Palo Alto,37.44526,-122.15478999999999,Entire apartment,Entire home/apt,2,165.0,4,0,0,0,0,2021-04-26,85,93.0,9.0,10.0,10.0,10.0,9.0,8,1.2,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
7564179,20210424214105,2021-04-26,4382857,"Palo Alto, California, United States",Palo Alto,37.44647,-122.15536999999999,Entire apartment,Entire home/apt,2,165.0,4,0,0,0,0,2021-04-26,54,99.0,10.0,10.0,10.0,10.0,9.0,8,0.78,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
7860219,20210424214105,2021-04-26,6296836,"Palo Alto, California, United States",Palo Alto,37.4341,-122.11135,Entire house,Entire home/apt,10,1400.0,3,28,58,88,363,2021-04-26,6,100.0,10.0,10.0,10.0,10.0,10.0,1,0.1,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
8551443,20210424214105,2021-04-26,4337370,"Palo Alto, California, United States",Palo Alto,37.41462,-122.13418999999999,Entire guesthouse,Entire home/apt,2,123.0,3,1,25,55,330,2021-04-26,141,98.0,10.0,10.0,10.0,10.0,10.0,2,2.08,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
8764438,20210424214105,2021-04-26,92997566,"Palo Alto, California, United States",Palo Alto,37.42133,-122.15015,Entire house,Entire home/apt,4,128.0,2,5,14,34,159,2021-04-26,226,95.0,10.0,10.0,10.0,10.0,9.0,1,3.37,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
9090803,20210424214105,2021-04-26,47400989,"Palo Alto, California, United States",Palo Alto,37.4194,-122.10578999999998,Entire house,Entire home/apt,2,100.0,3,0,0,24,299,2021-04-26,46,99.0,10.0,10.0,10.0,10.0,10.0,1,0.69,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
9480364,20210424214105,2021-04-26,7717620,"Palo Alto, California, United States",Palo Alto,37.40462,-122.12906000000001,Entire guesthouse,Entire home/apt,2,125.0,2,0,24,54,54,2021-04-26,30,96.0,10.0,10.0,10.0,10.0,10.0,1,0.99,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
9942210,20210424214105,2021-04-26,12940850,"Palo Alto, California, United States",Palo Alto,37.44526,-122.1475,Entire loft,Entire home/apt,2,245.0,3,0,0,0,2,2021-04-26,47,96.0,10.0,10.0,10.0,10.0,9.0,14,0.79,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
10033206,20210424214105,2021-04-26,9473789,"Palo Alto, California, United States",Palo Alto,37.45003,-122.1643,Entire apartment,Entire home/apt,2,105.0,4,0,13,13,138,2021-04-26,31,91.0,10.0,9.0,9.0,10.0,9.0,28,0.48,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
10193059,20210424214105,2021-04-26,4901549,"Palo Alto, California, United States",Palo Alto,37.43077,-122.13926000000001,Entire house,Entire home/apt,2,122.0,2,10,27,51,51,2021-04-26,188,99.0,10.0,10.0,10.0,10.0,10.0,1,2.99,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
10879912,20210424214105,2021-04-26,20077249,"Palo Alto, California, United States",Palo Alto,37.44898,-122.15671999999999,Entire house,Entire home/apt,5,321.0,3,8,31,61,129,2021-04-26,17,96.0,9.0,10.0,10.0,10.0,10.0,1,0.36,PALO ALTO,CA,06085,Santa Clara County,31.5,608092,96.9,94301
