id,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,city,state,county,county_name,series_complete_pop_pct,series_complete_yes,completeness_pct,zip
31721,20210430031725,2021-05-02,136376,"Santa Cruz, California, United States",City of Capitola,36.958490000000005,-121.97207,Entire cottage,Entire home/apt,3,192.0,4,0,4,13,279,2021-05-02,229,95.0,9.0,10.0,10.0,10.0,9.0,2,2.23,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
198171,20210430031725,2021-05-02,187953,"Santa Cruz, California, United States",City of Santa Cruz,36.95545,-122.03731,Entire house,Entire home/apt,4,133.0,2,1,7,11,156,2021-05-02,441,95.0,9.0,10.0,10.0,10.0,9.0,1,3.73,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
264450,20210430031725,2021-05-02,1387567,"Santa Cruz, California, United States",City of Santa Cruz,36.96075,-122.02605,Entire house,Entire home/apt,6,266.0,3,1,1,7,209,2021-05-02,120,99.0,10.0,10.0,10.0,10.0,10.0,1,1.04,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
558146,20210430031725,2021-05-02,1368824,"Santa Cruz, California, United States",City of Santa Cruz,36.96915,-122.04283000000001,Entire house,Entire home/apt,8,1000.0,1,0,4,34,309,2021-05-02,28,95.0,9.0,10.0,9.0,9.0,9.0,2,0.26,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
1434279,20210430031725,2021-05-02,7708882,"Santa Cruz, California, United States",City of Santa Cruz,36.95912,-122.02632,Entire guesthouse,Entire home/apt,3,262.0,4,3,4,4,235,2021-05-02,54,99.0,10.0,10.0,10.0,10.0,10.0,2,0.57,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
1434388,20210430031725,2021-05-02,7708882,"Santa Cruz, California, United States",City of Santa Cruz,36.95759,-122.02633,Entire guesthouse,Entire home/apt,3,275.0,4,10,11,21,218,2021-05-02,86,100.0,10.0,10.0,10.0,10.0,10.0,2,0.91,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
1873477,20210430031725,2021-05-02,9761785,"Santa Cruz, California, United States",City of Santa Cruz,36.94976,-122.04835,Entire house,Entire home/apt,8,586.0,2,19,19,19,260,2021-05-02,58,97.0,10.0,10.0,10.0,10.0,9.0,1,0.75,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
2326597,20210430031725,2021-05-02,6560497,"Santa Cruz, California, United States",Unincorporated Areas,37.04673,-122.10733,Entire guest suite,Entire home/apt,2,200.0,1,0,0,0,213,2021-05-02,123,98.0,10.0,10.0,10.0,10.0,10.0,3,2.76,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
2777595,20210430031725,2021-05-02,14175116,"Santa Cruz, California, United States",City of Santa Cruz,36.96479,-122.02232,Entire townhouse,Entire home/apt,8,342.0,1,11,16,27,285,2021-05-02,330,95.0,9.0,10.0,10.0,10.0,9.0,2,4.02,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
4330293,20210430031725,2021-05-02,4942804,"Santa Cruz, California, United States",Unincorporated Areas,36.9791,-121.98272,Entire bungalow,Entire home/apt,5,209.0,2,2,4,4,128,2021-05-02,224,98.0,10.0,10.0,10.0,10.0,10.0,2,2.85,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
5153010,20210430031725,2021-05-02,25908646,"Santa Cruz, California, United States",City of Santa Cruz,36.95633,-122.03033,Entire house,Entire home/apt,6,286.0,2,7,12,14,67,2021-05-02,224,99.0,10.0,10.0,10.0,10.0,10.0,1,2.98,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
5517422,20210430031725,2021-05-02,282520,"Santa Cruz, California, United States",Unincorporated Areas,36.96506,-121.99116000000001,Entire house,Entire home/apt,6,175.0,2,2,6,8,113,2021-05-02,259,98.0,10.0,10.0,10.0,10.0,10.0,1,3.49,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
6885497,20210430031725,2021-05-02,27388906,"Santa Cruz, California, United States",Unincorporated Areas,36.961259999999996,-121.98688999999999,Entire guest suite,Entire home/apt,3,268.0,1,0,0,1,129,2021-05-02,51,95.0,9.0,10.0,10.0,10.0,9.0,2,0.72,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
7474325,20210430031725,2021-05-02,38189119,"Santa Cruz, California, United States",City of Santa Cruz,36.96967,-122.02541000000001,Entire house,Entire home/apt,2,166.0,1,11,27,48,308,2021-05-02,775,96.0,10.0,10.0,10.0,10.0,9.0,2,11.11,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
7515729,20210430031725,2021-05-02,16839432,"Santa Cruz, California, United States",City of Capitola,36.96,-121.97083,Entire apartment,Entire home/apt,4,110.0,1,5,13,19,289,2021-05-02,369,91.0,9.0,10.0,10.0,10.0,9.0,3,5.45,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
8955935,20210430031725,2021-05-02,29657425,"Santa Cruz, California, United States",City of Santa Cruz,36.9711,-122.00583,Entire apartment,Entire home/apt,3,165.0,4,3,3,3,125,2021-05-02,199,99.0,10.0,10.0,10.0,10.0,10.0,1,3.08,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
9315936,20210430031725,2021-05-02,48353362,"Santa Cruz, California, United States",Unincorporated Areas,36.98527,-121.9838,Entire guest suite,Entire home/apt,3,116.0,2,0,7,19,266,2021-05-02,250,99.0,10.0,10.0,10.0,10.0,10.0,1,3.78,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
10970944,20210430031725,2021-05-02,56918766,"Santa Cruz, California, United States",Unincorporated Areas,36.96454,-121.9848,Entire house,Entire home/apt,9,509.0,3,0,1,1,216,2021-05-02,85,98.0,10.0,10.0,10.0,10.0,9.0,1,1.34,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
11826988,20210430031725,2021-05-02,37153876,"Santa Cruz, California, United States",City of Santa Cruz,36.96842,-121.99741999999999,Entire house,Entire home/apt,4,564.0,1,20,50,80,355,2021-05-02,108,94.0,10.0,10.0,9.0,9.0,8.0,1,1.75,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
12156341,20210430031725,2021-05-02,62542564,"Santa Cruz, California, United States",City of Santa Cruz,36.965720000000005,-122.01003999999999,Entire house,Entire home/apt,8,448.0,2,14,18,18,268,2021-05-02,9,98.0,10.0,10.0,10.0,10.0,9.0,28,0.15,SANTA CRUZ,CA,06087,Santa Cruz County,37.4,102105,96.9,95060
