state,city,lat,long,state_name,country
AL,Birmingham,33.525,-86.813,Alabama,United States
AL,Montgomery,32.3617,-86.2792,Alabama,United States
AL,Mobile,30.6889,-88.0448,Alabama,United States
AL,Huntsville,34.7295,-86.5853,Alabama,United States
AL,Tuscaloosa,33.2065,-87.5346,Alabama,United States
AK,Anchorage,61.2166,-149.8996,Alaska,United States
AK,Fairbanks,64.8436,-147.7231,Alaska,United States
AK,Juneau,58.3019,-134.4197,Alaska,United States
AK,Sitka,57.0531,-135.33,Alaska,United States
AK,Ketchikan,55.35,-131.6733,Alaska,United States
AZ,Phoenix,33.45,-112.0667,Arizona,United States
AZ,Tucson,32.2217,-110.9264,Arizona,United States
AZ,Mesa,33.4152,-111.8315,Arizona,United States
AZ,Chandler,33.3023,-111.8401,Arizona,United States
AZ,Glendale,33.5386,-112.1837,Arizona,United States
AR,Little Rock,34.7361,-92.3311,Arkansas,United States
AR,Fort Smith,35.3686,-94.3986,Arkansas,United States
AR,North Little Rock,34.7808,-92.2569,Arkansas,United States
AR,Fayetteville,36.0764,-94.1608,Arkansas,United States
AR,Springdale,36.1814,-94.1458,Arkansas,United States
CA,Los Angeles,34.0522,-118.2433,California,United States
CA,San Diego,32.715,-117.1625,California,United States
CA,San Jose,37.3333,-121.9,California,United States
CA,San Francisco,37.7749,-122.4194,California,United States
CA,Fresno,36.7317,-119.7859,California,United States
CO,Denver,39.7392,-104.9903,Colorado,United States
CO,Colorado Springs,38.8352,-104.8198,Colorado,United States
CO,Aurora,39.6958,-104.8081,Colorado,United States
CO,Fort Collins,40.5592,-105.0781,Colorado,United States
CO,Lakewood,39.7064,-105.1028,Colorado,United States
CT,Bridgeport,41.1792,-73.1895,Connecticut,United States
CT,New Haven,41.31,-72.9236,Connecticut,United States
CT,Hartford,41.7658,-72.6734,Connecticut,United States
CT,Stamford,41.0519,-73.5395,Connecticut,United States
CT,Waterbury,41.5543,-73.0431,Connecticut,United States
DE,Wilmington,39.7458,-75.5467,Delaware,United States
DE,Dover,39.1619,-75.5267,Delaware,United States
DE,Newark,40.7242,-74.1726,Delaware,United States
