,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,8408,16049,7472,23449,0,9,5.0,-22.0,2.8000000000000003,-6.358602150537634,49.33,82.68,73.1741129032258,23,313,85.51881720430107,0.5,7.1000000000000005,2.6475806451612907,-17.5,5.7,-2.169758064516129,2019,Alaska,Juneau,United States,58.3019,-134.4197,-8.0,37.0,20.554516129032255,0.0,42.0,28.094435483870967,1.6,23.3,8.68628848387097
1,2,13169,40782,13180,52502,0,8,4.0,-25.200000000000003,-0.5,-11.932886904761906,47.51,80.89,66.43270833333334,5,359,61.07440476190476,0.5,8.0,2.733184523809524,-21.200000000000003,5.4,-6.657738095238095,2019,Alaska,Juneau,United States,58.3019,-134.4197,-13.0,31.0,10.52080357142857,-6.0,42.0,20.01607142857143,1.6,26.2,8.967141113095238
2,3,30474,88072,27291,115032,0,8,3.0,-18.5,3.7,-2.977688172043011,45.45,82.08,68.60462365591398,4,358,98.99059139784946,0.3,6.4,2.04489247311828,-14.5,11.7,2.313709677419355,2019,Alaska,Juneau,United States,58.3019,-134.4197,-1.0,39.0,26.64016129032258,6.0,53.0,36.16467741935484,1.0,21.0,6.708965021505378
3,4,52440,122195,39456,178757,0,9,5.0,-4.6000000000000005,3.3000000000000003,0.0115277777777777,47.62,82.58,70.42322222222222,2,360,137.5361111111111,0.3,7.800000000000001,1.9733333333333336,0.0,11.3,5.068194444444445,2019,Alaska,Juneau,United States,58.3019,-134.4197,24.0,38.0,32.02075,32.0,52.0,41.12275,1.0,25.6,6.474190933333334
4,5,65860,141241,43791,227106,0,8,4.0,-1.2000000000000002,10.7,5.488709677419355,43.93,84.51,71.45399193548387,1,345,169.7486559139785,0.2,3.3000000000000003,1.4041666666666668,4.4,20.200000000000003,10.588844086021506,2019,Alaska,Juneau,United States,58.3019,-134.4197,30.0,51.0,41.87967741935484,40.0,68.0,51.05991935483871,0.7,10.8,4.606846166666667
5,6,69795,139112,41248,244326,0,9,4.0,4.5,16.6,8.983194444444445,44.84,84.45,71.49990277777778,3,359,184.01944444444445,0.3,4.0,1.404027777777778,8.0,25.700000000000003,14.227777777777778,2019,Alaska,Juneau,United States,58.3019,-134.4197,40.0,62.0,48.16975,46.0,78.0,57.61,1.0,13.1,4.606390494444446
6,7,71470,129152,65970,222659,0,8,4.0,7.6,17.3,11.928360215053765,43.78,85.03,71.40721774193548,4,356,166.7741935483871,0.2,3.3000000000000003,1.172983870967742,11.1,27.700000000000003,17.363037634408602,2019,Alaska,Juneau,United States,58.3019,-134.4197,46.0,63.0,53.47104838709677,52.0,82.0,63.25346774193548,0.7,10.8,3.848372403225807
7,8,49840,133132,38752,188113,0,9,3.0,1.0,16.400000000000002,9.59462365591398,41.49,86.55,68.15112903225807,4,357,139.18413978494624,0.2,6.0,1.5419354838709678,7.0,24.1,15.705376344086025,2019,Alaska,Juneau,United States,58.3019,-134.4197,34.0,62.0,49.27032258064517,45.0,75.0,60.26967741935485,0.7,19.7,5.058843612903226
8,9,30194,73921,23045,125130,0,9,4.0,0.3,12.3,7.670694444444445,43.13,84.95,72.63688888888889,1,355,134.25972222222222,0.3,5.7,1.5475,4.9,22.0,12.617638888888887,2019,Alaska,Juneau,United States,58.3019,-134.4197,33.0,54.0,45.80725,41.0,72.0,54.71175,1.0,18.7,5.0770999
9,10,16038,30383,16261,70141,0,9,5.0,-7.6,7.300000000000001,1.6481182795698923,47.35,83.67,76.31639784946236,4,360,138.4556451612903,0.2,6.2,1.8576612903225809,-1.2000000000000002,12.1,5.526881720430108,2019,Alaska,Juneau,United States,58.3019,-134.4197,18.0,45.0,34.96661290322581,30.0,54.0,41.9483870967742,0.7,20.3,6.0946894677419365
10,11,8498,15315,8681,28266,0,9,6.0,-14.5,4.9,-0.6241666666666666,54.39,84.4,76.39322222222222,30,241,116.92222222222222,0.5,10.5,2.520277777777778,-9.7,7.800000000000001,3.14375,2019,Alaska,Juneau,United States,58.3019,-134.4197,6.0,41.0,30.8765,15.0,46.0,37.65875,1.6,34.4,8.268628144444445
11,12,5290,9148,6151,14645,0,9,6.0,-9.9,1.9,-1.7068548387096776,68.1,83.02,77.91038978494623,33,218,127.59677419354838,0.7000000000000001,8.3,2.351612903225807,-5.9,4.7,1.7438172043010751,2019,Alaska,Juneau,United States,58.3019,-134.4197,14.0,35.0,28.92766129032258,21.0,40.0,35.13887096774194,2.3,27.2,7.715265677419356
