,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,9611,14267,9709,33005,0,9,5.0,-20.0,5.0,-4.199462365591398,72.42,100.0,95.38923387096774,7,343,130.17069892473117,0.3,4.4,1.7958333333333336,-19.4,5.1000000000000005,-3.5739247311827955,2020,Alaska,Ketchikan,United States,55.35,-131.6733,-4.0,41.0,24.440967741935484,-3.0,41.0,25.566935483870967,1.0,14.4,5.891841833333334
1,2,16508,25834,14986,59954,0,9,5.0,-5.4,4.3,0.1206845238095238,75.59,100.0,96.8018898809524,9,350,188.11309523809524,0.3,3.4000000000000004,1.4941964285714286,-4.0,4.4,0.587202380952381,2020,Alaska,Ketchikan,United States,55.35,-131.6733,22.0,40.0,32.21723214285714,25.0,40.0,33.05696428571429,1.0,11.2,4.902219410714286
2,3,32960,82794,24924,127922,0,9,4.0,-14.1,3.7,-1.706989247311828,38.59,100.0,87.22209677419355,0,357,153.5510752688172,0.3,3.6,1.419758064516129,-7.7,8.0,0.3547043010752688,2020,Alaska,Ketchikan,United States,55.35,-131.6733,7.0,39.0,28.927419354838708,18.0,46.0,32.638467741935486,1.0,11.8,4.657999048387096
3,4,44850,118153,35123,185653,0,8,4.0,-11.4,7.800000000000001,1.490416666666667,44.1,100.0,85.34340277777778,1,359,172.2125,0.3,3.7,1.3234722222222224,-6.4,14.1,3.96125,2020,Alaska,Ketchikan,United States,55.35,-131.6733,11.0,46.0,34.68275,20.0,57.0,39.13025,1.0,12.1,4.342100605555556
4,5,67484,155507,39834,243531,0,9,4.0,1.9,11.2,6.2612903225806456,40.19,100.0,83.60661290322581,3,352,151.08467741935485,0.3,2.9000000000000004,1.1309139784946238,2.9000000000000004,18.7,9.141801075268818,2020,Alaska,Ketchikan,United States,55.35,-131.6733,35.0,52.0,43.27032258064517,37.0,66.0,48.45524193548387,1.0,9.5,3.7103478172043016
5,6,71955,118690,36820,255917,0,9,4.0,4.6000000000000005,13.3,8.432777777777778,56.95,100.0,87.8245,12,355,204.2097222222222,0.2,2.6,1.1511111111111112,5.6000000000000005,19.200000000000003,10.529444444444444,2020,Alaska,Ketchikan,United States,55.35,-131.6733,40.0,56.0,47.179,42.0,67.0,50.953,0.7,8.5,3.776611377777778
6,7,63231,99167,37841,245654,0,8,4.0,8.4,16.8,11.341532258064516,49.07,100.0,90.20833333333331,5,355,199.16532258064515,0.2,2.0,0.9426075268817206,9.0,24.9,13.070833333333336,2020,Alaska,Ketchikan,United States,55.35,-131.6733,47.0,62.0,52.41475806451613,48.0,77.0,55.5275,0.7,6.6,3.092544478494624
7,8,49071,59134,33015,198723,0,9,5.0,8.1,14.6,11.340994623655916,65.77,100.0,93.29231182795698,62,324,178.2540322580645,0.3,2.8000000000000003,1.2086021505376343,8.6,17.400000000000002,12.471370967741937,2020,Alaska,Ketchikan,United States,55.35,-131.6733,47.0,58.0,52.41379032258065,47.0,63.0,54.44846774193549,1.0,9.2,3.965230279569892
8,9,34341,76917,24168,134480,0,9,4.0,6.5,15.9,10.390555555555554,53.85,100.0,90.71605555555556,5,352,189.1805555555556,0.1,3.6,1.0270833333333331,7.300000000000001,20.0,12.012638888888889,2020,Alaska,Ketchikan,United States,55.35,-131.6733,44.0,61.0,50.703,45.0,68.0,53.62275,0.3,11.8,3.3696960833333325
9,10,20978,40242,16651,82096,0,9,5.0,-7.5,14.3,4.354301075268817,48.67,100.0,92.34319892473118,2,358,169.19086021505376,0.3,2.7,1.133736559139785,-3.0,15.8,5.5858870967741945,2020,Alaska,Ketchikan,United States,55.35,-131.6733,18.0,58.0,39.83774193548387,27.0,60.0,42.05459677419355,1.0,8.9,3.719608252688172
10,11,10565,14935,10555,38435,0,9,5.0,-5.300000000000001,10.1,0.9906944444444444,68.78,100.0,96.68077777777778,2,359,164.18055555555554,0.4,3.7,1.4479166666666667,-3.7,10.1,1.4743055555555555,2020,Alaska,Ketchikan,United States,55.35,-131.6733,22.0,50.0,33.78325,25.0,50.0,34.65375,1.3,12.1,4.750382916666667
11,12,6979,9753,8224,23310,0,9,6.0,-6.300000000000001,7.2,1.5086021505376346,71.12,100.0,96.30969086021506,2,346,137.03091397849462,0.4,3.7,1.683736559139785,-3.1,7.2,2.0525537634408604,2020,Alaska,Ketchikan,United States,55.35,-131.6733,21.0,45.0,34.715483870967745,26.0,45.0,35.69459677419355,1.3,12.1,5.524070252688173
