,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,30552,83432,23495,116561,0,9,4.0,-14,19,6.896505376344086,37.13,100.0,85.80891129032258,0.5,359.1,212.1513440860215,0.0,0.9,0.2248655913978494,-8,23,9.53763440860215,2017,Alabama,Birmingham,United States,33.525,-86.813,7.0,66.0,44.41370967741936,18.0,73.0,49.16774193548388,0.0,3.0,0.7377480268817203
1,2,32003,92123,28616,132924,0,9,3.0,-6,19,8.254464285714286,31.82,100.0,86.3522767857143,1.3,360.0,182.5775297619048,0.0,1.1,0.2080357142857143,-4,24,11.05952380952381,2017,Alabama,Birmingham,United States,33.525,-86.813,21.0,66.0,46.85803571428572,25.0,75.0,51.90714285714286,0.0,3.6,0.6825318928571429
2,3,49893,141848,41000,189197,0,9,3.0,-9,20,8.440860215053764,28.5,100.0,81.68576612903226,0.3,359.8,183.01827956989248,0.1,1.1,0.2,-4,27,12.313172043010752,2017,Alabama,Birmingham,United States,33.525,-86.813,16.0,68.0,47.193548387096776,25.0,81.0,54.16370967741936,0.3,3.6,0.6561680000000001
3,4,62002,186740,44862,218277,0,9,3.0,1,22,14.02361111111111,31.34,100.0,81.84273611111111,1.6,359.90000000000003,193.38375,0.0,1.1,0.1844444444444444,3,29,18.133333333333333,2017,Alabama,Birmingham,United States,33.525,-86.813,34.0,72.0,57.2425,37.0,84.0,64.64,0.0,3.6,0.605132711111111
4,5,71276,199306,51408,248171,0,9,3.0,4,23,15.653225806451612,31.79,100.0,80.13942204301075,0.6000000000000001,359.5,206.9788978494624,0.0,1.0,0.1915322580645161,5,31,20.20833333333333,2017,Alabama,Birmingham,United States,33.525,-86.813,39.0,73.0,60.1758064516129,41.0,88.0,68.375,0.0,3.3,0.6283866935483869
5,6,80662,180529,48992,244496,0,9,4.0,13,25,20.06111111111111,40.25,100.0,86.01718055555556,0.9,358.0,148.7795833333333,0.0,0.8,0.1380555555555555,13,33,23.26111111111112,2017,Alabama,Birmingham,United States,33.525,-86.813,55.0,77.0,68.11,55.0,91.0,73.87,0.0,2.6,0.4529381888888886
6,7,73244,206575,54662,243911,0,9,2.0,15,27,22.04301075268817,37.13,100.0,82.05474462365592,0.4,359.8,196.74126344086025,0.0,0.7000000000000001,0.1404569892473118,18,36,26.241935483870968,2017,Alabama,Birmingham,United States,33.525,-86.813,59.0,81.0,71.6774193548387,64.0,97.0,79.23548387096774,0.0,2.3,0.4608169086021504
7,8,75683,169422,48673,224493,0,9,4.0,12,26,20.676075268817204,32.13,100.0,82.24470430107526,0.4,359.3,165.05201612903227,0.0,0.7000000000000001,0.1483870967741935,16,36,24.82258064516129,2017,Alabama,Birmingham,United States,33.525,-86.813,54.0,79.0,69.21693548387097,61.0,97.0,76.68064516129033,0.0,2.3,0.486834322580645
8,9,49720,158349,41772,187595,0,8,2.0,8,25,16.341666666666665,32.65,100.0,76.76801388888889,0.0,359.90000000000003,132.94083333333336,0.0,0.9,0.1752777777777777,10,33,21.809722222222224,2017,Alabama,Birmingham,United States,33.525,-86.813,46.0,77.0,61.415,50.0,91.0,71.2575,0.0,3.0,0.5750583444444441
9,10,39182,131201,28601,159713,0,9,2.0,-1,25,12.172043010752688,31.83,100.0,79.31415322580645,0.1,359.90000000000003,163.8755376344086,0.0,0.9,0.1677419354838709,0,31,16.801075268817204,2017,Alabama,Birmingham,United States,33.525,-86.813,30.0,77.0,53.90967741935484,32.0,88.0,62.24193548387097,0.0,3.0,0.550334451612903
10,11,29098,94860,25060,117861,0,8,2.0,-3,21,7.794444444444444,27.03,100.0,82.56030555555556,0.1,359.70000000000005,173.0402777777778,0.0,1.0,0.1698611111111111,-3,27,11.475,2017,Alabama,Birmingham,United States,33.525,-86.813,27.0,70.0,46.03,27.0,81.0,52.655,0.0,3.3,0.5572871277777778
11,12,28839,66157,23393,104892,0,9,4.0,-10,19,2.879032258064516,29.18,100.0,81.80940860215054,0.2,359.6,210.047311827957,0.0,0.9,0.1938172043010753,-5,23,6.083333333333333,2017,Alabama,Birmingham,United States,33.525,-86.813,14.0,66.0,37.18225806451613,23.0,73.0,42.95,0.0,3.0,0.6358832365591399
