,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23409,85683,20541,115781,0,8,2.0,-17.0,16.2,-2.812231182795699,34.01,100.0,76.57799731182796,1,359,180.2056451612904,0.3,3.3000000000000003,1.3006720430107528,-13.8,18.6,1.218010752688172,2018,Alabama,Huntsville,United States,34.7295,-86.5853,1.0,61.0,26.93798387096774,7.0,65.0,34.19241935483871,1.0,10.8,4.267296865591399
1,2,28613,66591,23629,130528,0,9,4.0,-12.3,20.4,8.702083333333334,37.91,100.0,85.50840773809524,1,359,163.1547619047619,0.3,3.1,1.446875,-5.7,24.700000000000003,11.261309523809524,2018,Alabama,Huntsville,United States,34.7295,-86.5853,10.0,69.0,47.66375,22.0,76.0,52.27035714285714,1.0,10.2,4.746965374999999
2,3,42640,118646,35326,190378,0,9,3.0,-5.2,18.8,6.834139784946237,37.06,100.0,81.63291666666666,2,360,208.2244623655914,0.3,3.1,1.3751344086021506,-2.5,22.6,10.176612903225807,2018,Alabama,Huntsville,United States,34.7295,-86.5853,23.0,66.0,44.30145161290323,28.0,73.0,50.31790322580645,1.0,10.2,4.51159597311828
3,4,52341,158077,45960,220524,0,9,3.0,-3.3000000000000003,19.8,8.930694444444445,34.56,100.0,78.94095833333333,1,360,186.75277777777777,0.2,2.9000000000000004,1.2454166666666668,-1.7000000000000002,24.5,13.013055555555557,2018,Alabama,Huntsville,United States,34.7295,-86.5853,26.0,68.0,48.07525,29.0,76.0,55.4235,0.7,9.5,4.086012816666667
4,5,75983,189736,52335,243598,0,9,3.0,8.8,24.700000000000003,19.27190860215054,47.67,100.0,81.55721774193549,5,358,181.6061827956989,0.2,2.4000000000000004,0.8213709677419355,9.9,31.200000000000003,22.94758064516129,2018,Alabama,Huntsville,United States,34.7295,-86.5853,48.0,76.0,66.68943548387097,50.0,88.0,73.30564516129033,0.7,7.9,2.6947867258064515
5,6,73901,192604,54725,242760,0,9,3.0,12.6,25.8,21.74680555555556,44.35,100.0,80.87340277777777,2,360,197.1652777777778,0.1,2.3000000000000003,0.7748611111111112,15.5,33.9,25.65083333333333,2018,Alabama,Huntsville,United States,34.7295,-86.5853,55.0,78.0,71.14425000000001,60.0,93.0,78.1715,0.3,7.5,2.5421953277777782
6,7,79631,192792,56821,243469,0,8,3.0,10.8,26.0,21.52204301075269,23.49,100.0,74.8577688172043,0,359,170.55779569892474,0.2,2.1,0.7341397849462367,18.8,34.7,26.986155913978497,2018,Alabama,Huntsville,United States,34.7295,-86.5853,51.0,79.0,70.73967741935485,66.0,94.0,80.5750806451613,0.7,6.9,2.408595172043011
7,8,75143,178786,52016,223185,0,9,3.0,9.8,24.5,20.177822580645163,28.91,100.0,70.71790322580645,3,356,192.8413978494624,0.2,2.1,0.8032258064516129,16.8,35.9,26.745967741935484,2018,Alabama,Huntsville,United States,34.7295,-86.5853,50.0,76.0,68.3200806451613,62.0,97.0,80.14274193548387,0.7,6.9,2.635255354838709
8,9,54489,131201,35791,185296,0,9,3.0,14.9,23.8,19.946944444444448,28.84,100.0,72.90777777777778,3,357,136.1472222222222,0.3,2.0,0.8294444444444445,16.5,36.6,25.976944444444445,2018,Alabama,Huntsville,United States,34.7295,-86.5853,59.0,75.0,67.90450000000001,62.0,98.0,78.7585,1.0,6.6,2.7212745111111114
9,10,39880,111120,26688,155954,0,8,3.0,-3.1,23.0,12.528091397849462,28.32,100.0,73.88133064516128,2,357,153.01075268817203,0.2,2.4000000000000004,0.9866935483870968,2.7,31.9,17.8247311827957,2018,Alabama,Huntsville,United States,34.7295,-86.5853,26.0,73.0,54.55056451612903,37.0,89.0,64.08451612903227,0.7,7.9,3.2371836612903224
10,11,26421,61985,22468,115955,0,9,3.0,-9.7,19.700000000000003,4.792222222222223,30.96,100.0,82.51055555555556,0,359,176.1236111111111,0.3,3.1,1.1518055555555555,-5.300000000000001,21.1,7.906388888888889,2018,Alabama,Huntsville,United States,34.7295,-86.5853,15.0,67.0,40.626000000000005,22.0,70.0,46.2315,1.0,10.2,3.7788897388888887
11,12,24607,53189,20427,101712,0,9,4.0,-14.2,18.7,4.105913978494624,41.18,100.0,87.33256720430107,3,356,190.58870967741936,0.2,3.3000000000000003,1.0845430107526883,-8.6,20.1,6.243682795698925,2018,Alabama,Huntsville,United States,34.7295,-86.5853,6.0,66.0,39.39064516129032,17.0,68.0,43.23862903225807,0.7,10.8,3.55821209139785
