,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,33796,97162,25242,126456,0,9,4.0,-6,21,11.350806451612904,49.26,100.0,90.42501344086024,0.0,359.8,195.4758064516129,0.2,7.5,3.015994623655914,-5,22,13.456989247311828,2017,Alabama,Mobile,United States,30.6889,-88.0448,21.0,70.0,52.43145161290323,23.0,72.0,56.22258064516129,0.7,24.6,9.89499580107527
1,2,35352,106815,28874,141423,0,9,3.0,0,20,12.90922619047619,46.39,100.0,88.68474702380952,0.4,359.8,173.87142857142857,0.4,6.1000000000000005,2.539732142857143,3,24,15.489583333333334,2017,Alabama,Mobile,United States,30.6889,-88.0448,32.0,68.0,55.23660714285714,37.0,75.0,59.88125,1.3,20.0,8.332454803571428
2,3,57826,156241,43108,193847,0,9,3.0,0,21,13.241935483870968,42.46,100.0,85.6640994623656,0.3,359.6,161.64395161290324,0.2,6.7,2.9516129032258065,3,26,16.526881720430108,2017,Alabama,Mobile,United States,30.6889,-88.0448,32.0,70.0,55.83548387096774,37.0,79.0,61.7483870967742,0.7,22.0,9.683769677419354
3,4,61091,189192,47264,220183,0,9,3.0,5,24,16.886111111111113,37.27,100.0,84.03134722222222,0.1,357.5,170.5261111111111,0.2,7.0,3.0590277777777777,9,28,20.544444444444444,2017,Alabama,Mobile,United States,30.6889,-88.0448,41.0,75.0,62.395,48.0,82.0,68.98,0.7,23.0,10.036180694444443
4,5,72396,194258,51377,246757,0,9,3.0,8,25,18.900537634408604,42.12,100.0,84.02380376344085,1.5,358.20000000000005,202.95201612903227,0.1,7.6,2.7596774193548392,11,30,22.64381720430108,2017,Alabama,Mobile,United States,30.6889,-88.0448,46.0,77.0,66.0209677419355,52.0,86.0,72.75887096774194,0.3,24.9,9.05406006451613
5,6,85783,163515,50516,239971,0,9,5.0,17,26,22.77777777777778,51.79,100.0,91.10434722222224,2.0,354.70000000000005,153.44055555555556,0.2,6.7,2.699305555555556,19,30,25.070833333333333,2017,Alabama,Mobile,United States,30.6889,-88.0448,63.0,79.0,73.0,66.0,86.0,77.1275,0.7,22.0,8.855989638888891
6,7,85180,192959,55260,241336,0,9,4.0,19,26,23.79435483870968,51.22,100.0,85.52905913978495,0.7000000000000001,359.70000000000005,206.01626344086023,0.1,4.6000000000000005,1.9655913978494624,22,35,27.346774193548388,2017,Alabama,Mobile,United States,30.6889,-88.0448,66.0,79.0,74.82983870967743,72.0,95.0,81.22419354838709,0.3,15.1,6.44879088172043
7,8,75276,166734,49686,223906,0,9,5.0,18,27,23.962365591397848,48.93,100.0,87.26581989247312,0.4,359.5,171.97110215053763,0.1,6.5,2.219220430107527,22,33,27.102150537634408,2017,Alabama,Mobile,United States,30.6889,-88.0448,64.0,81.0,75.13225806451612,72.0,91.0,80.78387096774193,0.3,21.3,7.280907155913979
8,9,60360,166785,42930,191515,0,8,2.0,12,25,20.87361111111111,51.1,100.0,84.46124999999999,0.3,359.70000000000005,143.66680555555556,0.0,6.9,2.285416666666667,16,31,24.565277777777776,2017,Alabama,Mobile,United States,30.6889,-88.0448,54.0,77.0,69.57249999999999,61.0,88.0,76.2175,0.0,22.6,7.498086416666667
9,10,40207,135541,32443,164835,0,9,3.0,3,26,17.524193548387096,45.02,100.0,87.45584677419355,0.3,356.20000000000005,148.11774193548388,0.2,8.8,3.313306451612903,5,30,20.48924731182796,2017,Alabama,Mobile,United States,30.6889,-88.0448,37.0,79.0,63.54354838709678,41.0,86.0,68.88064516129033,0.7,28.9,10.870428338709676
10,11,31886,109052,26083,127196,0,8,2.0,3,22,12.573611111111113,45.69,100.0,86.51962499999999,0.3,359.90000000000003,122.11847222222222,0.2,6.800000000000001,2.517361111111111,4,26,15.636111111111113,2017,Alabama,Mobile,United States,30.6889,-88.0448,37.0,72.0,54.63250000000001,39.0,79.0,60.145,0.7,22.3,8.259059027777777
11,12,28857,73693,25715,113971,0,8,4.0,-1,20,9.021505376344086,47.12,100.0,90.53524193548388,0.1,359.5,160.2579301075269,0.6000000000000001,6.6000000000000005,2.885483870967742,0,24,11.245967741935484,2017,Alabama,Mobile,United States,30.6889,-88.0448,30.0,68.0,48.23870967741935,32.0,75.0,52.24274193548387,2.0,21.7,9.466810903225808
