,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,31912,92451,23680,120667,0,9,4.0,-17,20,7.963709677419355,42.96,100.0,89.58037634408602,0.9,358.90000000000003,208.69395161290325,0.3,7.2,1.6487903225806453,-15,23,10.15994623655914,2017,Alabama,Montgomery,United States,32.3617,-86.2792,1.0,68.0,46.33467741935484,5.0,73.0,50.28790322580645,1.0,23.6,5.4094172419354845
1,2,34800,99353,27646,136557,0,9,3.0,-3,19,9.764880952380953,37.4,100.0,87.99007440476191,0.5,359.8,188.90074404761904,0.4,5.7,1.5790178571428573,-1,24,12.479166666666666,2017,Alabama,Montgomery,United States,32.3617,-86.2792,27.0,66.0,49.57678571428572,30.0,75.0,54.4625,1.3,18.7,5.180504946428572
2,3,56732,148830,40845,191613,0,9,3.0,-7,20,9.755376344086022,36.56,100.0,83.4018682795699,0.5,359.90000000000003,183.25752688172045,0.3,4.5,1.7771505376344086,-3,27,13.443548387096774,2017,Alabama,Montgomery,United States,32.3617,-86.2792,19.0,68.0,49.55967741935484,27.0,81.0,56.1983870967742,1.0,14.8,5.830546569892473
3,4,63141,186343,47167,218236,0,9,3.0,2,24,15.063888888888888,39.04,100.0,82.91902777777777,0.8,358.8,197.30444444444447,0.2,5.2,1.584166666666667,4,29,19.008333333333333,2017,Alabama,Montgomery,United States,32.3617,-86.2792,36.0,75.0,59.115,39.0,84.0,66.215,0.7,17.1,5.197397366666667
4,5,72804,197965,50522,247369,0,9,3.0,4,24,16.63978494623656,37.72,100.0,80.78969086021505,0.0,359.90000000000003,215.78736559139787,0.1,3.9,1.4619623655913978,6,33,21.149193548387096,2017,Alabama,Montgomery,United States,32.3617,-86.2792,39.0,75.0,61.95161290322581,43.0,91.0,70.06854838709677,0.3,12.8,4.7964646075268815
5,6,84752,171531,47036,243268,0,9,5.0,15,26,21.030555555555555,53.72,100.0,88.56034722222222,1.4,359.90000000000003,155.70430555555555,0.2,3.9,1.2631944444444445,16,31,23.779166666666665,2017,Alabama,Montgomery,United States,32.3617,-86.2792,59.0,79.0,69.85499999999999,61.0,88.0,74.8025,0.7,12.8,4.144338861111112
6,7,75717,208039,54462,242544,0,9,3.0,17,25,22.766129032258064,50.63,100.0,84.42794354838709,0.2,359.90000000000003,211.55443548387092,0.2,3.0,0.9922043010752688,18,33,26.436827956989248,2017,Alabama,Montgomery,United States,32.3617,-86.2792,63.0,77.0,72.9790322580645,64.0,91.0,79.58629032258065,0.7,9.8,3.255263559139785
7,8,75968,175854,48201,224616,0,9,4.0,14,26,21.54032258064516,34.910000000000004,100.0,82.78743279569892,0.7000000000000001,358.5,176.93077956989248,0.1,3.9,1.2235215053763442,17,35,25.676075268817204,2017,Alabama,Montgomery,United States,32.3617,-86.2792,57.0,79.0,70.7725806451613,63.0,95.0,78.21693548387097,0.3,12.8,4.014178295698925
8,9,54899,163436,42709,188945,0,8,2.0,9,24,17.65138888888889,36.3,100.0,77.64026388888888,0.1,359.6,137.32736111111112,0.1,6.2,1.3998611111111112,11,33,22.9625,2017,Alabama,Montgomery,United States,32.3617,-86.2792,48.0,75.0,63.7725,52.0,91.0,73.3325,0.3,20.3,4.592720327777778
9,10,39335,132952,29302,162317,0,9,2.0,0,25,13.548387096774194,33.59,100.0,80.41940860215054,0.6000000000000001,359.1,167.584811827957,0.4,6.0,1.6775537634408604,1,31,18.13978494623656,2017,Alabama,Montgomery,United States,32.3617,-86.2792,32.0,77.0,56.38709677419355,34.0,88.0,64.65161290322581,1.3,19.7,5.503785489247313
10,11,30845,97347,25726,121644,0,8,2.0,-1,21,8.858333333333333,28.6,100.0,82.00811111111112,0.0,359.70000000000005,170.20861111111114,0.3,4.3,1.2794444444444446,-1,27,12.897222222222222,2017,Alabama,Montgomery,United States,32.3617,-86.2792,30.0,70.0,47.945,30.0,81.0,55.215,1.0,14.1,4.197652511111111
11,12,27680,64936,24578,108257,0,9,4.0,-9,20,4.860215053763441,27.59,100.0,85.43530913978495,0.3,359.8,209.0122311827957,0.1,4.2,1.3958333333333333,-4,24,7.794354838709677,2017,Alabama,Montgomery,United States,32.3617,-86.2792,16.0,68.0,40.7483870967742,25.0,75.0,46.02983870967742,0.3,13.8,4.579505833333333
