,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22640,90167,20469,121407,0,8,2.0,-17.2,17.7,-1.4370967741935483,23.57,100.0,73.07540322580645,0,360,194.70967741935485,0.0,1.2000000000000002,0.1756720430107527,-9.8,21.8,3.5911290322580647,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,1.0,64.0,29.413225806451614,14.0,71.0,38.46403225806452,0.0,3.9,0.576351865591398
1,2,34868,72144,23755,134170,0,9,4.0,-10.9,21.0,11.007589285714284,28.64,100.0,85.14772321428572,1,358,166.17559523809524,0.0,1.0,0.1254464285714286,-3.4000000000000004,27.3,13.801785714285716,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,12.0,70.0,51.81366071428571,26.0,81.0,56.84321428571429,0.0,3.3,0.4115696607142858
2,3,44653,130981,34573,194341,0,9,3.0,-4.5,20.700000000000003,8.642876344086021,31.13,100.0,79.50924731182795,2,353,208.57930107526883,0.0,1.0,0.1290322580645161,-1.6,25.700000000000003,12.709274193548389,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,24.0,69.0,47.55717741935484,29.0,78.0,54.876693548387095,0.0,3.3,0.4233341935483869
3,4,51304,176315,43761,222217,0,9,2.0,-3.1,21.4,10.485555555555557,30.43,100.0,77.29218055555556,2,358,206.3763888888889,0.0,0.9,0.0931944444444444,-0.4,26.9,15.105,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,26.0,71.0,50.874,31.0,80.0,59.189,0.0,3.0,0.305756061111111
4,5,71052,191229,50756,243863,0,9,3.0,12.1,26.0,19.66948924731183,40.45,100.0,79.13525537634408,1,358,179.23790322580646,0.0,0.9,0.1444892473118279,12.5,33.800000000000004,24.01854838709677,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,54.0,79.0,67.40508064516129,54.0,93.0,75.23338709677418,0.0,3.0,0.4740461021505375
5,6,71797,202014,55485,240949,0,9,2.0,15.3,27.1,22.50125,40.58,100.0,79.86305555555556,2,357,203.08055555555555,0.0,0.8,0.1093055555555555,17.2,35.0,26.793333333333333,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,60.0,81.0,72.50225,63.0,95.0,80.22800000000001,0.0,2.6,0.3586140388888887
6,7,71872,195435,58648,241269,0,9,3.0,15.2,28.0,22.58360215053764,29.14,100.0,75.50295698924731,1,359,167.3239247311828,0.0,0.6000000000000001,0.0885752688172043,20.700000000000003,36.1,28.101209677419355,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,59.0,82.0,72.65048387096775,69.0,97.0,82.58217741935485,0.0,2.0,0.2906012849462365
7,8,72179,180664,54039,222085,0,9,3.0,14.5,25.5,21.74153225806452,34.78,100.0,75.75993279569893,3,359,181.83736559139783,0.0,0.6000000000000001,0.0810483870967742,17.900000000000002,36.2,27.15255376344086,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,58.0,78.0,71.13475806451613,64.0,97.0,80.87459677419355,0.0,2.0,0.2659067903225807
8,9,54308,140196,35339,188064,0,9,3.0,16.2,26.200000000000003,21.55208333333333,29.46,100.0,76.84211111111111,3,359,166.39305555555555,0.0,0.7000000000000001,0.0902777777777777,17.900000000000002,37.5,26.71013888888889,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,61.0,79.0,70.79374999999999,64.0,100.0,80.07825,0.0,2.3,0.2961869444444442
9,10,38094,121672,27438,159550,0,8,2.0,-3.4000000000000004,23.3,14.10228494623656,22.03,100.0,71.94252688172043,2,357,154.63306451612902,0.0,1.0,0.116263440860215,5.6000000000000005,34.800000000000004,20.101881720430107,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,26.0,74.0,57.38411290322581,42.0,95.0,68.1833870967742,0.0,3.3,0.3814417473118278
10,11,26621,70450,23892,120419,0,9,3.0,-6.6000000000000005,20.6,6.577361111111111,33.29,100.0,82.47019444444445,1,359,192.49722222222223,0.0,1.0,0.13,-4.4,24.6,9.829583333333334,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,20.0,69.0,43.83925,24.0,76.0,49.693250000000006,0.0,3.3,0.4265092
11,12,25919,59378,21161,107182,0,9,4.0,-13.7,22.200000000000003,6.053897849462366,36.14,100.0,86.80998655913979,0,358,198.23521505376343,0.0,1.1,0.1088709677419354,-6.0,24.0,8.415188172043012,2018,Alabama,Tuscaloosa,United States,33.2065,-87.5346,7.0,72.0,42.89701612903226,21.0,75.0,47.14733870967742,0.0,3.6,0.3571882258064513
