,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21060,62161,20070,109647,0,12,3.0,-16.3,13.4,-1.2991935483870969,39.79,100.0,85.35119623655915,1,358,214.25,0.1,2.8000000000000003,0.9631720430107528,-9.4,16.900000000000002,1.0881720430107529,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,3.0,56.0,29.661451612903225,15.0,62.0,33.95870967741936,0.3,9.2,3.1600133655913982
1,2,31510,69624,23533,129948,0,9,4.0,-15.5,17.0,1.8828869047619048,44.89,100.0,86.7446130952381,0,357,167.1904761904762,0.2,2.6,1.1020833333333333,-9.5,19.4,4.042410714285714,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,4.0,63.0,35.38919642857143,15.0,67.0,39.276339285714286,0.7,8.5,3.615759083333333
2,3,40737,120181,32192,189327,0,9,3.0,-17.5,16.2,3.3501344086021505,32.14,100.0,79.32481182795699,1,359,174.7298387096774,0.1,2.9000000000000004,0.8772849462365592,-11.8,20.700000000000003,7.136424731182796,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,0.0,61.0,38.03024193548387,11.0,69.0,44.84556451612903,0.3,9.5,2.878231543010753
3,4,58884,157568,43014,218216,0,9,4.0,-4.3,21.3,10.755694444444446,33.34,100.0,79.53044444444444,0,359,198.14444444444445,0.1,1.9,0.7290277777777777,-0.7000000000000001,27.0,14.71777777777778,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,24.0,70.0,51.36025000000001,31.0,81.0,58.492,0.3,6.2,2.391823494444444
4,5,63594,176327,50997,247753,0,9,3.0,5.5,23.6,17.006720430107528,45.42,100.0,85.7578629032258,2,360,181.58198924731184,0.1,1.9,0.668010752688172,6.5,28.3,19.72325268817204,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,42.0,74.0,62.612096774193546,44.0,83.0,67.50185483870968,0.3,6.2,2.191636397849462
5,6,69075,194748,44885,250475,0,9,3.0,7.800000000000001,25.8,19.858472222222225,42.11,100.0,85.21379166666667,2,358,169.69305555555556,0.1,1.3,0.5484722222222222,12.0,30.4,22.74861111111111,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,46.0,78.0,67.74525,54.0,87.0,72.94749999999999,0.3,4.3,1.7994496055555556
6,7,65014,206885,46611,250143,0,9,2.0,14.3,26.6,21.37284946236559,39.21,100.0,80.95206989247312,3,355,153.91263440860214,0.1,1.4,0.5040322580645161,15.4,37.7,25.328897849462365,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,58.0,80.0,70.47112903225806,60.0,100.0,77.59201612903226,0.3,4.6,1.653649193548387
7,8,65701,157351,48111,224049,0,9,3.0,15.9,26.200000000000003,21.609946236559143,37.75,100.0,79.46026881720431,3,359,156.1747311827957,0.1,1.0,0.4236559139784946,15.9,36.9,26.0375,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,61.0,79.0,70.89790322580646,61.0,98.0,78.8675,0.3,3.3,1.3899472688172043
8,9,45709,154261,36113,184654,0,9,2.0,13.5,24.8,19.883750000000003,29.41,100.0,74.0111388888889,2,355,162.11805555555554,0.1,1.5,0.5386111111111112,18.3,36.0,25.536527777777778,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,56.0,77.0,67.79075,65.0,97.0,77.96575,0.3,4.9,1.7670968777777778
9,10,28586,115519,27499,154495,0,9,2.0,-8.200000000000001,21.9,8.956854838709678,32.45,100.0,77.81174731182796,1,359,163.58198924731184,0.1,1.4,0.6404569892473119,-3.7,30.3,13.224059139784949,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,17.0,71.0,48.12233870967742,25.0,87.0,55.80330645161291,0.3,4.6,2.1012369086021505
10,11,20022,84915,18987,113855,0,9,2.0,-14.9,16.900000000000002,2.9283333333333337,29.48,100.0,81.66854166666667,0,357,171.4375,0.1,1.9,0.6422222222222222,-10.0,19.200000000000003,6.184583333333334,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,5.0,62.0,37.271,14.0,67.0,43.13225,0.3,6.2,2.107028355555556
11,12,23324,68808,17334,98704,0,7,3.0,-9.0,16.0,2.082930107526882,43.23,100.0,83.74407258064517,2,357,194.21370967741936,0.0,1.9,0.7116935483870968,-4.9,17.900000000000002,4.855645161290322,2019,Arkansas,Fayetteville,United States,36.0764,-94.1608,16.0,61.0,35.74927419354839,23.0,64.0,40.74016129032258,0.0,6.2,2.3349526612903224
