,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22434,64623,20206,111548,0,9,3.0,-9.8,15.4,0.4751344086021505,45.76,100.0,84.83087365591398,1,358,225.03897849462365,0.2,6.300000000000001,1.8899193548387097,-7.1000000000000005,18.1,2.9489247311827955,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,14.0,60.0,32.85524193548387,19.0,65.0,37.30806451612903,0.7,20.7,6.200523016129032
1,2,30873,71755,23260,131143,0,9,4.0,-11.6,18.9,3.964434523809524,46.19,100.0,85.93119047619048,2,355,182.6622023809524,0.3,6.5,2.1886904761904766,-6.9,22.3,6.294345238095239,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,11.0,66.0,39.135982142857145,20.0,72.0,43.32982142857144,1.0,21.3,7.180743261904763
2,3,39896,126097,32477,189642,0,9,3.0,-14.3,18.5,5.284274193548387,35.17,100.0,78.49842741935484,0,358,192.1706989247312,0.4,6.7,2.0836021505376343,-7.9,22.1,9.221908602150538,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,6.0,65.0,41.5116935483871,18.0,72.0,48.59943548387097,1.3,22.0,6.835965279569892
3,4,58859,159787,44317,217043,0,9,4.0,-1.1,22.4,12.390833333333331,37.79,100.0,80.46445833333334,4,358,200.29861111111111,0.4,5.800000000000001,1.9822222222222223,1.0,28.6,16.151944444444442,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,30.0,72.0,54.3035,34.0,83.0,61.0735,1.3,19.0,6.503353955555556
4,5,65835,174374,51665,245454,0,9,3.0,7.0,25.1,18.545161290322586,49.47,100.0,84.96067204301075,1,358,187.70698924731184,0.3,5.1000000000000005,1.8274193548387097,8.3,30.0,21.422983870967744,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,45.0,77.0,65.38129032258065,47.0,86.0,70.56137096774194,1.0,16.7,5.995470516129032
5,6,70351,189863,46084,247646,0,9,3.0,10.4,26.8,21.13125,43.3,100.0,83.70059722222223,1,359,170.69166666666666,0.3,3.6,1.4579166666666667,13.7,32.4,24.337361111111115,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,51.0,80.0,70.03625,57.0,90.0,75.80725000000001,1.0,11.8,4.783191316666667
6,7,61101,207267,47713,247696,0,9,2.0,15.6,27.6,22.608467741935485,41.06,100.0,79.91793010752689,0,359,154.10752688172042,0.3,4.1000000000000005,1.3755376344086023,16.8,35.0,26.75537634408602,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,60.0,82.0,72.69524193548386,62.0,95.0,80.15967741935484,1.0,13.5,4.512918892473119
7,8,63916,167871,49050,222291,0,9,3.0,18.1,27.200000000000003,22.78508064516129,33.52,100.0,76.31698924731184,7,356,148.7768817204301,0.1,3.0,1.1522849462365592,18.9,38.400000000000006,27.990860215053765,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,65.0,81.0,73.01314516129032,66.0,101.0,82.38354838709678,0.3,9.8,3.780462543010753
8,9,46024,154438,37050,184049,0,8,2.0,16.5,25.700000000000003,21.239444444444448,32.72,100.0,73.2265,6,353,150.54722222222222,0.2,4.0,1.3543055555555557,20.6,36.6,27.08236111111111,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,62.0,78.0,70.23100000000001,69.0,98.0,80.74825,0.7,13.1,4.443259838888889
9,10,29929,118632,27237,155628,0,9,2.0,-6.6000000000000005,22.6,10.561559139784949,32.64,100.0,75.27907258064516,0,359,173.59139784946237,0.2,4.800000000000001,1.7716397849462366,-1.7000000000000002,32.5,15.4619623655914,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,20.0,73.0,51.01080645161291,29.0,90.0,59.83153225806452,0.7,15.7,5.812466672043011
10,11,20909,85706,19775,115326,0,8,2.0,-12.9,18.2,4.455138888888889,33.84,100.0,80.70620833333334,3,358,184.25972222222225,0.2,5.7,1.7143055555555555,-7.6,20.700000000000003,7.924722222222223,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,9.0,65.0,40.01925,18.0,69.0,46.2645,0.7,18.7,5.624362238888889
11,12,22952,71718,17567,100839,0,8,3.0,-6.2,17.3,3.4384408602150542,42.08,100.0,82.72985215053764,1,358,196.6854838709677,0.1,5.4,1.6038978494623657,-3.7,19.6,6.430510752688172,2019,Arkansas,Fort Smith,United States,35.3686,-94.3986,21.0,63.0,38.189193548387095,25.0,67.0,43.57491935483871,0.3,17.7,5.262132220430108
