,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22860,87039,20431,115719,0,9,2.0,-18.7,16.6,-2.231720430107527,34.69,100.0,75.96861559139785,1,359,187.0766129032258,0.2,2.9000000000000004,1.027956989247312,-14.2,19.4,1.9975806451612903,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,-2.0,62.0,27.982903225806453,6.0,67.0,35.59564516129032,0.7,9.5,3.372562408602151
1,2,30173,61608,26845,128971,0,9,4.0,-12.0,20.5,5.674553571428572,35.02,100.0,85.68308035714286,2,357,147.9389880952381,0.2,2.9000000000000004,1.0581845238095238,-5.800000000000001,23.700000000000003,8.171577380952382,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,10.0,69.0,42.21419642857143,22.0,75.0,46.70883928571429,0.7,9.5,3.471734113095238
2,3,45801,141840,35152,189252,0,9,3.0,-3.0,20.9,8.506989247311827,35.37,100.0,82.78642473118279,1,359,209.83467741935485,0.4,2.8000000000000003,1.0856182795698923,-1.6,24.5,11.718682795698928,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,27.0,70.0,47.31258064516129,29.0,76.0,53.09362903225807,1.3,9.2,3.561739876344085
3,4,52403,157240,45605,218908,0,9,2.0,-4.4,21.6,8.966805555555556,37.59,100.0,79.20015277777777,4,357,190.68472222222223,0.2,2.6,1.13125,-2.6,26.8,12.929166666666667,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,24.0,71.0,48.14025,27.0,80.0,55.2725,0.7,8.5,3.71145025
4,5,65606,198647,49761,244184,0,9,3.0,12.8,26.3,20.216397849462364,46.19,100.0,81.02641129032259,2,357,192.7311827956989,0.2,1.9,0.7577956989247313,13.7,34.0,24.122580645161293,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,55.0,79.0,68.38951612903226,57.0,93.0,75.42064516129034,0.7,6.2,2.486206440860216
5,6,67958,209303,50355,244470,0,9,2.0,13.8,26.8,21.08638888888889,32.13,100.0,68.96925,1,357,191.4638888888889,0.1,2.1,0.8211111111111111,16.8,38.7,28.174166666666668,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,57.0,80.0,69.9555,62.0,102.0,82.71350000000001,0.3,6.9,2.693934177777778
6,7,70176,194533,58999,241505,0,9,2.0,12.9,26.5,21.609946236559143,23.31,100.0,67.5316935483871,1,360,163.3978494623656,0.1,1.9,0.7018817204301075,20.3,40.400000000000006,29.28494623655914,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,55.0,80.0,70.89790322580646,69.0,105.0,84.71290322580646,0.3,6.2,2.302761623655914
7,8,65635,174410,54743,221003,0,9,3.0,10.1,26.700000000000003,21.411155913978494,22.12,100.0,75.10654569892473,4,358,183.1922043010753,0.2,1.6,0.7111559139784946,18.3,37.5,26.9755376344086,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,50.0,80.0,70.54008064516128,65.0,100.0,80.55596774193549,0.7,5.2,2.3331887688172044
8,9,50723,126329,35543,185614,0,9,2.0,13.6,25.3,20.317083333333336,36.89,100.0,80.93705555555556,3,353,112.57638888888889,0.1,1.8,0.7406944444444445,13.7,36.0,24.33013888888889,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,56.0,78.0,68.57075,57.0,97.0,75.79425,0.3,5.9,2.430099961111112
9,10,37272,107811,26587,154842,0,9,3.0,-1.2000000000000002,25.200000000000003,13.92231182795699,41.54,100.0,83.5707123655914,4,359,163.65725806451613,0.3,1.9,0.8303763440860216,3.1,31.8,17.023252688172043,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,30.0,77.0,57.06016129032258,38.0,89.0,62.64185483870968,1.0,6.2,2.724331924731183
10,11,27942,80042,21991,116659,0,9,3.0,-7.9,20.200000000000003,4.799861111111111,40.32,100.0,83.7392638888889,0,360,204.4138888888889,0.2,3.0,0.9484722222222222,-4.5,22.6,7.648055555555556,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,18.0,68.0,40.63975,24.0,73.0,45.7665,0.7,9.8,3.1117856055555557
11,12,22078,64788,21600,101252,0,9,3.0,-15.1,18.1,3.740860215053764,45.28,100.0,87.7153494623656,2,356,195.4717741935484,0.1,2.9000000000000004,0.9548387096774194,-7.300000000000001,19.9,5.812096774193548,2018,Arkansas,Little Rock,United States,34.7361,-92.3311,5.0,65.0,38.733548387096775,19.0,68.0,42.46177419354839,0.3,9.5,3.1326730322580643
