,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21160,61908,20027,109477,0,9,3.0,-16.900000000000002,13.3,-1.4864247311827958,40.04,100.0,85.96040322580646,1,358,214.25,0.2,3.0,1.0490591397849462,-10.0,16.7,0.7978494623655914,2019,Arkansas,Springdale,United States,36.1814,-94.1458,2.0,56.0,29.324435483870968,14.0,62.0,33.436129032258066,0.7,9.8,3.441795188172043
1,2,30994,69920,23405,129907,0,9,4.0,-15.8,16.7,1.633779761904762,46.26,100.0,87.34880952380952,0,357,167.1904761904762,0.3,2.9000000000000004,1.2008928571428572,-10.0,19.1,3.685714285714286,2019,Arkansas,Springdale,United States,36.1814,-94.1458,4.0,62.0,34.940803571428575,14.0,66.0,38.63428571428572,1.0,9.5,3.939937321428572
2,3,40474,119875,32186,189447,0,9,3.0,-17.7,15.9,3.1676075268817203,33.34,100.0,79.9855376344086,1,359,174.7298387096774,0.2,3.1,0.9888440860215054,-12.1,20.4,6.809811827956989,2019,Arkansas,Springdale,United States,36.1814,-94.1458,0.0,61.0,37.7016935483871,10.0,69.0,44.25766129032258,0.7,10.2,3.244239231182796
3,4,58107,159266,42845,218492,0,9,4.0,-4.4,21.1,10.624305555555557,34.03,100.0,79.95420833333333,0,359,198.14444444444445,0.2,2.2,0.8525000000000001,-1.2000000000000002,26.8,14.493194444444445,2019,Arkansas,Springdale,United States,36.1814,-94.1458,24.0,70.0,51.12375,30.0,80.0,58.08775,0.7,7.2,2.7969161000000007
4,5,63554,176446,50724,248120,0,9,3.0,5.5,23.4,16.859408602150538,44.49,100.0,86.19879032258065,2,360,181.58198924731184,0.1,2.1,0.7771505376344087,6.300000000000001,28.1,19.486559139784948,2019,Arkansas,Springdale,United States,36.1814,-94.1458,42.0,74.0,62.346935483870965,43.0,83.0,67.0758064516129,0.3,6.9,2.549706569892473
5,6,70375,193599,44817,250881,0,9,4.0,7.800000000000001,25.700000000000003,19.746388888888887,43.22,100.0,85.60231944444445,2,358,169.69305555555556,0.2,1.5,0.6415277777777778,11.7,30.8,22.554305555555555,2019,Arkansas,Springdale,United States,36.1814,-94.1458,46.0,78.0,67.5435,53.0,87.0,72.59774999999999,0.7,4.9,2.1047499944444445
6,7,66340,205279,46438,250439,0,9,2.0,14.3,26.3,21.297983870967744,39.69,100.0,81.51612903225806,3,355,153.91263440860214,0.1,1.6,0.5814516129032259,15.3,36.9,25.121236559139785,2019,Arkansas,Springdale,United States,36.1814,-94.1458,58.0,79.0,70.33637096774194,60.0,98.0,77.21822580645161,0.3,5.2,1.90764970967742
7,8,65822,156017,47861,224111,0,9,3.0,15.7,25.9,21.48561827956989,37.49,100.0,79.77728494623656,3,359,156.1747311827957,0.1,1.2000000000000002,0.4974462365591398,15.7,36.8,25.839381720430108,2019,Arkansas,Springdale,United States,36.1814,-94.1458,60.0,79.0,70.6741129032258,60.0,98.0,78.5108870967742,0.3,3.9,1.6320415107526882
8,9,47781,153233,35969,184723,0,9,2.0,12.5,24.5,19.705972222222226,29.15,100.0,73.95933333333333,2,355,162.11805555555554,0.2,1.7000000000000002,0.6284722222222222,18.0,35.9,25.386250000000004,2019,Arkansas,Springdale,United States,36.1814,-94.1458,54.0,76.0,67.47075000000001,64.0,97.0,77.69525000000002,0.7,5.6,2.061916805555556
9,10,28345,115064,27487,154434,0,9,2.0,-8.3,21.700000000000003,8.788440860215054,32.55,100.0,78.19752688172044,1,359,163.58198924731184,0.2,1.7000000000000002,0.7623655913978495,-3.9,30.4,12.981182795698924,2019,Arkansas,Springdale,United States,36.1814,-94.1458,17.0,71.0,47.8191935483871,25.0,87.0,55.36612903225807,0.7,5.6,2.5011995268817206
10,11,20010,84571,18961,113691,0,9,2.0,-15.0,16.7,2.75875,29.96,100.0,82.0518888888889,0,357,171.4375,0.1,2.2,0.7466666666666667,-10.2,19.1,5.941111111111112,2019,Arkansas,Springdale,United States,36.1814,-94.1458,5.0,62.0,36.96575,14.0,66.0,42.694,0.3,7.2,2.4496938666666668
11,12,23104,67983,17311,98509,0,9,3.0,-9.3,15.9,1.9174731182795697,43.84,100.0,84.2642876344086,2,357,194.21370967741936,0.1,2.1,0.8120967741935484,-5.2,17.7,4.5892473118279575,2019,Arkansas,Springdale,United States,36.1814,-94.1458,15.0,61.0,35.45145161290323,23.0,64.0,40.26064516129033,0.3,6.9,2.664359580645161
