,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25444,109618,20630,122152,0,8,2.0,-14.1,12.9,-4.144354838709678,7.03,86.62,29.890120967741936,10,342,128.15994623655914,0.3,5.9,2.127956989247312,2.0,28.5,15.076881720430109,2018,Arizona,Chandler,United States,33.3023,-111.8401,7.0,55.0,24.54016129032258,36.0,83.0,59.1383870967742,1.0,19.4,6.981486408602151
1,2,31983,119592,25112,140259,0,8,2.0,-14.4,10.7,-2.773214285714286,5.78,100.0,35.68196428571429,14,349,179.14583333333334,0.3,8.1,1.8174107142857143,1.2000000000000002,29.0,14.648809523809524,2018,Arizona,Chandler,United States,33.3023,-111.8401,6.0,51.0,27.008214285714285,34.0,84.0,58.36785714285715,1.0,26.6,5.962633767857143
2,3,48211,176993,32682,199060,0,9,3.0,-15.4,12.0,-2.3315860215053763,6.5200000000000005,83.93,29.089059139784943,11,350,190.8494623655914,0.3,5.800000000000001,1.8369623655913976,3.3000000000000003,33.7,18.02540322580645,2018,Arizona,Chandler,United States,33.3023,-111.8401,4.0,54.0,27.803145161290324,38.0,93.0,64.4457258064516,1.0,19.0,6.026779607526881
3,4,49266,216385,38355,231647,0,9,2.0,-18.6,12.4,-5.3075,2.91,56.3,15.832680555555555,3,357,210.3375,0.5,9.0,2.248888888888889,9.1,37.6,24.295972222222225,2018,Arizona,Chandler,United States,33.3023,-111.8401,-1.0,54.0,22.4465,48.0,100.0,75.73275000000001,1.6,29.5,7.378244622222223
4,5,46698,254961,41359,263429,0,7,1.0,-9.8,7.300000000000001,-1.3005376344086022,4.15,52.78,17.608306451612904,14,340,213.33602150537635,0.4,7.6,2.2396505376344087,12.0,41.3,27.56827956989247,2018,Arizona,Chandler,United States,33.3023,-111.8401,14.0,45.0,29.65903225806452,54.0,106.0,81.62290322580645,1.3,24.9,7.347935069892474
5,6,43673,250457,40839,262051,0,8,1.0,-10.8,19.5,0.5650000000000001,3.37,69.22,15.836041666666668,13,332,222.29305555555555,0.5,5.1000000000000005,2.05375,20.1,44.1,32.689861111111114,2018,Arizona,Chandler,United States,33.3023,-111.8401,13.0,67.0,33.017,68.0,111.0,90.84175,1.6,16.7,6.73802515
6,7,53699,230563,44255,250683,0,9,3.0,-5.5,23.4,14.228091397849465,5.48,82.09,33.986801075268815,11,353,195.19489247311827,0.3,6.6000000000000005,2.025403225806452,22.1,47.0,34.72486559139785,2018,Arizona,Chandler,United States,33.3023,-111.8401,22.0,74.0,57.61056451612904,72.0,117.0,94.50475806451612,1.0,21.7,6.64502391935484
7,8,51694,217486,42444,230466,0,9,2.0,3.6,22.700000000000003,15.84233870967742,8.82,82.79,38.497446236559135,15,338,215.88172043010752,0.3,4.5,1.5913978494623655,24.4,46.3,33.54018817204301,2018,Arizona,Chandler,United States,33.3023,-111.8401,38.0,73.0,60.51620967741936,76.0,115.0,92.37233870967742,1.0,14.8,5.221121720430107
8,9,32864,187536,30289,197142,0,8,1.0,-4.1000000000000005,21.4,10.335,6.08,90.92,29.223305555555555,6,353,205.67361111111111,0.2,5.0,1.669861111111111,22.4,43.400000000000006,32.25805555555556,2018,Arizona,Chandler,United States,33.3023,-111.8401,25.0,71.0,50.603,72.0,110.0,90.06450000000001,0.7,16.4,5.4785471277777775
9,10,35030,139250,27342,162083,0,8,2.0,-2.7,22.4,11.022849462365592,16.52,97.76,53.266129032258064,3,346,154.22043010752688,0.4,6.2,2.048655913978495,11.2,33.0,21.98225806451613,2018,Arizona,Chandler,United States,33.3023,-111.8401,27.0,72.0,51.84112903225807,52.0,91.0,71.56806451612903,1.3,20.3,6.721312268817205
10,11,25220,115581,21190,124939,0,9,2.0,-14.7,9.8,0.5515277777777778,9.23,100.0,38.05068055555556,7,351,139.26111111111112,0.2,5.300000000000001,1.741527777777778,3.9,28.4,16.12375,2018,Arizona,Chandler,United States,33.3023,-111.8401,6.0,50.0,32.99275,39.0,83.0,61.02275,0.7,17.4,5.713673994444445
11,12,26450,88436,19627,110048,0,8,2.0,-11.8,12.0,-0.5728494623655914,11.85,93.22,45.31028225806451,4,351,135.7056451612903,0.2,4.0,1.6736559139784948,-0.6000000000000001,24.6,12.05940860215054,2018,Arizona,Chandler,United States,33.3023,-111.8401,11.0,54.0,30.968870967741932,31.0,76.0,53.70693548387098,0.7,13.1,5.490997268817205
