,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,29647,91586,21373,118571,0,9,4.0,-11,10,1.9475806451612905,16.94,100.0,62.86555107526882,3.6,358.20000000000005,150.75940860215053,0.1,5.800000000000001,1.768010752688172,0,23,10.870967741935484,2017,Arizona,Glendale,United States,33.5386,-112.1837,12.0,50.0,35.505645161290325,32.0,73.0,51.56774193548387,0.3,19.0,5.800560397849463
1,2,33182,111957,23991,137104,0,9,4.0,-9,12,4.116071428571429,16.85,100.0,58.41455357142858,1.5,358.8,167.0324404761905,0.2,6.6000000000000005,1.6132440476190475,3,28,14.544642857142858,2017,Arizona,Glendale,United States,33.5386,-112.1837,16.0,54.0,39.408928571428575,37.0,82.0,58.18035714285715,0.7,21.7,5.292795601190476
2,3,42323,183966,34044,195737,0,8,2.0,-8,11,3.204301075268817,13.2,100.0,42.58995967741936,0.6000000000000001,356.0,175.082123655914,0.2,6.300000000000001,1.962768817204301,5,34,19.133064516129032,2017,Arizona,Glendale,United States,33.5386,-112.1837,18.0,52.0,37.76774193548387,41.0,93.0,66.43951612903226,0.7,20.7,6.439530446236558
3,4,50967,218861,42650,227514,0,9,2.0,-13,7,-0.3375,6.66,74.33,28.523569444444448,0.9,359.6,202.2723611111111,0.1,8.0,2.0761111111111115,7,36,21.815277777777776,2017,Arizona,Glendale,United States,33.5386,-112.1837,9.0,45.0,31.3925,45.0,97.0,71.2675,0.3,26.2,6.811388377777779
4,5,52669,251817,45936,258985,0,9,1.0,-9,12,0.864247311827957,5.08,72.14,24.859381720430108,0.1,358.1,204.3915322580645,0.2,8.5,2.2896505376344085,12,41,25.876344086021504,2017,Arizona,Glendale,United States,33.5386,-112.1837,16.0,54.0,33.55564516129032,54.0,106.0,78.57741935483871,0.7,27.9,7.511977069892473
5,6,49903,255494,48373,257077,0,8,1.0,-17,12,-0.2638888888888889,2.54,43.53,14.644749999999998,1.3,358.8,227.5981944444445,0.2,5.7,2.212083333333333,17,49,33.21944444444444,2017,Arizona,Glendale,United States,33.5386,-112.1837,1.0,54.0,31.525,63.0,120.0,91.795,0.7,18.7,7.257491483333332
6,7,58986,229471,49396,246818,0,9,3.0,-7,25,14.565860215053764,4.38,95.22,41.5164247311828,1.3,358.6,204.38293010752687,0.1,8.3,1.8028225806451608,25,47,33.46236559139785,2017,Arizona,Glendale,United States,33.5386,-112.1837,19.0,77.0,58.21854838709677,77.0,117.0,92.23225806451612,0.3,27.2,5.9147724354838696
7,8,46554,219697,39552,233162,0,8,2.0,0,24,12.345430107526882,9.83,89.8,35.23885752688172,1.4,359.70000000000005,177.68763440860215,0.1,5.2,1.6637096774193547,22,43,33.11290322580645,2017,Arizona,Glendale,United States,33.5386,-112.1837,32.0,75.0,54.221774193548384,72.0,109.0,91.6032258064516,0.3,17.1,5.458365258064516
8,9,41963,188255,39361,193221,0,8,1.0,-11,20,6.033333333333333,6.69,77.82000000000001,28.27973611111111,3.3000000000000003,356.40000000000003,191.78847222222225,0.2,6.6000000000000005,1.878055555555556,14,43,29.175,2017,Arizona,Glendale,United States,33.5386,-112.1837,12.0,68.0,42.86,57.0,109.0,84.515,0.7,21.7,6.16159978888889
9,10,29288,161604,27270,164716,0,8,1.0,-16,10,-1.0443548387096775,3.78,62.58,21.23649193548388,0.6000000000000001,359.8,168.0366935483871,0.2,6.0,2.022715053763441,15,38,25.336021505376344,2017,Arizona,Glendale,United States,33.5386,-112.1837,3.0,50.0,30.12016129032258,59.0,100.0,77.60483870967742,0.7,19.7,6.636204456989248
10,11,28506,108281,20948,121104,0,8,3.0,-20,11,-0.1430555555555555,4.1,84.55,30.257097222222225,1.3,360.0,156.58583333333334,0.1,5.0,1.5641666666666667,10,32,20.53611111111111,2017,Arizona,Glendale,United States,33.5386,-112.1837,-4.0,52.0,31.7425,50.0,90.0,68.965,0.3,16.4,5.1317805666666665
11,12,24915,100115,19279,109527,0,8,3.0,-19,8,-7.986559139784946,5.1000000000000005,94.21,26.47962365591398,0.7000000000000001,359.70000000000005,120.64677419354838,0.2,5.5,1.8393817204301075,1,28,13.98252688172043,2017,Arizona,Glendale,United States,33.5386,-112.1837,-2.0,46.0,17.624193548387098,34.0,82.0,57.16854838709678,0.7,18.0,6.034717123655914
