,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26100,108395,20687,121592,0,8,2.0,-15.1,13.0,-4.248252688172044,7.23,87.62,29.922540322580645,10,342,128.15994623655914,0.1,5.800000000000001,2.1400537634408603,1.9,28.3,15.008064516129032,2018,Arizona,Mesa,United States,33.4152,-111.8315,5.0,55.0,24.35314516129032,35.0,83.0,59.01451612903226,0.3,19.0,7.021173989247312
1,2,32591,118002,25215,139720,0,8,2.0,-14.8,10.8,-2.8866071428571427,5.8100000000000005,100.0,35.69026785714286,14,349,179.14583333333334,0.2,8.1,1.828869047619048,0.8,29.0,14.470238095238097,2018,Arizona,Mesa,United States,33.4152,-111.8315,5.0,51.0,26.80410714285714,33.0,84.0,58.04642857142858,0.7,26.6,6.000226726190477
2,3,48745,175476,32762,198623,0,9,3.0,-15.8,12.1,-2.6103494623655914,6.3500000000000005,85.2,28.76501344086022,11,350,190.8494623655914,0.1,5.800000000000001,1.844489247311828,3.2,33.5,17.925,2018,Arizona,Mesa,United States,33.4152,-111.8315,4.0,54.0,27.30137096774193,38.0,92.0,64.265,0.3,19.0,6.051474102150538
3,4,49941,215389,38501,231311,0,9,2.0,-18.9,13.1,-5.4695833333333335,2.99,61.03,15.760375,3,357,210.3375,0.3,9.0,2.2550000000000003,8.9,37.5,24.16847222222222,2018,Arizona,Mesa,United States,33.4152,-111.8315,-2.0,56.0,22.15475,48.0,100.0,75.50325000000001,1.0,29.5,7.398294200000001
4,5,47062,254325,41614,263254,0,7,1.0,-10.0,7.1000000000000005,-1.415725806451613,4.15,52.21,17.492943548387096,14,340,213.33602150537635,0.2,7.4,2.2165322580645164,11.8,41.2,27.458198924731185,2018,Arizona,Mesa,United States,33.4152,-111.8315,14.0,45.0,29.451693548387095,53.0,106.0,81.42475806451614,0.7,24.3,7.272087693548388
5,6,44595,250517,41161,262124,0,8,1.0,-10.8,19.5,0.2788888888888889,3.39,71.62,15.536597222222223,13,332,222.29305555555555,0.3,5.0,2.02625,19.9,43.900000000000006,32.63722222222222,2018,Arizona,Mesa,United States,33.4152,-111.8315,13.0,67.0,32.502,68.0,111.0,90.747,1.0,16.4,6.64780205
6,7,54641,227524,44513,250602,0,9,3.0,-5.5,24.5,14.09502688172043,5.45,82.38,33.97344086021506,11,353,195.19489247311827,0.2,6.7,2.020430107526882,21.9,47.0,34.65577956989247,2018,Arizona,Mesa,United States,33.4152,-111.8315,22.0,76.0,57.37104838709678,71.0,117.0,94.38040322580645,0.7,22.0,6.628707913978495
7,8,53436,217249,42727,230398,0,9,2.0,3.2,22.9,15.729435483870969,8.92,83.79,38.52047043010753,15,338,215.88172043010752,0.1,4.800000000000001,1.5825268817204303,24.4,46.1,33.41639784946236,2018,Arizona,Mesa,United States,33.4152,-111.8315,38.0,73.0,60.31298387096774,76.0,115.0,92.14951612903226,0.3,15.7,5.192017494623657
8,9,33312,186554,30282,196973,0,8,1.0,-4.6000000000000005,21.200000000000003,9.845416666666669,5.95,90.07000000000001,28.29047222222222,6,353,205.67361111111111,0.1,5.0,1.6875,22.4,43.2,32.20319444444444,2018,Arizona,Mesa,United States,33.4152,-111.8315,24.0,70.0,49.72175,72.0,110.0,89.96575,0.3,16.4,5.5364175
9,10,36119,136172,27453,161506,0,8,2.0,-4.0,22.5,10.926478494623655,15.5,98.45,53.395833333333336,3,346,154.22043010752688,0.2,6.4,2.05497311827957,11.3,32.800000000000004,21.850806451612904,2018,Arizona,Mesa,United States,33.4152,-111.8315,25.0,72.0,51.66766129032258,52.0,91.0,71.33145161290324,0.7,21.0,6.742038005376345
10,11,25613,114701,21185,124442,0,9,2.0,-14.8,9.7,0.2894444444444444,9.16,100.0,37.763930555555554,7,351,139.26111111111112,0.2,5.300000000000001,1.757638888888889,3.5,28.1,16.009722222222223,2018,Arizona,Mesa,United States,33.4152,-111.8315,5.0,49.0,32.521,38.0,83.0,60.8175,0.7,17.4,5.766531972222222
11,12,26793,88430,19691,109416,0,8,2.0,-12.0,11.8,-0.8048387096774194,11.49,93.37,44.984475806451606,4,351,135.7056451612903,0.1,4.3,1.6834677419354838,-0.6000000000000001,24.5,11.96505376344086,2018,Arizona,Mesa,United States,33.4152,-111.8315,10.0,53.0,30.551290322580645,31.0,76.0,53.53709677419355,0.3,14.1,5.523188306451613
