,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26039,106836,20762,121204,0,9,3.0,-15.2,13.0,-4.184946236559139,7.2,87.10000000000001,29.57400537634409,10,342,128.15994623655914,0.2,5.800000000000001,2.1432795698924734,2.1,28.5,15.247043010752687,2018,Arizona,Phoenix,United States,33.45,-112.0667,5.0,55.0,24.46709677419355,36.0,83.0,59.44467741935484,0.7,19.0,7.031757344086023
1,2,32111,116436,25313,139413,0,8,2.0,-15.2,10.6,-2.9017857142857144,5.93,100.0,35.15998511904762,14,349,179.14583333333334,0.3,8.200000000000001,1.8321428571428573,0.9,29.1,14.659375,2018,Arizona,Phoenix,United States,33.45,-112.0667,5.0,51.0,26.776785714285715,34.0,84.0,58.386875,1.0,26.9,6.010967571428572
2,3,48199,175688,32826,198183,0,9,3.0,-15.7,12.1,-2.587365591397849,6.32,84.5,28.43025537634409,11,350,190.8494623655914,0.2,5.800000000000001,1.8510752688172043,3.4000000000000004,33.800000000000004,18.13615591397849,2018,Arizona,Phoenix,United States,33.45,-112.0667,4.0,54.0,27.342741935483872,38.0,93.0,64.64508064516129,0.7,19.0,6.073081784946236
3,4,50593,214799,38955,230720,0,9,2.0,-18.9,13.3,-5.317777777777778,2.99,61.1,15.744583333333336,3,357,210.3375,0.3,9.0,2.265138888888889,9.3,37.8,24.40375,2018,Arizona,Phoenix,United States,33.45,-112.0667,-2.0,56.0,22.428,49.0,100.0,75.92675,1.0,29.5,7.431558272222222
4,5,46810,254548,42010,262608,0,8,1.0,-10.0,7.2,-1.2438172043010751,4.09,53.09,17.514045698924733,14,340,213.33602150537635,0.3,7.5,2.2280913978494623,11.9,41.3,27.65913978494624,2018,Arizona,Phoenix,United States,33.45,-112.0667,14.0,45.0,29.761129032258065,53.0,106.0,81.78645161290324,1.0,24.6,7.31001138172043
5,6,45796,249888,41557,261756,0,8,1.0,-10.4,19.3,0.3531944444444444,3.45,69.98,15.371041666666668,13,332,222.29305555555555,0.3,5.0,2.039861111111111,20.200000000000003,44.3,32.86569444444444,2018,Arizona,Phoenix,United States,33.45,-112.0667,13.0,67.0,32.63575,68.0,112.0,91.15825,1.0,16.4,6.692457927777777
6,7,56172,229331,45014,250205,0,9,3.0,-5.2,24.200000000000003,14.161021505376343,5.42,82.57000000000001,33.634032258064515,11,353,195.19489247311827,0.3,6.5,2.021774193548388,22.3,47.1,34.90147849462366,2018,Arizona,Phoenix,United States,33.45,-112.0667,23.0,76.0,57.48983870967741,72.0,117.0,94.8226612903226,1.0,21.3,6.633117645161293
7,8,51641,219876,43050,230023,0,9,2.0,3.5,22.8,15.736693548387096,8.83,82.12,37.81737903225807,15,338,215.88172043010752,0.1,4.800000000000001,1.5970430107526885,24.700000000000003,46.400000000000006,33.70873655913979,2018,Arizona,Phoenix,United States,33.45,-112.0667,38.0,73.0,60.326048387096776,76.0,116.0,92.67572580645162,0.3,15.7,5.239642591397851
8,9,34076,185876,30595,196495,0,8,1.0,-4.9,21.200000000000003,9.836666666666666,5.75,88.89,27.861013888888888,6,353,205.67361111111111,0.2,5.0,1.6919444444444445,22.6,43.400000000000006,32.451527777777784,2018,Arizona,Phoenix,United States,33.45,-112.0667,23.0,70.0,49.706,73.0,110.0,90.41275000000002,0.7,16.4,5.550999011111111
9,10,35955,136595,27627,161195,0,9,2.0,-4.0,22.5,10.95228494623656,15.04,97.16,52.67701612903225,3,346,154.22043010752688,0.2,6.4,2.056317204301076,11.8,32.9,22.103897849462363,2018,Arizona,Phoenix,United States,33.45,-112.0667,25.0,72.0,51.71411290322581,53.0,91.0,71.78701612903225,0.7,21.0,6.746447736559142
10,11,25511,115308,21404,124069,0,9,2.0,-14.6,9.8,0.3058333333333334,9.16,100.0,37.209375,7,351,139.26111111111112,0.2,5.300000000000001,1.7620833333333334,3.9,28.4,16.24763888888889,2018,Arizona,Phoenix,United States,33.45,-112.0667,6.0,50.0,32.5505,39.0,83.0,61.24575,0.7,17.4,5.781113483333334
11,12,26107,88535,19795,109057,0,8,2.0,-11.7,11.9,-0.7797043010752689,11.44,93.0,44.33251344086021,4,351,135.7056451612903,0.1,4.2,1.6870967741935483,-0.2,24.6,12.179032258064517,2018,Arizona,Phoenix,United States,33.45,-112.0667,11.0,53.0,30.59653225806452,32.0,76.0,53.92225806451613,0.3,13.8,5.535094580645161
