,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26578,105281,19607,126802,0,9,3.0,-11,9,0.0981182795698924,11.94,100.0,62.03116935483871,0.4,358.90000000000003,190.5760752688172,0.2,9.2,2.4720430107526883,-1,26,9.96774193548387,2017,Arizona,Tucson,United States,32.2217,-110.9264,12.0,48.0,32.17661290322581,30.0,79.0,49.94193548387096,0.7,30.2,8.11037759139785
1,2,32768,124707,22116,145506,0,9,3.0,-12,9,1.505952380952381,12.49,100.0,55.41641369047619,2.2,359.90000000000003,196.5452380952381,0.1,10.2,2.3867559523809527,3,30,13.563988095238097,2017,Arizona,Tucson,United States,32.2217,-110.9264,10.0,48.0,34.71071428571429,37.0,86.0,56.41517857142857,0.3,33.5,7.830564398809525
2,3,40356,192592,31670,203323,0,8,2.0,-7,8,0.4314516129032258,10.61,100.0,38.59530913978495,1.5,359.70000000000005,207.4654569892473,0.1,8.1,2.385215053763441,4,33,18.326612903225808,2017,Arizona,Tucson,United States,32.2217,-110.9264,19.0,46.0,32.776612903225804,39.0,91.0,64.98790322580646,0.3,26.6,7.825508956989247
3,4,47176,224130,39877,233736,0,9,2.0,-13,8,-3.35,6.140000000000001,76.09,25.60420833333333,0.5,359.5,237.01486111111112,0.0,7.800000000000001,2.572777777777778,5,36,20.70833333333333,2017,Arizona,Tucson,United States,32.2217,-110.9264,9.0,46.0,25.97,41.0,97.0,69.27499999999999,0.0,25.6,8.440872244444446
4,5,51947,251835,43384,263955,0,8,1.0,-12,8,-2.060483870967742,5.5200000000000005,91.78,24.371397849462365,0.4,359.90000000000003,221.9228494623656,0.3,9.4,2.923521505376344,9,39,23.881720430107528,2017,Arizona,Tucson,United States,32.2217,-110.9264,10.0,46.0,28.291129032258063,48.0,102.0,74.98709677419356,1.0,30.8,9.591606295698924
5,6,49895,251861,47371,257994,0,8,1.0,-19,14,0.0013888888888888,2.0,56.18,17.90175,0.2,359.90000000000003,239.5268055555556,0.3,8.200000000000001,2.623888888888889,18,46,31.31111111111111,2017,Arizona,Tucson,United States,32.2217,-110.9264,-2.0,57.0,32.0025,64.0,115.0,88.36,1.0,26.9,8.608559622222224
6,7,61734,219535,50654,247304,0,9,4.0,-4,22,15.637096774193548,5.94,100.0,56.8372311827957,0.5,359.6,230.74408602150532,0.2,5.9,1.944758064516129,22,43,29.330645161290324,2017,Arizona,Tucson,United States,32.2217,-110.9264,25.0,72.0,60.14677419354839,72.0,109.0,84.79516129032258,0.7,19.4,6.380440048387097
7,8,46862,217207,37862,236098,0,9,2.0,3,21,14.224462365591398,13.64,100.0,50.34846774193549,1.9,359.5,185.40564516129035,0.2,5.4,2.012231182795699,19,39,29.18279569892473,2017,Arizona,Tucson,United States,32.2217,-110.9264,37.0,70.0,57.60403225806452,66.0,102.0,84.52903225806452,0.7,17.7,6.601808553763441
8,9,40963,187848,35729,199086,0,8,2.0,-6,18,8.340277777777779,10.15,92.69,40.51170833333333,0.9,359.0,200.98402777777773,0.2,7.2,2.3247222222222224,14,40,26.36805555555556,2017,Arizona,Tucson,United States,32.2217,-110.9264,21.0,64.0,47.0125,57.0,104.0,79.4625,0.7,23.6,7.627041655555556
9,10,29505,165020,25873,170045,0,8,1.0,-11,10,1.0954301075268815,5.5600000000000005,81.21000000000001,28.449341397849462,0.2,358.1,189.4506720430108,0.1,7.4,2.463306451612904,12,37,23.748655913978496,2017,Arizona,Tucson,United States,32.2217,-110.9264,12.0,50.0,33.971774193548384,54.0,99.0,74.74758064516129,0.3,24.3,8.081714338709679
10,11,27563,117459,19534,128791,0,8,3.0,-12,11,-0.5347222222222222,8.3,100.0,32.20279166666666,0.1,359.8,180.8993055555556,0.1,6.2,1.8177777777777773,9,33,19.83888888888889,2017,Arizona,Tucson,United States,32.2217,-110.9264,10.0,52.0,31.0375,48.0,91.0,67.71000000000001,0.3,20.3,5.963838044444444
11,12,27272,99047,19560,115403,0,9,3.0,-20,7,-4.400537634408602,7.33,100.0,37.74918010752688,0.8,359.70000000000005,151.45416666666668,0.1,7.6,2.2419354838709675,0,27,12.931451612903226,2017,Arizona,Tucson,United States,32.2217,-110.9264,-4.0,45.0,24.079032258064515,32.0,81.0,55.27661290322581,0.3,24.9,7.355431612903225
