,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,30854,73985,26192,100816,0,9,4.0,-9.9,12.5,5.273790322580646,22.22,98.36,69.74880376344086,4,352,222.77956989247312,0.3,6.7,1.5702956989247312,1.3,20.8,11.02325268817204,2019,California,Fresno,United States,36.7317,-119.7859,14.0,54.0,41.49282258064516,34.0,69.0,51.84185483870967,1.0,22.0,5.151888940860215
1,2,37060,88573,30835,122790,0,9,4.0,-5.9,13.3,3.4020833333333336,39.08,96.32,75.50504464285714,7,356,220.83630952380952,0.4,6.800000000000001,1.961755952380952,-1.1,18.7,7.749851190476191,2019,California,Fresno,United States,36.7317,-119.7859,21.0,56.0,38.12375,30.0,66.0,45.94973214285714,1.3,22.3,6.436207398809523
2,3,50815,149858,43198,180360,0,9,3.0,-1.3,13.5,7.302956989247312,37.29,96.28,73.24358870967743,9,356,254.1008064516129,0.2,5.300000000000001,1.6458333333333333,2.9000000000000004,24.8,12.399059139784946,2019,California,Fresno,United States,36.7317,-119.7859,30.0,56.0,45.14532258064516,37.0,77.0,54.3183064516129,0.7,17.4,5.3997158333333335
3,4,55000,194678,41287,217141,0,8,2.0,2.8000000000000003,17.3,10.092222222222222,21.6,94.53,63.16169444444444,2,356,281.6763888888889,0.4,7.2,1.840833333333333,6.4,34.0,18.03597222222222,2019,California,Fresno,United States,36.7317,-119.7859,37.0,63.0,50.166,44.0,93.0,64.46475,1.3,23.6,6.0394796333333325
4,5,66030,203866,50875,250868,0,9,2.0,1.2000000000000002,16.5,9.38481182795699,15.68,94.88,59.20665322580645,5,354,289.30645161290323,0.5,5.7,1.9821236559139783,7.300000000000001,31.9,18.5244623655914,2019,California,Fresno,United States,36.7317,-119.7859,34.0,62.0,48.89266129032258,45.0,89.0,65.34403225806452,1.6,18.7,6.503030575268816
5,6,47933,250424,42036,257024,0,9,1.0,-3.2,18.6,9.01013888888889,8.38,87.67,36.109763888888885,6,357,285.41527777777776,0.5,5.300000000000001,2.075138888888889,13.8,41.400000000000006,27.233472222222225,2019,California,Fresno,United States,36.7317,-119.7859,26.0,65.0,48.21825,57.0,107.0,81.02025,1.6,17.4,6.808198672222223
6,7,43877,255982,40225,259865,0,8,0.0,-4.2,13.5,5.874596774193548,6.63,59.65,24.41380376344086,79,358,291.0268817204301,0.5,5.5,2.215725806451613,17.0,43.8,30.29381720430108,2019,California,Fresno,United States,36.7317,-119.7859,24.0,56.0,42.57427419354839,63.0,111.0,86.52887096774194,1.6,18.0,7.26944185483871
7,8,40442,232715,37677,235948,0,7,0.0,-3.3000000000000003,17.2,6.1228494623655925,7.85,65.58,24.835752688172043,177,353,298.53629032258067,0.4,4.5,2.065725806451613,18.7,44.1,30.27836021505377,2019,California,Fresno,United States,36.7317,-119.7859,26.0,63.0,43.02112903225807,66.0,111.0,86.50104838709679,1.3,14.8,6.77731585483871
8,9,35276,186449,32282,190739,0,7,0.0,-3.7,14.0,6.230833333333333,7.99,82.61,32.98116666666667,3,357,300.71527777777777,0.6000000000000001,5.800000000000001,2.028888888888889,10.6,40.900000000000006,25.71986111111111,2019,California,Fresno,United States,36.7317,-119.7859,25.0,57.0,43.2155,51.0,106.0,78.29575,2.0,19.0,6.656459822222223
9,10,36192,147161,34780,150622,0,8,1.0,-19.9,11.1,-3.5388440860215056,4.8,86.65,24.920524193548385,1,359,278.1975806451613,0.4,6.0,1.6952956989247312,7.1000000000000005,34.7,19.585618279569893,2019,California,Fresno,United States,36.7317,-119.7859,-4.0,52.0,25.63008064516129,45.0,94.0,67.2541129032258,1.3,19.7,5.561993940860215
10,11,31008,93146,29923,104113,0,8,2.0,-14.2,8.9,0.2913888888888889,6.7,94.93,43.596875,1,358,261.2625,0.3,7.5,1.44375,1.6,29.4,15.008472222222222,2019,California,Fresno,United States,36.7317,-119.7859,6.0,48.0,32.5245,35.0,85.0,59.01525,1.0,24.6,4.736712750000001
11,12,27667,59789,25366,89365,0,9,4.0,-6.300000000000001,13.9,5.06263440860215,32.6,99.05,70.91778225806452,8,349,232.2728494623656,0.4,4.9,1.4923387096774192,2.1,20.9,10.48521505376344,2019,California,Fresno,United States,36.7317,-119.7859,21.0,57.0,41.11274193548387,36.0,70.0,50.8733870967742,1.3,16.1,4.896124532258064
