,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,28724,94818,21858,115462,0,8,3.0,-7.4,14.6,4.627553763440861,13.65,100.0,51.26509408602151,3,358,139.5013440860215,0.1,6.300000000000001,1.9998655913978496,4.9,28.3,15.993413978494624,2018,California,Los Angeles,United States,34.0522,-118.2433,19.0,58.0,40.32959677419355,41.0,83.0,60.78814516129032,0.3,20.7,6.56123902688172
1,2,28128,128385,24137,137673,0,8,1.0,-13.2,11.9,2.6529761904761906,12.44,98.0,51.3444494047619,4,355,164.48214285714286,0.3,6.6000000000000005,2.065327380952381,2.5,27.8,13.845386904761906,2018,California,Los Angeles,United States,34.0522,-118.2433,8.0,53.0,36.775357142857146,36.0,82.0,56.92169642857143,1.0,21.7,6.77600868452381
2,3,47667,147652,36085,192785,0,9,3.0,-7.0,15.0,6.249731182795699,14.25,97.12,62.33315860215054,4,356,189.6008064516129,0.1,5.4,2.047177419354839,4.5,26.200000000000003,14.554032258064517,2018,California,Los Angeles,United States,34.0522,-118.2433,19.0,59.0,43.24951612903226,40.0,79.0,58.19725806451613,0.3,17.7,6.71646156451613
3,4,53476,205818,40842,225989,0,7,2.0,-5.2,16.2,7.022916666666666,13.09,96.86,57.03670833333334,7,350,197.2555555555556,0.1,7.1000000000000005,2.128055555555556,6.300000000000001,31.9,16.9225,2018,California,Los Angeles,United States,34.0522,-118.2433,23.0,61.0,44.64125,43.0,89.0,62.4605,0.3,23.3,6.98180978888889
4,5,62169,176635,49695,254732,0,8,2.0,3.7,15.2,10.573521505376345,19.0,94.03,66.29618279569893,10,355,214.41801075268816,0.1,5.6000000000000005,2.16478494623656,11.2,30.1,17.75913978494624,2018,California,Los Angeles,United States,34.0522,-118.2433,39.0,59.0,51.03233870967742,52.0,86.0,63.96645161290323,0.3,18.4,7.102313043010755
5,6,49680,229129,42856,260528,0,7,1.0,3.1,15.7,10.710833333333332,18.67,92.01,54.94347222222223,13,335,178.4138888888889,0.2,5.300000000000001,1.9590277777777776,12.1,31.5,21.13277777777778,2018,California,Los Angeles,United States,34.0522,-118.2433,38.0,60.0,51.2795,54.0,89.0,70.039,0.7,17.4,6.427256694444444
6,7,54739,240421,48360,250606,0,8,1.0,3.5,19.3,13.506317204301077,9.59,87.51,47.59637096774193,4,340,178.46639784946237,0.2,4.3,1.869489247311828,15.7,42.5,26.67311827956989,2018,California,Los Angeles,United States,34.0522,-118.2433,38.0,67.0,56.31137096774194,60.0,108.0,80.0116129032258,0.7,14.1,6.133495102150538
7,8,51558,222074,48378,230921,0,7,1.0,3.9,19.1,13.113709677419354,13.77,90.29,50.020833333333336,10,353,183.9798387096774,0.1,4.6000000000000005,1.7791666666666668,16.400000000000002,37.7,25.416263440860217,2018,California,Los Angeles,United States,34.0522,-118.2433,39.0,66.0,55.60467741935484,62.0,100.0,77.74927419354839,0.3,15.1,5.837161166666667
8,9,34799,185546,31220,198862,0,7,1.0,1.7000000000000002,18.3,11.304166666666667,15.46,91.98,50.81568055555556,9,355,178.03194444444443,0.2,4.3,1.6788888888888889,15.5,34.300000000000004,23.26402777777778,2018,California,Los Angeles,United States,34.0522,-118.2433,35.0,65.0,52.3475,60.0,94.0,73.87525000000001,0.7,14.1,5.508165822222222
9,10,35152,145889,29174,160400,0,9,1.0,-5.7,17.0,9.66962365591398,13.1,94.87,54.54833333333333,4,340,160.30510752688173,0.2,9.0,1.775268817204301,12.8,31.200000000000003,20.56048387096774,2018,California,Los Angeles,United States,34.0522,-118.2433,22.0,63.0,49.40532258064516,55.0,88.0,69.00887096774193,0.7,29.5,5.824372946236559
10,11,29132,108027,24095,118542,0,8,2.0,-8.1,14.8,5.103055555555556,11.1,97.98,49.80238888888889,4,358,144.6027777777778,0.2,7.5,2.056805555555556,9.2,30.9,17.645,2018,California,Los Angeles,United States,34.0522,-118.2433,17.0,59.0,41.185500000000005,49.0,88.0,63.761,0.7,24.6,6.74804993888889
11,12,23749,90451,19708,105814,0,9,2.0,-8.0,13.0,5.414784946236559,18.17,99.02,60.84616935483872,3,357,138.08870967741936,0.2,6.1000000000000005,2.0663978494623656,4.3,23.9,13.617876344086024,2018,California,Los Angeles,United States,34.0522,-118.2433,18.0,55.0,41.74661290322581,40.0,75.0,56.51217741935484,0.7,20.0,6.779520720430107
