,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,27896,75646,18194,99854,0,9,3.0,3.9,13.4,8.554973118279571,53.98,100.0,87.70911290322582,1,354,219.4583333333333,0.4,7.7,2.363709677419355,5.7,18.6,10.659139784946236,2020,California,San Diego,United States,32.715,-117.1625,39.0,56.0,47.39895161290323,42.0,65.0,51.18645161290323,1.3,25.3,7.754953258064516
1,2,23078,116542,19368,124610,0,9,2.0,-3.1,12.6,7.158630952380953,34.730000000000004,100.0,74.6917261904762,1,360,214.3883928571429,0.4,8.0,2.3998511904761903,3.8,22.200000000000003,12.005208333333334,2020,California,San Diego,United States,32.715,-117.1625,26.0,55.0,44.88553571428572,39.0,72.0,53.609375,1.3,26.2,7.873527779761904
2,3,49554,136470,30312,183266,0,8,2.0,0.4,11.4,7.467204301075269,33.35,100.0,77.09396505376344,1,359,215.46370967741936,0.3,5.4,2.2978494623655914,5.800000000000001,23.200000000000003,11.6991935483871,2020,California,San Diego,United States,32.715,-117.1625,33.0,53.0,45.44096774193548,42.0,74.0,53.05854838709678,1.0,17.7,7.538876430107527
3,4,52722,174017,38518,217595,0,9,2.0,0.9,13.6,9.321111111111112,29.3,100.0,76.9640138888889,6,348,261.6375,0.4,5.4,2.901805555555556,7.1000000000000005,24.700000000000003,13.749583333333334,2020,California,San Diego,United States,32.715,-117.1625,34.0,56.0,48.778000000000006,45.0,76.0,56.74925,1.3,17.7,9.52035973888889
4,5,63988,217245,42178,255718,0,8,2.0,4.800000000000001,14.8,10.73010752688172,25.81,100.0,73.09850806451612,180,357,269.5497311827957,0.6000000000000001,5.5,2.8690860215053764,8.6,28.700000000000003,16.289516129032258,2020,California,San Diego,United States,32.715,-117.1625,41.0,59.0,51.314193548387095,47.0,84.0,61.321129032258064,2.0,18.0,9.4130121827957
5,6,56833,236200,38632,260066,0,8,1.0,4.3,13.4,11.05472222222222,22.89,98.3,68.40281944444445,4,355,271.0625,0.4,6.800000000000001,3.143333333333333,10.8,28.5,17.74277777777778,2020,California,San Diego,United States,32.715,-117.1625,40.0,56.0,51.8985,51.0,83.0,63.937,1.3,22.3,10.312773733333332
6,7,66640,219093,38926,262970,0,7,1.0,7.800000000000001,13.3,11.427150537634407,31.63,100.0,71.11315860215053,198,332,258.73655913978496,0.8,6.1000000000000005,2.996505376344086,11.6,27.0,17.40698924731183,2020,California,San Diego,United States,32.715,-117.1625,46.0,56.0,52.56887096774193,53.0,81.0,63.3325806451613,2.6,20.0,9.831054698924731
7,8,71831,178759,51694,222362,0,8,1.0,8.4,15.4,12.655913978494624,20.41,100.0,68.87599462365591,5,338,261.48655913978496,0.8,5.2,2.6524193548387096,12.3,35.300000000000004,19.29475806451613,2020,California,San Diego,United States,32.715,-117.1625,47.0,60.0,54.78064516129032,54.0,96.0,66.73056451612904,2.6,17.1,8.702163516129032
8,9,54100,163091,52231,172731,0,11,0.0,3.2,16.8,12.71097222222222,16.490000000000002,100.0,69.34906944444445,7,357,263.5708333333333,0.4,4.7,2.252361111111111,12.6,37.1,19.61152777777778,2020,California,San Diego,United States,32.715,-117.1625,38.0,62.0,54.87975,55.0,99.0,67.30075000000001,1.3,15.4,7.389636427777777
9,10,33404,135202,29415,145639,0,8,1.0,-6.0,15.7,9.136827956989247,15.41,100.0,60.19310483870967,1,357,233.3481182795699,0.4,6.1000000000000005,1.9403225806451607,11.0,32.4,18.5875,2020,California,San Diego,United States,32.715,-117.1625,21.0,60.0,48.44629032258064,52.0,90.0,65.4575,1.3,20.0,6.365887935483871
10,11,21946,96580,18376,105916,0,8,1.0,-3.7,14.2,7.163611111111111,19.49,100.0,72.873625,1,358,218.1611111111111,0.4,6.9,2.377083333333333,5.7,26.200000000000003,12.627777777777778,2020,California,San Diego,United States,32.715,-117.1625,25.0,58.0,44.8945,42.0,79.0,54.73,1.3,22.6,7.798830083333333
11,12,19966,78282,16242,90973,0,9,2.0,-0.5,12.4,6.651881720430108,31.92,100.0,77.74192204301075,3,359,185.6478494623656,0.5,5.9,2.2611559139784947,3.9,20.0,10.811693548387096,2020,California,San Diego,United States,32.715,-117.1625,31.0,54.0,43.9733870967742,39.0,68.0,51.46104838709677,1.6,19.4,7.418490768817205
