,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21353,85684,15120,102434,0,9,3.0,-21.4,-0.6000000000000001,-9.321102150537635,17.97,95.92,53.643185483870965,1,359,236.63844086021504,0.3,8.200000000000001,2.565456989247312,-15.4,13.9,-0.4666666666666667,2019,Colorado,Aurora,United States,39.6958,-104.8081,-7.0,31.0,15.222016129032257,4.0,57.0,31.16,1.0,26.9,8.41685390860215
1,2,26741,99323,16869,127984,0,9,3.0,-23.4,-1.1,-10.817708333333334,16.76,88.82000000000001,50.40311011904762,5,359,230.5952380952381,0.3,8.3,3.051041666666667,-14.1,13.9,-0.9763392857142856,2019,Colorado,Aurora,United States,39.6958,-104.8081,-10.0,30.0,12.528125,7.0,57.0,30.242589285714285,1.0,27.2,10.009979541666668
2,3,46328,144137,25289,190095,0,9,4.0,-19.3,2.8000000000000003,-6.6020161290322585,12.14,93.98,56.68373655913978,2,360,210.5456989247312,0.3,12.2,2.494220430107527,-13.8,21.9,2.247043010752688,2019,Colorado,Aurora,United States,39.6958,-104.8081,-3.0,37.0,20.116370967741936,7.0,71.0,36.04467741935484,1.0,40.0,8.183138155913978
3,4,61317,161340,33804,224857,0,9,4.0,-11.5,5.4,-1.7038888888888888,12.32,92.73,50.26386111111112,2,359,213.22916666666663,0.4,7.5,2.3998611111111114,-6.7,25.9,9.57611111111111,2019,Colorado,Aurora,United States,39.6958,-104.8081,11.0,42.0,28.933,20.0,79.0,49.237,1.3,24.6,7.873560327777779
4,5,66918,175890,38618,264677,0,9,3.0,-7.0,7.9,0.3654569892473118,15.34,95.0,53.65209677419355,0,359,199.6424731182796,0.3,6.7,2.4178763440860216,-2.7,28.4,11.123387096774197,2019,Colorado,Aurora,United States,39.6958,-104.8081,19.0,46.0,32.65782258064516,27.0,83.0,52.02209677419356,1.0,22.0,7.932665424731183
5,6,63092,203397,34666,265855,0,9,3.0,-3.9,14.9,5.942083333333334,9.69,95.76,47.91405555555556,3,358,203.10416666666663,0.2,5.0,2.1706944444444445,6.1000000000000005,35.4,19.13152777777778,2019,Colorado,Aurora,United States,39.6958,-104.8081,25.0,59.0,42.69575,43.0,96.0,66.43675,0.7,16.4,7.121701161111111
6,7,54430,224745,34142,263855,0,9,2.0,1.3,19.5,10.14005376344086,11.11,96.51,46.4060752688172,3,356,187.8548387096774,0.4,4.800000000000001,2.250403225806452,11.7,37.6,24.239650537634407,2019,Colorado,Aurora,United States,39.6958,-104.8081,34.0,67.0,50.25209677419355,53.0,100.0,75.63137096774193,1.3,15.7,7.383212919354841
7,8,49275,206075,31812,237305,0,9,2.0,-5.2,17.7,8.111424731182796,8.45,94.98,42.6166935483871,6,358,193.3965053763441,0.5,4.5,2.199193548387097,12.7,35.5,23.897983870967742,2019,Colorado,Aurora,United States,39.6958,-104.8081,23.0,64.0,46.60056451612903,55.0,96.0,75.01637096774193,1.6,14.8,7.215202161290323
8,9,33377,173659,23782,191393,0,9,2.0,-7.2,14.1,4.062777777777778,8.120000000000001,88.37,39.36466666666667,6,355,205.4125,0.4,8.1,2.552916666666667,6.300000000000001,36.4,20.42388888888889,2019,Colorado,Aurora,United States,39.6958,-104.8081,19.0,57.0,39.313,43.0,98.0,68.763,1.3,26.6,8.375711116666668
9,10,28507,128277,21087,154437,0,9,2.0,-20.6,8.200000000000001,-7.668951612903226,5.34,95.88,41.40611559139785,1,357,212.50672043010752,0.3,8.8,2.444220430107527,-13.7,27.200000000000003,6.722983870967743,2019,Colorado,Aurora,United States,39.6958,-104.8081,-5.0,47.0,18.195887096774197,7.0,81.0,44.10137096774194,1.0,28.9,8.019096155913978
10,11,22649,82164,15821,105956,0,9,3.0,-18.7,1.6,-7.0206944444444455,8.290000000000001,98.74,52.86448611111111,2,359,209.49027777777772,0.3,7.2,2.366527777777778,-13.4,23.1,3.0031944444444445,2019,Colorado,Aurora,United States,39.6958,-104.8081,-2.0,35.0,19.36275,8.0,74.0,37.40575,1.0,23.6,7.7641989944444445
11,12,21302,70672,13157,89818,0,9,3.0,-21.200000000000003,0.4,-9.131182795698924,17.7,99.86,52.19475806451613,7,359,249.4825268817204,0.3,8.6,2.2721774193548385,-15.4,13.2,0.0922043010752688,2019,Colorado,Aurora,United States,39.6958,-104.8081,-6.0,33.0,15.563870967741934,4.0,56.0,32.16596774193548,1.0,28.2,7.454650564516128
