,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22926,78389,14055,104519,0,9,3.0,-26.8,1.9,-10.243817204301076,11.04,83.25,44.4259811827957,2,358,265.0510752688172,0.4,8.200000000000001,2.6487903225806453,-10.6,15.8,1.530510752688172,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,-16.0,35.0,13.561129032258062,13.0,60.0,34.75491935483871,1.3,26.9,8.690257241935484
1,2,28235,102347,17938,129401,0,8,3.0,-21.1,-1.2000000000000002,-9.95267857142857,12.01,85.34,47.47087797619048,0,355,246.47916666666663,0.5,9.2,3.300446428571429,-11.7,14.9,1.009970238095238,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,-6.0,30.0,14.085178571428573,11.0,59.0,33.81794642857143,1.6,30.2,10.828236660714287
2,3,39499,169679,24800,192210,0,8,3.0,-20.4,1.8,-8.41451612903226,8.700000000000001,81.02,40.20928763440861,1,357,235.94623655913972,0.4,10.5,3.24233870967742,-6.2,21.1,5.633333333333333,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,-5.0,35.0,16.853870967741933,21.0,70.0,42.14,1.3,34.4,10.637594532258069
3,4,58082,185288,36820,227245,0,9,3.0,-19.200000000000003,4.3,-6.057083333333334,8.67,84.63,39.39251388888889,3,359,221.15,0.5,11.9,3.54625,-3.2,25.8,9.297222222222222,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,-3.0,40.0,21.09725,26.0,78.0,48.735,1.6,39.0,11.63467885
4,5,72915,202369,39509,263535,0,9,3.0,-11.0,9.3,0.9372311827956992,5.25,91.54,39.91823924731183,2,356,212.125,0.4,8.4,2.625,3.2,33.2,17.433467741935484,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,12.0,49.0,33.68701612903226,38.0,92.0,63.38024193548387,1.3,27.6,8.612205
5,6,64512,205311,40729,265870,0,9,2.0,-11.0,14.2,1.3358333333333332,5.3500000000000005,87.41,29.456625,2,360,213.51527777777773,0.5,6.6000000000000005,2.564027777777778,9.8,38.1,23.71194444444445,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,12.0,58.0,34.4045,50.0,101.0,74.6815,1.6,21.7,8.412164894444444
6,7,62319,207245,45550,257763,0,9,2.0,-6.6000000000000005,17.6,9.94717741935484,6.46,91.3,46.95577956989247,5,357,176.76747311827958,0.4,5.1000000000000005,2.3240591397849464,10.9,36.3,24.248252688172045,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,20.0,64.0,49.90491935483871,52.0,97.0,75.64685483870969,1.3,16.7,7.624866188172043
7,8,58575,186792,44865,231298,0,9,2.0,-1.0,16.0,8.116129032258065,11.36,91.76,46.64977150537634,2,353,208.7258064516129,0.4,6.1000000000000005,2.3594086021505376,9.4,33.9,21.796102150537635,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,30.0,61.0,46.60903225806452,49.0,93.0,71.23298387096774,1.3,20.0,7.74084211827957
8,9,38011,164122,25623,192961,0,9,2.0,-9.1,13.0,2.968888888888889,7.26,96.46,39.351013888888886,2,358,207.17777777777772,0.2,5.7,2.112083333333333,5.9,33.1,19.57375,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,16.0,55.0,37.344,43.0,92.0,67.23275000000001,0.7,18.7,6.929407483333333
9,10,35453,105541,21063,152101,0,9,3.0,-14.9,8.6,-1.2833333333333334,14.45,90.74,53.09333333333333,6,356,194.4206989247312,0.3,7.2,2.4951612903225806,-5.4,30.1,9.204435483870968,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,5.0,47.0,29.69,22.0,86.0,48.567983870967744,1.0,23.6,8.186224967741936
10,11,21871,84673,16088,108875,0,9,2.0,-19.4,1.4,-8.595138888888888,9.32,87.38,46.567652777777774,2,358,243.07222222222225,0.5,9.5,2.3858333333333337,-8.9,17.1,2.680416666666667,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,-3.0,35.0,16.528750000000002,16.0,63.0,36.82475,1.6,31.2,7.827537433333334
11,12,19039,76205,13617,92427,0,9,3.0,-23.9,-3.7,-11.17755376344086,9.87,89.14,47.013252688172045,1,359,246.11827956989248,0.3,8.3,2.462231182795699,-12.3,12.8,-0.3469086021505376,2018,Colorado,Colorado Springs,United States,38.8352,-104.8198,-11.0,25.0,11.88040322580645,10.0,55.0,31.37556451612903,1.0,27.2,8.078186553763441
