,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21360,81755,13854,99654,0,8,3.0,-18.1,0.5,-9.563844086021506,16.1,81.75,47.56844086021505,3,355,246.83870967741936,0.3,8.5,2.7845430107526887,-10.2,12.9,0.801747311827957,2020,Colorado,Denver,United States,39.7392,-104.9903,-1.0,33.0,14.78508064516129,14.0,55.0,33.443145161290325,1.0,27.9,9.135640091397851
1,2,27845,103599,19104,127446,0,8,3.0,-25.5,-0.6000000000000001,-10.551190476190476,13.63,83.82000000000001,52.13144345238096,3,358,211.45386904761904,0.3,10.0,2.964136904761905,-15.7,19.4,-1.3160714285714286,2020,Colorado,Denver,United States,39.7392,-104.9903,-14.0,31.0,13.007857142857144,4.0,67.0,29.631071428571428,1.0,32.8,9.724858922619047
2,3,41428,146432,24221,189395,0,9,3.0,-12.2,3.0,-4.883467741935484,16.02,88.4,50.71485215053763,6,358,243.41397849462365,0.2,7.4,2.60228494623656,-8.9,18.3,5.73010752688172,2020,Colorado,Denver,United States,39.7392,-104.9903,10.0,37.0,23.20975806451613,16.0,65.0,42.314193548387095,0.7,24.3,8.537680543010755
3,4,57532,176861,34481,227989,0,9,3.0,-17.8,8.3,-4.184444444444445,11.67,88.85000000000001,45.093375,1,360,214.86527777777772,0.4,5.7,2.3897222222222223,-9.0,28.5,8.571527777777778,2020,Colorado,Denver,United States,39.7392,-104.9903,-0.0,47.0,24.468,16.0,83.0,47.42875,1.3,18.7,7.840296255555556
4,5,61536,218297,36849,264487,0,9,3.0,-12.3,12.1,0.7958333333333334,7.18,88.04,41.720228494623655,3,359,175.65456989247312,0.4,8.3,2.5400537634408606,0.6000000000000001,33.300000000000004,16.127822580645162,2020,Colorado,Denver,United States,39.7392,-104.9903,10.0,54.0,33.4325,33.0,92.0,61.03008064516129,1.3,27.2,8.333509989247313
5,6,60644,218028,34177,266726,0,9,3.0,-7.800000000000001,15.4,3.704305555555556,8.15,87.29,35.13305555555556,0,356,206.0638888888889,0.3,9.2,2.720416666666667,3.6,35.7,22.133333333333333,2020,Colorado,Denver,United States,39.7392,-104.9903,18.0,60.0,38.66775,38.0,96.0,71.84,1.0,30.2,8.925251816666668
6,7,66394,214932,34716,264076,0,8,2.0,-7.5,15.5,7.160618279569892,5.34,90.8,37.80665322580646,3,354,189.90860215053763,0.3,7.1000000000000005,2.526209677419355,12.1,37.7,24.96370967741936,2020,Colorado,Denver,United States,39.7392,-104.9903,18.0,60.0,44.88911290322581,54.0,100.0,76.93467741935484,1.0,23.3,8.288089758064517
7,8,63553,194785,52622,226156,0,9,2.0,-7.7,13.6,5.200268817204301,5.8,82.87,32.838911290322585,8,354,187.01344086021504,0.3,5.2,2.265188172043011,9.8,36.7,25.1608870967742,2020,Colorado,Denver,United States,39.7392,-104.9903,18.0,56.0,41.36048387096774,50.0,98.0,77.28959677419356,1.0,17.1,7.431719962365593
8,9,46298,161833,39787,184145,0,9,2.0,-13.6,8.3,0.0876388888888889,5.84,84.16,34.43208333333333,6,359,190.95555555555555,0.3,5.9,2.2125,-1.3,36.7,18.408194444444444,2020,Colorado,Denver,United States,39.7392,-104.9903,8.0,47.0,32.15775,30.0,98.0,65.13475,1.0,19.4,7.2588585
9,10,33787,122962,28134,144896,0,9,2.0,-26.3,4.2,-6.07997311827957,5.87,80.92,34.31310483870968,2,357,196.0228494623656,0.3,7.2,2.238978494623656,-12.3,30.1,11.352150537634408,2020,Colorado,Denver,United States,39.7392,-104.9903,-15.0,40.0,21.056048387096773,10.0,86.0,52.43387096774194,1.0,23.6,7.345730204301076
10,11,18420,92251,14429,105264,0,9,1.0,-19.700000000000003,3.1,-7.570277777777778,9.09,85.34,39.777458333333335,1,355,221.98055555555555,0.2,8.6,2.480138888888889,-5.1000000000000005,25.1,6.308333333333334,2020,Colorado,Denver,United States,39.7392,-104.9903,-3.0,38.0,18.3735,23.0,77.0,43.355,0.7,28.2,8.136938872222222
11,12,19139,71060,13940,89531,0,9,3.0,-22.200000000000003,0.3,-11.002150537634408,7.79,81.75,45.28060483870967,1,359,226.16532258064515,0.4,7.800000000000001,2.763306451612904,-9.9,17.5,0.4168010752688171,2020,Colorado,Denver,United States,39.7392,-104.9903,-8.0,33.0,12.196129032258064,14.0,64.0,32.75024193548387,1.3,25.6,9.06596633870968
