,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22836,72236,13326,95653,0,9,3.0,-17.900000000000002,0.2,-9.038306451612904,20.28,84.8,51.67299731182796,13,357,271.008064516129,0.2,10.3,3.1278225806451614,-11.1,10.9,0.1358870967741935,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,-0.0,32.0,15.731048387096774,12.0,52.0,32.244596774193546,0.7,33.8,10.26188543548387
1,2,29192,97806,19117,124673,0,9,4.0,-24.8,-0.1,-10.410416666666666,15.02,87.79,54.999181547619045,1,359,225.95684523809524,0.2,9.7,3.1520833333333336,-14.9,18.9,-1.9717261904761905,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,-13.0,32.0,13.26125,5.0,66.0,28.450892857142858,0.7,31.8,10.341481083333337
2,3,41855,136235,24935,186702,0,9,3.0,-12.6,2.8000000000000003,-4.564516129032258,15.25,96.53,54.64829301075269,4,355,218.84543010752688,0.2,8.8,2.7650537634408607,-8.0,18.2,4.938978494623656,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,9.0,37.0,23.783870967741933,18.0,65.0,40.89016129032258,0.7,28.9,9.071698989247311
3,4,56958,178155,34586,227903,0,9,3.0,-16.7,10.0,-3.971388888888889,12.5,90.82,47.69880555555555,5,353,220.4388888888889,0.2,6.9,2.7025,-12.6,27.8,7.920000000000001,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,2.0,50.0,24.8515,9.0,82.0,46.256,0.7,22.6,8.8664701
4,5,65628,203577,37454,263322,0,9,3.0,-12.3,11.8,1.943279569892473,9.24,96.23,47.35125,1,356,187.3991935483871,0.1,8.9,2.4915322580645163,-0.6000000000000001,32.0,15.140456989247312,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,10.0,53.0,35.49790322580645,31.0,90.0,59.25282258064516,0.3,29.2,8.174318693548388
5,6,64248,213400,34409,266442,0,9,3.0,-7.1000000000000005,15.8,4.6775,9.64,93.85,37.665527777777775,10,356,220.48194444444445,0.2,8.6,2.68125,4.5,35.1,21.895694444444445,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,19.0,60.0,40.4195,40.0,95.0,71.41225,0.7,28.2,8.796752249999999
6,7,63258,209538,33731,264495,0,8,2.0,-7.300000000000001,16.3,7.524731182795699,5.3100000000000005,97.43,38.97670698924731,2,356,196.0040322580645,0.1,6.9,2.454435483870968,11.4,38.2,24.896505376344088,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,19.0,61.0,45.54451612903226,53.0,101.0,76.81370967741935,0.3,22.6,8.052610112903226
7,8,62114,187859,49840,225752,0,8,2.0,-8.8,14.3,5.51008064516129,6.28,82.19,33.82180107526882,2,360,185.16129032258064,0.2,5.800000000000001,2.099731182795699,9.6,37.1,25.045698924731184,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,16.0,58.0,41.918145161290326,49.0,99.0,77.08225806451614,0.7,19.0,6.8888820537634405
8,9,48072,152483,45180,177674,0,9,2.0,-12.5,8.6,0.2861111111111111,5.2700000000000005,91.11,35.762625,3,357,213.9138888888889,0.1,6.1000000000000005,2.295138888888889,-1.7000000000000002,37.4,18.1425,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,10.0,47.0,32.515,29.0,99.0,64.6565,0.3,20.0,7.529983472222222
9,10,39139,115502,38211,134209,0,9,3.0,-26.8,4.2,-5.356586021505376,5.6000000000000005,88.88,39.12345430107527,2,356,205.2728494623656,0.1,8.9,2.3248655913978493,-13.3,29.5,9.984811827956989,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,-16.0,40.0,22.358145161290324,8.0,85.0,49.97266129032258,0.3,29.2,7.62751202688172
10,11,17635,88128,13855,101159,0,9,2.0,-17.400000000000002,5.0,-7.250833333333333,11.03,82.15,42.03169444444445,4,357,238.3625,0.2,10.1,2.3609722222222222,-4.7,25.1,5.731666666666667,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,1.0,41.0,18.948500000000003,24.0,77.0,42.317,0.7,33.1,7.7459721055555555
11,12,17181,67396,13338,85301,0,9,3.0,-20.3,0.0,-10.577956989247312,6.46,88.43,47.29424731182795,3,359,252.66801075268816,0.2,9.7,3.411693548387097,-9.7,18.5,0.3400537634408602,2020,Colorado,Fort Collins,United States,40.5592,-105.0781,-5.0,32.0,12.959677419354836,15.0,65.0,32.612096774193546,0.7,31.8,11.193220661290324
