,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22037,74127,13856,101163,0,9,4.0,-25.8,2.2,-9.722849462365591,13.2,87.13,46.10577956989247,3,357,240.93145161290323,0.3,6.800000000000001,2.531989247311828,-11.6,15.3,1.362634408602151,2018,Colorado,Lakewood,United States,39.7064,-105.1028,-14.0,36.0,14.498870967741937,11.0,60.0,34.45274193548387,1.0,22.3,8.307051602150539
1,2,25553,95186,17584,126647,0,9,3.0,-22.3,-0.4,-9.689583333333337,18.44,86.07000000000001,49.78071428571428,3,359,237.46130952380952,0.4,8.3,2.715029761904762,-14.0,13.2,0.2294642857142857,2018,Colorado,Lakewood,United States,39.7064,-105.1028,-8.0,31.0,14.558749999999993,7.0,56.0,32.41303571428571,1.3,27.2,8.907578244047619
2,3,39666,163488,24329,190181,0,9,3.0,-18.2,3.0,-7.703494623655914,11.67,83.38,43.4920564516129,3,355,221.23521505376343,0.1,9.2,2.816532258064516,-5.9,21.3,4.961693548387097,2018,Colorado,Lakewood,United States,39.7064,-105.1028,-1.0,37.0,18.133709677419358,21.0,70.0,40.93104838709677,0.3,30.2,9.240591693548389
3,4,56824,174222,34991,226060,0,9,3.0,-18.8,4.4,-5.168611111111111,9.82,86.42,41.07863888888889,4,360,207.36527777777772,0.2,10.0,3.1694444444444443,-3.4000000000000004,26.200000000000003,9.195694444444444,2018,Colorado,Lakewood,United States,39.7064,-105.1028,-2.0,40.0,22.6965,26.0,79.0,48.55225,0.7,32.8,10.39844011111111
4,5,69185,182448,38290,262855,0,9,3.0,-8.9,9.7,1.5810483870967742,6.62,87.35000000000001,42.64649193548387,5,357,197.08870967741936,0.3,6.9,2.288709677419355,2.3000000000000003,33.2,16.823387096774194,2018,Colorado,Lakewood,United States,39.7064,-105.1028,16.0,49.0,34.84588709677419,36.0,92.0,62.28209677419355,1.0,22.6,7.508890258064517
5,6,58816,215413,37837,267176,0,9,2.0,-11.0,13.0,1.6241666666666668,5.99,88.12,30.74648611111112,4,360,193.98055555555555,0.3,5.300000000000001,2.2744444444444447,7.6,38.2,23.018194444444447,2018,Colorado,Lakewood,United States,39.7064,-105.1028,12.0,55.0,34.9235,46.0,101.0,73.43275,1.0,17.4,7.462088311111112
6,7,55956,216667,42316,259525,0,9,2.0,-5.6000000000000005,16.3,8.790053763440861,6.97,88.47,43.30192204301076,5,356,166.63037634408602,0.3,5.4,2.410752688172044,11.6,36.6,24.45241935483872,2018,Colorado,Lakewood,United States,39.7064,-105.1028,22.0,61.0,47.822096774193554,53.0,98.0,76.01435483870969,1.0,17.7,7.909293849462368
7,8,57837,187622,43320,231505,0,9,2.0,-2.4000000000000004,14.9,6.5112903225806456,10.59,90.01,40.81127688172043,6,357,193.31989247311827,0.2,5.9,2.318682795698925,10.2,34.300000000000004,22.31787634408602,2018,Colorado,Lakewood,United States,39.7064,-105.1028,28.0,59.0,43.72032258064516,50.0,94.0,72.17217741935484,0.7,19.4,7.607227263440861
8,9,38812,160583,24691,191489,0,9,2.0,-11.7,12.5,1.1047222222222222,5.88,86.31,34.23491666666666,3,353,191.0930555555556,0.2,5.0,2.031388888888889,5.2,33.9,19.701944444444443,2018,Colorado,Lakewood,United States,39.7064,-105.1028,11.0,54.0,33.9885,41.0,93.0,67.4635,0.7,16.4,6.664661922222222
9,10,30732,103114,19493,149157,0,9,3.0,-16.5,8.3,-1.7111559139784949,12.93,86.54,50.82061827956989,3,359,190.2056451612904,0.2,5.7,2.2112903225806453,-6.7,28.8,9.311559139784949,2018,Colorado,Lakewood,United States,39.7064,-105.1028,2.0,47.0,28.919919354838708,20.0,84.0,48.76080645161291,0.7,18.7,7.254889741935484
10,11,18740,80463,14912,105431,0,9,3.0,-20.200000000000003,0.7000000000000001,-8.615972222222222,14.04,85.45,47.03533333333333,2,358,234.4763888888889,0.2,8.5,2.303472222222222,-9.3,16.3,2.328611111111111,2018,Colorado,Lakewood,United States,39.7064,-105.1028,-4.0,33.0,16.49125,15.0,61.0,36.1915,0.7,27.9,7.557323805555555
11,12,18467,72336,12764,88953,0,9,3.0,-24.3,-3.1,-11.051344086021508,15.12,80.86,46.95309139784946,1,359,224.4327956989248,0.2,7.4,2.2280913978494623,-11.9,13.3,-0.4297043010752688,2018,Colorado,Lakewood,United States,39.7064,-105.1028,-12.0,26.0,12.107580645161285,11.0,56.0,31.22653225806452,0.7,24.3,7.31001138172043
