,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22955,57472,17062,87500,0,9,4.0,-23.0,11.8,-6.201478494623656,34.93,100.0,80.645,1,358,235.76344086021504,0.1,1.6,0.6116935483870968,-19.200000000000003,12.4,-3.202419354838709,2019,Connecticut,Hartford,United States,41.7658,-72.6734,-9.0,53.0,20.837338709677415,-3.0,54.0,26.235645161290325,0.3,5.2,2.0068686612903224
1,2,28621,86984,22720,113892,0,9,4.0,-18.5,11.1,-4.583928571428571,39.24,100.0,81.46197916666667,1,359,230.5297619047619,0.1,1.9,0.6671130952380953,-16.3,14.2,-1.6763392857142858,2019,Connecticut,Hartford,United States,41.7658,-72.6734,-1.0,52.0,23.74892857142857,3.0,58.0,28.982589285714287,0.3,6.2,2.1886913273809525
2,3,41237,135180,32011,176175,0,9,3.0,-15.6,13.5,-2.0376344086021505,29.08,100.0,80.12021505376345,4,357,233.31182795698925,0.1,1.1,0.5458333333333334,-13.5,15.9,1.29502688172043,2019,Connecticut,Hartford,United States,41.7658,-72.6734,4.0,56.0,28.33225806451613,8.0,61.0,34.33104838709677,0.3,3.6,1.7907918333333337
3,4,49481,125965,41219,208154,0,9,4.0,-9.8,17.5,5.568611111111111,26.14,100.0,79.48601388888889,1,358,220.1305555555556,0.0,0.8,0.2527777777777777,-2.8000000000000003,21.8,9.398472222222225,2019,Connecticut,Hartford,United States,41.7658,-72.6734,14.0,64.0,42.0235,27.0,71.0,48.91725000000001,0.0,2.6,0.8293234444444443
4,5,60571,150745,47950,245593,0,9,4.0,0.4,20.5,10.347043010752689,36.96,100.0,78.93530913978495,3,357,185.2163978494624,0.0,0.8,0.1595430107526881,4.0,27.8,14.38494623655914,2019,Connecticut,Hartford,United States,41.7658,-72.6734,33.0,69.0,50.62467741935484,39.0,82.0,57.89290322580645,0.0,2.6,0.5234350913978492
5,6,66141,174457,45271,250460,0,8,4.0,4.5,23.9,15.475277777777778,38.96,100.0,78.09701388888888,3,357,224.35,0.0,0.7000000000000001,0.1481944444444444,7.2,31.5,19.872916666666665,2019,Connecticut,Hartford,United States,41.7658,-72.6734,40.0,75.0,59.855500000000006,45.0,89.0,67.77125,0.0,2.3,0.486202261111111
6,7,68146,198894,48750,245547,0,9,3.0,14.1,25.5,19.616935483870968,38.27,100.0,75.08836021505375,2,358,214.71370967741936,0.0,0.8,0.1514784946236559,16.0,34.4,24.89690860215053,2019,Connecticut,Hartford,United States,41.7658,-72.6734,57.0,78.0,67.31048387096774,61.0,94.0,76.81443548387097,0.0,2.6,0.4969767043010752
7,8,58446,175401,41771,220711,0,9,3.0,7.7,24.700000000000003,16.94663978494624,28.85,100.0,71.86416666666668,1,356,210.15591397849465,0.0,0.6000000000000001,0.1536290322580645,11.2,32.800000000000004,23.151612903225807,2019,Connecticut,Hartford,United States,41.7658,-72.6734,46.0,76.0,62.50395161290323,52.0,91.0,73.67290322580645,0.0,2.0,0.5040322741935483
8,9,41886,135284,31032,175166,0,9,2.0,-0.3,22.200000000000003,12.61,20.86,100.0,69.51618055555556,0,359,194.7097222222222,0.0,1.0,0.2091666666666666,6.2,31.5,19.29236111111112,2019,Connecticut,Hartford,United States,41.7658,-72.6734,31.0,72.0,54.698,43.0,89.0,66.72625000000001,0.0,3.3,0.6862423666666665
9,10,30840,74733,22528,133343,0,9,3.0,-4.800000000000001,21.1,8.963575268817205,21.64,100.0,76.97341397849462,2,357,170.622311827957,0.0,1.0,0.2440860215053763,3.4000000000000004,29.3,13.417204301075268,2019,Connecticut,Hartford,United States,41.7658,-72.6734,23.0,70.0,48.13443548387097,38.0,85.0,56.15096774193548,0.0,3.3,0.8008071827956988
10,11,19021,61100,17111,90954,0,9,3.0,-14.9,19.8,-0.7236111111111111,27.0,100.0,77.32226388888888,4,355,232.7180555555556,0.0,1.0,0.2422222222222222,-6.4,20.9,3.279166666666667,2019,Connecticut,Hartford,United States,41.7658,-72.6734,5.0,68.0,30.6975,20.0,70.0,37.9025,0.0,3.3,0.7946923555555555
11,12,20304,47554,16499,75389,0,9,4.0,-15.8,12.6,-2.2360215053763444,46.81,100.0,85.712311827957,3,358,219.8951612903226,0.1,0.7000000000000001,0.3336021505376344,-11.8,13.5,-0.0235215053763441,2019,Connecticut,Hartford,United States,41.7658,-72.6734,4.0,55.0,27.975161290322585,11.0,56.0,31.95766129032258,0.3,2.3,1.0944952795698926
