,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24194,49973,21821,85272,0,9,5.0,-14,11,-1.9193548387096773,39.55,100.0,85.76641129032258,0.2,359.90000000000003,215.69690860215053,0.1,1.6,0.5798387096774194,-11,12,0.7567204301075269,2017,Connecticut,New Haven,United States,41.31,-72.9236,7.0,52.0,28.545161290322586,12.0,54.0,33.362096774193546,0.3,5.2,1.9023580322580644
1,2,31386,85861,27618,110293,0,9,4.0,-13,12,-1.1205357142857142,51.74,100.0,86.40099702380952,1.4,357.40000000000003,236.02202380952383,0.2,2.1,0.7168154761904763,-10,16,1.2976190476190477,2017,Connecticut,New Haven,United States,41.31,-72.9236,9.0,54.0,29.983035714285712,14.0,61.0,34.33571428571429,0.7,6.9,2.351756886904762
2,3,38648,124185,42275,173770,0,9,4.0,-16,13,-3.2795698924731185,26.55,100.0,77.57822580645161,0.2,359.40000000000003,232.5159946236559,0.1,1.9,0.6806451612903226,-12,13,0.8844086021505376,2017,Connecticut,New Haven,United States,41.31,-72.9236,3.0,55.0,26.096774193548388,10.0,55.0,33.59193548387097,0.3,6.2,2.233087870967742
3,4,61560,136683,47610,204317,0,9,4.0,-2,16,6.520833333333333,38.3,100.0,86.75555555555556,0.6000000000000001,359.70000000000005,198.9130555555556,0.0,0.8,0.2063888888888888,0,24,9.925,2017,Connecticut,New Haven,United States,41.31,-72.9236,28.0,61.0,43.7375,32.0,75.0,49.865,0.0,2.6,0.6771289222222219
4,5,78426,158771,50795,245562,0,8,5.0,1,20,9.443548387096774,42.98,100.0,85.05165322580645,0.0,358.8,181.379435483871,0.0,0.9,0.123252688172043,4,28,13.239247311827956,2017,Connecticut,New Haven,United States,41.31,-72.9236,34.0,68.0,48.9983870967742,39.0,82.0,55.83064516129032,0.0,3.0,0.4043723494623655
5,6,74062,190602,53399,246518,0,9,3.0,7,22,15.118055555555555,48.28,100.0,84.92352777777778,0.7000000000000001,356.3,205.0980555555556,0.0,1.0,0.1165277777777777,8,29,18.97083333333333,2017,Connecticut,New Haven,United States,41.31,-72.9236,45.0,72.0,59.2125,46.0,84.0,66.14750000000001,0.0,3.3,0.3823089944444442
6,7,74773,191109,54827,243635,0,9,4.0,9,24,17.658602150537636,37.05,100.0,82.41288978494624,1.1,358.8,186.4334677419355,0.0,0.9,0.1236559139784946,14,32,22.188172043010752,2017,Connecticut,New Haven,United States,41.31,-72.9236,48.0,75.0,63.78548387096775,57.0,90.0,71.93870967741935,0.0,3.0,0.4056952688172042
7,8,65521,178374,50730,216599,0,9,3.0,8,24,16.161290322580644,36.74,100.0,78.82623655913979,1.3,359.20000000000005,205.0424731182796,0.0,0.9,0.1184139784946236,13,32,21.54032258064516,2017,Connecticut,New Haven,United States,41.31,-72.9236,46.0,75.0,61.09032258064517,55.0,90.0,70.7725806451613,0.0,3.0,0.3884973172043008
8,9,47988,137019,38160,170059,0,8,3.0,2,21,14.415277777777778,29.1,100.0,79.06309722222223,0.1,359.90000000000003,188.2330555555556,0.0,0.9,0.1484722222222222,9,33,19.65138888888889,2017,Connecticut,New Haven,United States,41.31,-72.9236,36.0,70.0,57.947500000000005,48.0,91.0,67.3725,0.0,3.0,0.4871136055555555
9,10,33560,102640,26577,130781,0,9,3.0,-4,21,11.094086021505376,26.39,100.0,80.88348118279569,1.0,358.1,205.769623655914,0.0,1.0,0.1733870967741935,4,26,15.90994623655914,2017,Connecticut,New Haven,United States,41.31,-72.9236,25.0,70.0,51.96935483870968,39.0,79.0,60.63790322580645,0.0,3.3,0.568855322580645
10,11,23428,67048,20342,89484,0,9,4.0,-11,16,2.4166666666666665,36.0,100.0,82.38618055555555,0.1,359.70000000000005,190.82902777777772,0.0,0.9,0.1911111111111111,-4,21,6.040277777777778,2017,Connecticut,New Haven,United States,41.31,-72.9236,12.0,61.0,36.35,25.0,70.0,42.8725,0.0,3.0,0.6270049777777777
11,12,22645,51953,22060,75235,1,9,5.0,-17,13,-3.77956989247312,47.61,100.0,79.84602150537634,0.5,359.70000000000005,232.1638440860215,0.0,0.9,0.3348118279569892,-13,13,-0.3602150537634409,2017,Connecticut,New Haven,United States,41.31,-72.9236,1.0,55.0,25.196774193548386,9.0,55.0,31.351612903225806,0.0,3.0,1.0984640376344086
