,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23570,58269,17484,89836,0,9,4.0,-20.0,11.5,-4.507795698924731,42.41,100.0,81.77420698924732,2,357,228.0766129032258,0.4,6.2,2.236962365591398,-17.3,11.8,-1.6869623655913977,2019,Connecticut,Stamford,United States,41.0519,-73.5395,-4.0,53.0,23.88596774193548,1.0,53.0,28.963467741935485,1.3,20.3,7.339115607526883
1,2,28186,79029,21199,114147,0,9,4.0,-17.0,11.7,-3.0544642857142854,50.91,100.0,82.98447916666666,2,356,218.0758928571429,0.5,5.9,2.043452380952381,-14.6,14.2,-0.3928571428571428,2019,Connecticut,Stamford,United States,41.0519,-73.5395,1.0,53.0,26.501964285714287,6.0,58.0,31.292857142857144,1.6,19.4,6.70424030952381
2,3,42979,133922,33010,177042,0,9,4.0,-14.4,14.4,-0.8713709677419356,37.22,100.0,81.6408064516129,1,359,224.1733870967742,0.2,4.7,1.9458333333333333,-12.5,15.7,2.157795698924731,2019,Connecticut,Stamford,United States,41.0519,-73.5395,6.0,58.0,30.431532258064514,10.0,60.0,35.884032258064515,0.7,15.4,6.383967833333333
3,4,49767,130326,43452,207876,0,9,4.0,-5.800000000000001,16.900000000000002,6.7965277777777775,36.19,100.0,82.01019444444445,5,358,196.7708333333333,0.2,4.3,1.731666666666667,-1.7000000000000002,21.6,10.0425,2019,Connecticut,Stamford,United States,41.0519,-73.5395,22.0,62.0,44.23375,29.0,71.0,50.0765,0.7,14.1,5.681321266666667
4,5,58479,155869,53482,242991,0,9,3.0,4.4,20.8,11.883602150537634,41.05,100.0,82.94986559139785,1,357,187.0268817204301,0.2,3.5,1.4635752688172043,5.300000000000001,27.3,15.071908602150538,2019,Connecticut,Stamford,United States,41.0519,-73.5395,40.0,69.0,53.39048387096774,42.0,81.0,59.12943548387096,0.7,11.5,4.8017562849462365
5,6,63581,179340,49457,248370,0,9,3.0,4.9,24.0,16.715694444444445,42.91,100.0,82.07486111111112,3,356,208.3111111111111,0.2,3.2,1.30875,8.9,30.200000000000003,20.21583333333333,2019,Connecticut,Stamford,United States,41.0519,-73.5395,41.0,75.0,62.08825,48.0,86.0,68.3885,0.7,10.5,4.2937993500000005
6,7,63476,199261,52228,244043,0,9,2.0,16.0,26.3,20.97244623655914,50.22,100.0,79.71681451612903,3,358,214.9811827956989,0.2,2.4000000000000004,1.071774193548387,16.8,33.2,25.07217741935484,2019,Connecticut,Stamford,United States,41.0519,-73.5395,61.0,79.0,69.75040322580645,62.0,92.0,77.1299193548387,0.7,7.9,3.5163196451612904
7,8,58979,176047,45863,219177,0,9,3.0,10.4,24.5,18.657526881720432,37.08,100.0,77.21583333333334,2,358,190.83467741935485,0.2,2.5,1.142741935483871,13.2,32.0,23.3983870967742,2019,Connecticut,Stamford,United States,41.0519,-73.5395,51.0,76.0,65.58354838709678,56.0,90.0,74.11709677419356,0.7,8.2,3.7491534516129033
8,9,42400,137333,34188,174793,0,8,2.0,1.2000000000000002,22.0,14.23611111111111,24.58,100.0,71.05255555555556,3,354,176.2875,0.2,2.7,1.331527777777778,8.6,30.700000000000003,20.36513888888889,2019,Connecticut,Stamford,United States,41.0519,-73.5395,34.0,72.0,57.625,47.0,87.0,68.65725,0.7,8.9,4.368529594444445
9,10,31247,80071,23099,135467,0,9,3.0,-3.0,20.6,10.196774193548388,26.07,100.0,76.80494623655913,0,359,166.8991935483871,0.3,5.2,1.7455645161290323,4.1000000000000005,32.4,14.73951612903226,2019,Connecticut,Stamford,United States,41.0519,-73.5395,27.0,69.0,50.3541935483871,39.0,90.0,58.53112903225807,1.0,17.1,5.726917887096774
10,11,21747,64297,17407,93814,0,9,4.0,-11.3,18.2,0.6979166666666666,32.71,100.0,78.51423611111112,3,359,239.3125,0.3,5.0,1.6405555555555555,-4.2,18.2,4.419166666666667,2019,Connecticut,Stamford,United States,41.0519,-73.5395,12.0,65.0,33.25625,24.0,65.0,39.9545,1.0,16.4,5.382400288888888
11,12,20302,43707,16598,77115,0,9,5.0,-12.6,12.6,-0.6926075268817206,43.86,100.0,87.76635752688172,1,357,213.93682795698925,0.2,4.1000000000000005,1.7559139784946238,-9.8,13.4,1.2073924731182797,2019,Connecticut,Stamford,United States,41.0519,-73.5395,9.0,55.0,30.753306451612904,14.0,56.0,34.1733064516129,0.7,13.5,5.7608728172043016
