,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25996,53144,21054,85148,0,9,5.0,-17,11,-2.918010752688172,35.46,100.0,85.06477150537634,0.2,359.90000000000003,215.69690860215053,0.1,1.6,0.5798387096774194,-13,12,-0.7123655913978495,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,1.0,52.0,26.74758064516129,9.0,54.0,30.717741935483872,0.3,5.2,1.9023580322580644
1,2,30725,87535,28627,111512,0,9,4.0,-15,13,-1.965773809523809,50.45,100.0,85.6292261904762,1.4,357.40000000000003,236.02202380952383,0.2,2.1,0.7168154761904763,-12,17,0.1101190476190476,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,5.0,55.0,28.461607142857144,10.0,63.0,32.198214285714286,0.7,6.9,2.351756886904762
2,3,40512,127084,43014,175947,0,9,4.0,-19,14,-4.176075268817204,23.11,100.0,76.63092741935485,0.2,359.40000000000003,232.5159946236559,0.1,1.9,0.6806451612903226,-14,14,-0.2795698924731182,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,-2.0,57.0,24.483064516129037,7.0,57.0,31.496774193548383,0.3,6.2,2.233087870967742
3,4,59816,135037,46392,205205,0,9,4.0,-3,17,6.284722222222222,33.980000000000004,100.0,84.81358333333333,0.6000000000000001,359.70000000000005,198.9130555555556,0.0,0.8,0.2063888888888888,-2,25,9.619444444444444,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,27.0,63.0,43.3125,28.0,77.0,49.315,0.0,2.6,0.6771289222222219
4,5,79695,153730,49828,246799,0,9,5.0,0,21,9.059139784946236,37.92,100.0,83.0517876344086,0.0,358.8,181.379435483871,0.0,0.9,0.123252688172043,2,29,12.811827956989248,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,32.0,70.0,48.30645161290322,36.0,84.0,55.061290322580646,0.0,3.0,0.4043723494623655
5,6,73840,185807,52587,247740,0,9,3.0,5,23,14.651388888888889,44.21,100.0,82.78833333333333,0.7000000000000001,356.3,205.0980555555556,0.0,1.0,0.1165277777777777,6,30,18.51527777777778,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,41.0,73.0,58.3725,43.0,86.0,65.3275,0.0,3.3,0.3823089944444442
6,7,78279,187904,53321,245187,0,9,3.0,8,24,16.864247311827956,33.78,100.0,80.29818548387097,1.1,358.8,186.4334677419355,0.0,0.9,0.1236559139784946,12,33,21.4744623655914,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,46.0,75.0,62.355645161290326,54.0,91.0,70.65403225806452,0.0,3.0,0.4056952688172042
7,8,67256,176122,50332,217428,0,9,3.0,6,24,15.14516129032258,32.21,100.0,76.67680107526881,1.3,359.20000000000005,205.0424731182796,0.0,0.9,0.1184139784946236,10,32,20.657258064516128,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,43.0,75.0,59.26129032258065,50.0,90.0,69.18306451612904,0.0,3.0,0.3884973172043008
8,9,50148,133586,37731,170262,0,8,3.0,0,21,13.4,25.58,100.0,76.66818055555557,0.1,359.90000000000003,188.2330555555556,0.0,0.9,0.1484722222222222,7,34,18.87638888888889,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,32.0,70.0,56.120000000000005,45.0,93.0,65.9775,0.0,3.0,0.4871136055555555
9,10,33412,102297,25810,130840,0,9,3.0,-5,21,9.736559139784946,22.02,100.0,78.2911693548387,1.0,358.1,205.769623655914,0.0,1.0,0.1733870967741935,2,27,14.762096774193548,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,23.0,70.0,49.52580645161291,36.0,81.0,58.57177419354839,0.0,3.3,0.568855322580645
10,11,23423,64287,19914,89039,0,9,3.0,-15,16,0.9097222222222222,28.21,100.0,80.817,0.1,359.70000000000005,190.82902777777772,0.0,0.9,0.1911111111111111,-6,21,4.320833333333334,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,5.0,61.0,33.6375,21.0,70.0,39.7775,0.0,3.0,0.6270049777777777
11,12,22648,51858,21834,74964,0,9,5.0,-21,11,-5.288978494623656,44.41,100.0,77.8045430107527,0.5,359.70000000000005,232.1638440860215,0.0,0.9,0.3348118279569892,-16,12,-1.9905913978494625,2017,Connecticut,Waterbury,United States,41.5543,-73.0431,-6.0,52.0,22.479838709677416,3.0,54.0,28.41693548387097,0.0,3.0,1.0984640376344086
