,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23882,64359,17719,96392,0,9,4.0,-10.4,17.3,0.5016129032258064,42.66,100.0,81.20266129032258,1,358,215.997311827957,0.4,10.0,3.3044354838709675,-5.5,17.6,3.693951612903226,2020,Delaware,Dover,United States,39.1619,-75.5267,13.0,63.0,32.902903225806455,22.0,64.0,38.649112903225806,1.3,32.8,10.841324112903225
1,2,28091,73460,21815,118207,0,9,4.0,-12.6,12.3,1.5819940476190475,37.9,100.0,81.09946428571429,4,357,202.58482142857144,0.3,11.8,3.1404761904761904,-6.800000000000001,15.7,4.862351190476191,2020,Delaware,Dover,United States,39.1619,-75.5267,9.0,54.0,34.847589285714285,20.0,60.0,40.752232142857146,1.0,38.7,10.303399904761903
2,3,43357,109717,33348,177810,0,9,4.0,-6.5,18.7,5.4456989247311824,38.28,100.0,80.82986559139785,0,359,185.92876344086025,0.3,7.800000000000001,3.2158602150537634,-3.5,21.8,8.90725806451613,2020,Delaware,Dover,United States,39.1619,-75.5267,20.0,66.0,41.80225806451613,26.0,71.0,48.03306451612903,1.0,25.6,10.550722827956989
3,4,59543,136317,44181,213914,0,9,3.0,-5.300000000000001,19.200000000000003,6.171111111111111,33.9,100.0,76.38709722222222,4,356,221.50972222222225,0.4,12.9,3.881666666666667,0.6000000000000001,23.9,10.553472222222222,2020,Delaware,Dover,United States,39.1619,-75.5267,22.0,67.0,43.108,33.0,75.0,50.99625,1.3,42.3,12.735127266666668
4,5,73149,175412,46779,251079,0,8,3.0,-5.4,22.200000000000003,11.127150537634408,39.62,100.0,77.85497311827957,3,357,190.9005376344086,0.7000000000000001,8.6,3.523924731182796,2.4000000000000004,26.200000000000003,15.37231182795699,2020,Delaware,Dover,United States,39.1619,-75.5267,22.0,72.0,52.02887096774194,36.0,79.0,59.67016129032258,2.3,28.2,11.561433215053764
5,6,66678,205664,47531,249275,0,9,3.0,5.300000000000001,23.5,17.569444444444443,38.33,100.0,73.74727777777778,2,358,194.23611111111111,0.4,6.0,2.8038888888888893,10.0,32.7,23.11777777777778,2020,Delaware,Dover,United States,39.1619,-75.5267,42.0,74.0,63.625,50.0,91.0,73.612,1.3,19.7,9.199110822222224
6,7,64250,206711,50655,245800,0,9,2.0,14.7,26.4,21.95860215053764,35.45,100.0,76.08749999999999,2,358,201.6747311827957,0.3,4.7,2.126478494623656,20.700000000000003,35.300000000000004,27.110887096774192,2020,Delaware,Dover,United States,39.1619,-75.5267,58.0,80.0,71.52548387096775,69.0,96.0,80.79959677419355,1.0,15.4,6.976635704301075
7,8,61837,166286,47208,218924,0,9,3.0,15.0,25.700000000000003,21.71733870967742,50.13,100.0,83.45662634408603,0,353,183.72043010752688,0.3,10.2,2.3350806451612907,18.0,32.0,24.978360215053765,2020,Delaware,Dover,United States,39.1619,-75.5267,59.0,78.0,71.09120967741936,64.0,90.0,76.96104838709678,1.0,33.5,7.661025983870969
8,9,46101,134039,39016,176235,0,9,3.0,3.6,25.6,16.548333333333336,32.89,100.0,80.40876388888888,5,358,151.93472222222223,0.4,5.5,2.462916666666667,7.800000000000001,30.8,20.40361111111111,2020,Delaware,Dover,United States,39.1619,-75.5267,38.0,78.0,61.787000000000006,46.0,87.0,68.7265,1.3,18.0,8.080435516666668
9,10,30079,100779,25122,140488,0,8,2.0,-1.5,20.700000000000003,12.327016129032256,40.85,100.0,82.72291666666666,3,358,196.1599462365592,0.2,7.800000000000001,2.498521505376344,1.6,24.9,15.598252688172044,2020,Delaware,Dover,United States,39.1619,-75.5267,29.0,69.0,54.18862903225806,35.0,77.0,60.07685483870968,0.7,25.6,8.197249295698924
10,11,20702,77310,18443,99152,0,9,2.0,-5.9,20.5,7.782083333333333,43.45,100.0,83.5879861111111,1,358,218.8583333333333,0.4,9.4,2.9227777777777777,-0.5,22.3,10.667222222222223,2020,Delaware,Dover,United States,39.1619,-75.5267,21.0,69.0,46.00775,31.0,72.0,51.20100000000001,1.3,30.8,9.589166244444444
11,12,21461,55996,16963,85226,0,9,3.0,-8.1,16.1,1.0016129032258063,50.27,100.0,85.8583870967742,5,355,238.5282258064516,0.3,11.6,3.318951612903226,-4.7,16.3,3.2721774193548385,2020,Delaware,Dover,United States,39.1619,-75.5267,17.0,61.0,33.80290322580645,24.0,61.0,37.88991935483871,1.0,38.1,10.88894920967742
