,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21361,63417,17390,88637,0,9,4.0,-24.200000000000003,12.9,-6.023118279569892,33.08,100.0,81.41091397849462,2,358,229.380376344086,0.2,2.6,1.0448924731182796,-20.8,13.1,-3.1178763440860213,2018,Delaware,Middletown,United States,41.5622,-72.6508,-12.0,55.0,21.158387096774195,-5.0,56.0,26.38782258064516,0.7,8.5,3.428125021505376
1,2,26364,66338,20427,110475,0,9,4.0,-16.0,15.6,-0.6197916666666666,37.42,100.0,85.4714136904762,0,351,218.31994047619048,0.1,2.1,0.9191964285714288,-12.4,18.2,1.7211309523809526,2018,Delaware,Middletown,United States,41.5622,-72.6508,3.0,60.0,30.884375,10.0,65.0,35.098035714285714,0.3,6.9,3.0157364107142866
2,3,45300,119701,29865,177675,0,9,4.0,-13.9,10.3,-1.2114247311827957,32.38,100.0,81.03586021505376,1,360,215.44758064516128,0.1,3.1,1.1006720430107526,-7.800000000000001,13.9,1.967741935483871,2018,Delaware,Middletown,United States,41.5622,-72.6508,7.0,51.0,29.81943548387097,18.0,57.0,35.541935483870965,0.3,10.2,3.6111288655913976
3,4,51142,127566,44160,210331,0,9,3.0,-8.700000000000001,14.9,2.313194444444445,25.18,100.0,78.39894444444444,3,358,219.05277777777772,0.1,1.5,0.6079166666666668,-3.5,20.3,6.239166666666667,2018,Delaware,Middletown,United States,41.5622,-72.6508,16.0,59.0,36.16375,26.0,69.0,43.2305,0.3,4.9,1.994477316666667
4,5,62747,160716,47029,245044,0,9,4.0,4.3,21.3,12.460349462365592,37.14,100.0,79.5073252688172,3,355,184.6034946236559,0.0,1.0,0.3211021505376344,4.800000000000001,29.8,16.45013440860215,2018,Delaware,Middletown,United States,41.5622,-72.6508,40.0,70.0,54.42862903225807,41.0,86.0,61.61024193548387,0.0,3.3,1.0534847795698925
5,6,66774,174624,43872,251897,0,9,3.0,5.5,22.700000000000003,15.00347222222222,35.42,100.0,77.81840277777778,2,358,190.01666666666668,0.0,0.9,0.3572222222222222,9.7,32.0,19.49430555555556,2018,Delaware,Middletown,United States,41.5622,-72.6508,42.0,73.0,59.00625,49.0,90.0,67.08975000000001,0.0,3.0,1.1719889555555556
6,7,65803,201899,47134,248119,0,9,2.0,6.800000000000001,25.200000000000003,19.20510752688172,31.2,100.0,76.93586021505376,1,359,182.0040322580645,0.0,1.0,0.3908602150537634,14.1,37.8,24.21008064516129,2018,Delaware,Middletown,United States,41.5622,-72.6508,44.0,77.0,66.56919354838709,57.0,100.0,75.57814516129032,0.0,3.3,1.2823498279569892
7,8,62840,163329,46878,215156,0,9,3.0,10.1,26.3,20.68413978494624,40.84,100.0,82.36352150537634,0,351,197.66129032258064,0.0,1.0,0.4294354838709677,14.5,33.7,24.306182795698923,2018,Delaware,Middletown,United States,41.5622,-72.6508,50.0,79.0,69.23145161290324,58.0,93.0,75.75112903225806,0.0,3.3,1.4089091129032256
8,9,45495,97122,32396,171025,0,9,3.0,6.2,24.700000000000003,16.884722222222223,42.08,100.0,82.22420833333334,0,359,151.8527777777778,0.1,1.1,0.4844444444444444,9.1,34.2,20.411944444444444,2018,Delaware,Middletown,United States,41.5622,-72.6508,43.0,76.0,62.3925,48.0,94.0,68.7415,0.3,3.6,1.589384711111111
9,10,33587,77848,23517,133248,0,9,3.0,-7.0,22.3,9.15268817204301,33.8,100.0,82.47614247311827,2,355,227.69086021505376,0.1,1.5,0.6455645161290323,-1.3,27.1,12.370564516129033,2018,Delaware,Middletown,United States,41.5622,-72.6508,19.0,72.0,48.47483870967742,30.0,81.0,54.26701612903226,0.3,4.9,2.1179938870967745
10,11,21629,52019,17631,90712,0,9,4.0,-18.5,18.0,1.8719444444444449,25.74,100.0,84.27222222222223,6,357,223.93194444444444,0.1,1.4,0.7052777777777778,-12.2,20.200000000000003,4.528333333333333,2018,Delaware,Middletown,United States,41.5622,-72.6508,-1.0,64.0,35.3695,10.0,68.0,40.151,0.3,4.6,2.3139035444444445
11,12,17773,50746,14728,75608,0,9,3.0,-19.4,14.7,-1.1366935483870968,42.71,100.0,85.81408602150537,5,359,223.08198924731184,0.1,1.6,0.7168010752688173,-15.6,15.0,1.1388440860215052,2018,Delaware,Middletown,United States,41.5622,-72.6508,-3.0,58.0,29.953951612903225,4.0,59.0,34.04991935483871,0.3,5.2,2.3517096397849464
