,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21660,56873,17276,89716,0,9,4.0,-12.7,15.4,-0.938037634408602,43.01,100.0,81.84099462365592,2,358,232.15456989247312,0.3,5.2,1.8262096774193548,-9.1,16.3,2.0150537634408603,2020,Delaware,Newark,United States,40.7242,-74.1726,9.0,60.0,30.31153225806452,16.0,61.0,35.62709677419355,1.0,17.1,5.991501758064516
1,2,24951,64034,21626,112593,0,9,4.0,-14.8,9.7,-0.3592261904761904,40.65,100.0,82.71651785714286,1,359,215.6577380952381,0.3,6.2,1.7151785714285717,-9.7,12.6,2.505357142857143,2020,Delaware,Newark,United States,40.7242,-74.1726,5.0,49.0,31.353392857142858,15.0,55.0,36.50964285714286,1.0,20.3,5.627226464285715
2,3,36440,110502,31262,174367,0,9,3.0,-8.200000000000001,16.3,3.187231182795699,38.1,100.0,80.85162634408603,1,359,173.1505376344086,0.5,4.0,1.735752688172043,-4.6000000000000005,19.0,6.575672043010753,2020,Delaware,Newark,United States,40.7242,-74.1726,17.0,61.0,37.737016129032256,24.0,66.0,43.83620967741936,1.6,13.1,5.6947268494623655
3,4,54761,129225,44589,211392,0,9,3.0,-5.1000000000000005,17.400000000000002,4.421805555555556,38.44,100.0,78.17054166666667,1,360,216.83055555555555,0.2,5.6000000000000005,1.7830555555555554,-0.8,19.6,8.394166666666667,2020,Delaware,Newark,United States,40.7242,-74.1726,23.0,63.0,39.95925,31.0,67.0,47.1095,0.7,18.4,5.849919988888888
4,5,63705,188498,46039,251010,0,8,3.0,-5.1000000000000005,21.200000000000003,9.43225806451613,35.31,100.0,77.51586021505376,3,353,193.8521505376344,0.2,3.2,1.3401881720430109,1.3,24.9,13.713978494623657,2020,Delaware,Newark,United States,40.7242,-74.1726,23.0,70.0,48.97806451612904,34.0,77.0,56.68516129032258,0.7,10.5,4.396942962365592
5,6,72096,195710,45287,248837,0,9,3.0,4.9,22.4,16.762777777777778,40.02,100.0,76.86520833333333,2,358,202.45277777777773,0.2,2.4000000000000004,1.04625,7.7,31.4,21.47958333333333,2020,Delaware,Newark,United States,40.7242,-74.1726,41.0,72.0,62.173,46.0,89.0,70.66325,0.7,7.9,3.43257885
6,7,71402,190560,50800,243570,0,9,3.0,16.7,25.4,20.90685483870968,36.09,100.0,75.98721774193548,4,354,195.7674731182796,0.2,3.1,1.0592741935483871,19.200000000000003,34.2,25.99637096774193,2020,Delaware,Newark,United States,40.7242,-74.1726,62.0,78.0,69.63233870967743,67.0,94.0,78.79346774193547,0.7,10.2,3.4753091451612903
7,8,62694,160935,47055,216873,0,9,3.0,9.4,24.3,19.550940860215054,35.19,100.0,77.22729838709678,2,356,188.45430107526883,0.2,5.7,1.15,15.3,32.2,24.247446236559146,2020,Delaware,Newark,United States,40.7242,-74.1726,49.0,76.0,67.1916935483871,60.0,90.0,75.64540322580646,0.7,18.7,3.772966
8,9,53800,132667,38310,172362,0,8,2.0,-0.6000000000000001,24.700000000000003,14.383194444444444,26.51,100.0,73.94045833333332,1,358,165.9736111111111,0.3,3.2,1.239861111111111,7.300000000000001,29.5,19.80236111111111,2020,Delaware,Newark,United States,40.7242,-74.1726,31.0,76.0,57.88975,45.0,85.0,67.64425,1.0,10.5,4.067785927777778
9,10,32754,82126,25714,133977,0,8,2.0,-4.7,19.0,10.185618279569892,37.78,100.0,79.72965053763441,2,358,190.625,0.2,3.3000000000000003,1.3368279569892474,-1.7000000000000002,24.0,14.051747311827956,2020,Delaware,Newark,United States,40.7242,-74.1726,24.0,66.0,50.33411290322581,29.0,75.0,57.293145161290326,0.7,10.8,4.385918634408602
10,11,19465,64684,17755,92764,0,9,2.0,-7.4,18.9,6.190833333333334,41.8,100.0,82.261875,1,360,232.83194444444445,0.1,4.6000000000000005,1.46,-3.0,22.9,9.295555555555556,2020,Delaware,Newark,United States,40.7242,-74.1726,19.0,66.0,43.1435,27.0,73.0,48.732,0.3,15.1,4.7900264
11,12,20024,48117,16538,79093,0,9,4.0,-12.0,15.4,-0.2353494623655914,50.95,100.0,85.05189516129032,0,358,242.252688172043,0.2,5.4,1.7826612903225807,-10.3,15.9,2.1208333333333336,2020,Delaware,Newark,United States,40.7242,-74.1726,10.0,60.0,31.576370967741937,13.0,61.0,35.8175,0.7,17.7,5.848626467741935
