,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26038,60441,19674,95562,0,9,4.0,-20.9,14.0,-3.1400537634408607,42.92,100.0,82.49341397849462,1,356,214.81317204301075,0.4,7.5,2.645833333333333,-16.0,14.5,-0.4095430107526882,2019,Delaware,Wilmington,United States,39.7458,-75.5467,-6.0,57.0,26.34790322580645,3.0,58.0,31.26282258064516,1.3,24.6,8.680555833333333
1,2,30702,79449,22989,117912,0,9,4.0,-16.0,13.6,-1.2882440476190478,50.11,100.0,84.56150297619048,2,358,197.4047619047619,0.3,7.5,2.26279761904762,-13.1,16.2,1.1584821428571428,2019,Delaware,Wilmington,United States,39.7458,-75.5467,3.0,56.0,29.681160714285717,8.0,61.0,34.08526785714286,1.0,24.6,7.423876940476193
2,3,45543,126872,35166,177952,0,9,3.0,-12.5,18.4,0.8411290322580645,39.13,100.0,81.56541666666666,2,355,194.244623655914,0.3,6.2,2.4838709677419355,-9.7,20.5,3.963172043010752,2019,Delaware,Wilmington,United States,39.7458,-75.5467,10.0,65.0,33.51403225806452,15.0,69.0,39.13370967741936,1.0,20.3,8.149183225806452
3,4,60092,148663,43877,209554,0,8,4.0,-6.300000000000001,19.6,9.3325,40.67,100.0,79.24770833333334,1,358,204.46666666666667,0.5,7.1000000000000005,2.5220833333333337,-2.3000000000000003,24.4,13.19513888888889,2019,Delaware,Wilmington,United States,39.7458,-75.5467,21.0,67.0,48.7985,28.0,76.0,55.75125,1.6,23.3,8.274551883333334
4,5,64601,157617,52428,242899,0,9,4.0,5.6000000000000005,24.200000000000003,14.986827956989249,41.47,100.0,82.74173387096774,2,356,194.880376344086,0.3,5.1000000000000005,2.032258064516129,5.6000000000000005,29.0,18.304166666666667,2019,Delaware,Wilmington,United States,39.7458,-75.5467,42.0,76.0,58.97629032258065,42.0,84.0,64.9475,1.0,16.7,6.667513548387096
5,6,74377,191557,49077,248571,0,9,4.0,6.5,24.5,18.18430555555556,40.88,100.0,80.15802777777778,4,355,211.20277777777773,0.3,5.300000000000001,1.896805555555556,9.1,31.700000000000003,22.13583333333333,2019,Delaware,Wilmington,United States,39.7458,-75.5467,44.0,76.0,64.73175,48.0,89.0,71.8445,1.0,17.4,6.223115538888891
6,7,68126,206382,52398,244844,0,9,2.0,14.1,27.0,21.36478494623656,41.99,100.0,78.67506720430107,1,358,210.625,0.3,4.1000000000000005,1.3556451612903226,16.1,34.1,25.76129032258065,2019,Delaware,Wilmington,United States,39.7458,-75.5467,57.0,81.0,70.45661290322582,61.0,93.0,78.37032258064517,1.0,13.5,4.447654870967742
7,8,66948,166428,49782,219192,0,9,3.0,12.1,24.700000000000003,19.2739247311828,35.22,100.0,74.02262096774194,1,358,168.03360215053763,0.2,3.8,1.4283602150537635,15.4,34.0,24.83333333333333,2019,Delaware,Wilmington,United States,39.7458,-75.5467,54.0,76.0,66.69306451612904,60.0,93.0,76.69999999999999,0.7,12.5,4.686221327956989
8,9,46856,140601,36065,177192,0,8,2.0,4.6000000000000005,22.4,15.275972222222224,24.64,100.0,67.99495833333334,3,357,172.13055555555556,0.2,4.3,1.6725,10.1,33.9,22.478472222222223,2019,Delaware,Wilmington,United States,39.7458,-75.5467,40.0,72.0,59.496750000000006,50.0,93.0,72.46125,0.7,14.1,5.4872049
9,10,31518,89754,24686,139527,0,12,3.0,-0.6000000000000001,22.1,10.262903225806452,23.77,100.0,70.57065860215053,2,357,169.8481182795699,0.2,6.9,2.211693548387097,4.0,35.0,16.350268817204302,2019,Delaware,Wilmington,United States,39.7458,-75.5467,31.0,72.0,50.473225806451616,39.0,95.0,61.43048387096775,0.7,22.6,7.2562126612903235
10,11,24976,74984,18142,99373,0,9,3.0,-12.4,11.0,0.0576388888888889,24.86,100.0,72.08451388888889,4,358,226.74444444444444,0.6000000000000001,6.2,2.065138888888889,-5.1000000000000005,17.6,5.249305555555556,2019,Delaware,Wilmington,United States,39.7458,-75.5467,10.0,52.0,32.10375,23.0,64.0,41.44875,2.0,20.3,6.775390272222222
11,12,19332,48241,16876,81714,0,9,4.0,-14.6,14.1,0.2685483870967741,39.4,100.0,84.6861559139785,1,357,210.0443548387097,0.3,5.0,1.9766129032258064,-8.700000000000001,15.0,2.7991935483870964,2019,Delaware,Wilmington,United States,39.7458,-75.5467,6.0,57.0,32.483387096774194,16.0,59.0,37.038548387096775,1.0,16.4,6.484950677419355
