,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,32301,102216,23924,127823,0,9,3.0,-3,21,11.452956989247312,42.51,100.0,84.60130376344087,0.6000000000000001,358.5,205.17849462365595,0.2,2.0,0.6220430107526882,0,25,14.709677419354838,2017,Florida,Jacksonville,United States,30.3369,-81.6614,27.0,70.0,52.61532258064516,32.0,77.0,58.47741935483871,0.7,6.6,2.0408235913978494
1,2,35777,124109,28025,143871,0,9,2.0,0,19,12.345238095238097,26.33,100.0,80.79605654761905,1.3,359.6,190.2488095238095,0.1,2.1,0.6361607142857143,6,27,16.620535714285715,2017,Florida,Jacksonville,United States,30.3369,-81.6614,32.0,66.0,54.221428571428575,43.0,81.0,61.916964285714286,0.3,6.9,2.087141517857143
2,3,50824,166512,40189,196642,0,8,2.0,-5,19,11.05241935483871,24.45,100.0,72.10986559139785,0.5,360.0,177.85147849462365,0.0,1.6,0.6887096774193548,1,30,17.237903225806452,2017,Florida,Jacksonville,United States,30.3369,-81.6614,23.0,66.0,51.89435483870968,34.0,86.0,63.028225806451616,0.0,5.2,2.2595462580645163
3,4,59721,204705,46197,222047,0,9,2.0,2,23,15.252777777777778,26.29,100.0,72.54479166666667,0.7000000000000001,359.5,160.22875,0.2,1.7000000000000002,0.7108333333333333,10,32,21.68611111111111,2017,Florida,Jacksonville,United States,30.3369,-81.6614,36.0,73.0,59.455,50.0,90.0,71.035,0.7,5.6,2.332130433333333
4,5,66227,217929,54506,246086,0,9,3.0,3,24,17.118279569892472,21.63,100.0,70.61978494623656,0.9,356.6,200.6756720430108,0.1,2.0,0.6958333333333334,12,35,24.330645161290324,2017,Florida,Jacksonville,United States,30.3369,-81.6614,37.0,75.0,62.81290322580645,54.0,95.0,75.79516129032258,0.3,6.6,2.2829178333333338
5,6,79646,169430,48970,239096,0,9,5.0,17,26,23.04861111111111,54.96,100.0,90.393625,0.5,354.1,156.23111111111112,0.1,1.2000000000000002,0.4756944444444444,19,32,25.31388888888889,2017,Florida,Jacksonville,United States,30.3369,-81.6614,63.0,79.0,73.4875,66.0,90.0,77.565,0.3,3.9,1.560677361111111
6,7,75771,193020,50853,242249,0,9,4.0,20,26,24.065860215053764,56.2,100.0,88.23533602150538,5.0,352.1,181.8361559139785,0.1,1.5,0.475,22,33,26.78360215053764,2017,Florida,Jacksonville,United States,30.3369,-81.6614,68.0,79.0,75.31854838709677,72.0,91.0,80.21048387096775,0.3,4.9,1.558399
7,8,76889,170432,46903,225222,0,9,4.0,20,27,24.51344086021505,57.94,100.0,90.52818548387096,0.5,359.40000000000003,172.9467741935484,0.1,1.5,0.4837365591397849,21,33,26.725806451612904,2017,Florida,Jacksonville,United States,30.3369,-81.6614,68.0,81.0,76.1241935483871,70.0,91.0,80.10645161290323,0.3,4.9,1.587062252688172
8,9,59773,143251,45145,189416,0,9,3.0,19,26,22.677777777777777,57.35,100.0,89.64026388888888,2.2,359.90000000000003,148.30041666666668,0.0,3.7,0.63875,20,31,25.116666666666667,2017,Florida,Jacksonville,United States,30.3369,-81.6614,66.0,79.0,72.82,68.0,88.0,77.21000000000001,0.0,12.1,2.09563655
9,10,47042,136758,33077,165490,0,9,2.0,4,26,18.616935483870968,45.28,100.0,86.17364247311828,1.1,358.5,126.76155913978496,0.1,1.9,0.707258064516129,5,30,21.7002688172043,2017,Florida,Jacksonville,United States,30.3369,-81.6614,39.0,79.0,65.51048387096775,41.0,86.0,71.06048387096774,0.3,6.2,2.320400548387097
10,11,34103,105525,25833,127774,0,9,2.0,5,21,14.719444444444443,53.56,100.0,88.18556944444444,0.0,359.90000000000003,130.49986111111113,0.1,1.5,0.573888888888889,7,26,17.330555555555556,2017,Florida,Jacksonville,United States,30.3369,-81.6614,41.0,70.0,58.495,45.0,79.0,63.195,0.3,4.9,1.8828376222222225
11,12,31152,83806,25353,114737,0,8,3.0,-1,21,10.827956989247312,45.67,100.0,89.3965994623656,1.0,359.8,200.682123655914,0.0,1.5,0.5686827956989248,1,24,13.130376344086022,2017,Florida,Jacksonville,United States,30.3369,-81.6614,30.0,70.0,51.49032258064516,34.0,75.0,55.63467741935485,0.0,4.9,1.8657572634408603
