,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,34765,109168,24583,137158,0,8,2.0,-0.5,21.3,10.88481182795699,33.89,100.0,78.83623655913979,1,359,194.6854838709677,0.2,7.800000000000001,2.7776881720430104,2.0,28.3,15.005510752688172,2019,Florida,Orlando,United States,28.5383,-81.3789,31.0,70.0,51.59266129032258,36.0,83.0,59.00991935483872,0.7,25.6,9.11315046236559
1,2,40590,107726,28564,146850,0,8,2.0,6.300000000000001,22.4,16.944940476190474,48.16,100.0,84.45497023809523,1,359,141.70535714285714,0.3,6.4,2.248809523809524,6.6000000000000005,29.700000000000003,19.967559523809523,2019,Florida,Orlando,United States,28.5383,-81.3789,43.0,72.0,62.50089285714286,44.0,85.0,67.94160714285715,1.0,21.0,7.377984238095238
2,3,55607,158472,39589,201377,0,9,2.0,-3.8,21.700000000000003,13.767204301075273,27.56,100.0,73.73751344086021,1,358,151.05913978494624,0.4,7.9,2.5858870967741936,4.5,30.200000000000003,19.30470430107527,2019,Florida,Orlando,United States,28.5383,-81.3789,25.0,71.0,56.78096774193549,40.0,86.0,66.74846774193549,1.3,25.9,8.483881822580646
3,4,57103,189551,40616,226473,0,9,2.0,4.6000000000000005,23.0,16.257083333333334,24.73,100.0,69.43806944444445,2,357,149.23472222222222,0.5,7.9,2.7354166666666666,11.8,33.0,23.13111111111112,2019,Florida,Orlando,United States,28.5383,-81.3789,40.0,73.0,61.26275,53.0,91.0,73.63600000000001,1.6,25.9,8.974464416666667
4,5,61407,210155,46913,248250,0,9,2.0,12.4,24.200000000000003,19.784005376344087,26.05,100.0,71.23896505376344,30,306,139.14112903225808,0.4,5.9,2.309543010752688,18.0,37.6,26.416263440860217,2019,Florida,Orlando,United States,28.5383,-81.3789,54.0,76.0,67.61120967741937,64.0,100.0,79.5492741935484,1.3,19.4,7.577241091397849
5,6,71554,175573,47642,240655,0,9,3.0,17.7,26.5,23.3275,33.09,100.0,80.874875,10,356,196.32361111111112,0.1,4.3,1.971666666666667,21.4,36.5,27.385416666666668,2019,Florida,Orlando,United States,28.5383,-81.3789,64.0,80.0,73.98949999999999,71.0,98.0,81.29375,0.3,14.1,6.468722866666667
6,7,75493,179591,51757,242574,0,9,4.0,21.1,27.200000000000003,24.16572580645161,52.620000000000005,100.0,83.74783602150538,5,355,168.76209677419354,0.1,5.0,1.55752688172043,21.8,34.4,27.49556451612904,2019,Florida,Orlando,United States,28.5383,-81.3789,70.0,81.0,75.4983064516129,71.0,94.0,81.49201612903227,0.3,16.4,5.109996494623656
7,8,73432,161597,44703,228679,0,9,4.0,22.4,27.4,25.01021505376344,60.42,100.0,88.72728494623657,8,316,163.97177419354838,0.3,4.4,1.810752688172043,22.4,33.1,27.19905913978495,2019,Florida,Orlando,United States,28.5383,-81.3789,72.0,81.0,77.01838709677419,72.0,92.0,80.95830645161291,1.0,14.4,5.940789849462366
8,9,59615,162652,40980,198688,0,8,2.0,16.3,28.200000000000003,22.59,45.3,100.0,80.12038888888888,1,357,118.13194444444444,0.5,9.0,3.061527777777778,19.5,33.300000000000004,26.644166666666667,2019,Florida,Orlando,United States,28.5383,-81.3789,61.0,83.0,72.662,67.0,92.0,79.95949999999999,1.6,29.5,10.044382794444443
9,10,45406,135218,31775,170382,0,8,2.0,12.4,26.1,22.020564516129035,44.79,100.0,82.79771505376344,10,356,123.56182795698923,0.3,6.2,2.4680107526881723,18.3,33.4,25.50255376344086,2019,Florida,Orlando,United States,28.5383,-81.3789,54.0,79.0,71.63701612903226,65.0,92.0,77.90459677419355,1.0,20.3,8.097148397849462
10,11,36211,108409,27868,135441,0,9,2.0,6.9,23.8,15.384722222222225,35.58,100.0,81.00188888888889,1,357,158.88611111111112,0.3,5.9,2.220833333333333,7.5,30.0,19.124583333333334,2019,Florida,Orlando,United States,28.5383,-81.3789,44.0,75.0,59.69250000000001,46.0,86.0,66.42425,1.0,19.4,7.286198833333333
11,12,32739,89777,25138,122728,0,8,2.0,-0.7000000000000001,23.9,15.234408602150538,31.06,100.0,83.75735215053764,3,357,171.78629032258064,0.8,6.300000000000001,2.834274193548388,3.6,28.4,18.4119623655914,2019,Florida,Orlando,United States,28.5383,-81.3789,31.0,75.0,59.42193548387097,38.0,83.0,65.14153225806453,2.6,20.7,9.298800145161293
