,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,34658,110527,25699,137571,0,8,3.0,0,21,13.954301075268818,39.94,100.0,82.30072580645161,1.4,359.5,187.44879032258063,0.2,10.1,3.1868279569892475,4,25,17.682795698924732,2017,Florida,St. Petersburg,United States,27.7731,-82.64,32.0,70.0,57.11774193548388,39.0,77.0,63.82903225806452,0.7,33.1,10.455472634408602
1,2,35034,136237,28192,152009,0,9,2.0,4,21,14.75595238095238,29.89,100.0,82.08309523809524,0.6000000000000001,357.40000000000003,181.3068452380953,0.3,8.200000000000001,2.7230654761904765,11,27,18.705357142857142,2017,Florida,St. Petersburg,United States,27.7731,-82.64,39.0,70.0,58.56071428571428,52.0,81.0,65.66964285714286,1.0,26.9,8.933942136904763
2,3,45547,190807,37886,204595,0,8,2.0,0,21,13.73252688172043,28.96,100.0,74.56326612903226,0.6000000000000001,359.20000000000005,167.65766129032258,0.1,7.5,3.1581989247311832,7,27,19.313172043010752,2017,Florida,St. Petersburg,United States,27.7731,-82.64,32.0,70.0,56.71854838709677,45.0,81.0,66.76370967741936,0.3,24.6,10.361545360215056
3,4,58434,208207,43088,226279,0,9,2.0,4,23,16.525,29.78,100.0,71.28425,0.4,357.40000000000003,156.01194444444445,0.4,7.5,3.114722222222222,14,32,23.00138888888889,2017,Florida,St. Petersburg,United States,27.7731,-82.64,39.0,73.0,61.745,57.0,90.0,73.4025,1.3,24.6,10.218905255555557
4,5,66743,219947,52652,246377,0,8,3.0,10,24,19.456989247311828,39.03,100.0,74.03037634408602,0.3,359.40000000000003,215.9657258064516,0.2,7.9,3.139784946236559,18,33,25.358870967741936,2017,Florida,St. Petersburg,United States,27.7731,-82.64,50.0,75.0,67.0225806451613,64.0,91.0,77.6459677419355,0.7,25.9,10.301132043010751
5,6,82939,168642,46526,239324,0,9,5.0,21,26,23.60833333333333,63.29,100.0,88.21258333333333,2.6,357.8,165.86916666666667,0.2,5.7,2.0384722222222225,22,31,26.29027777777777,2017,Florida,St. Petersburg,United States,27.7731,-82.64,70.0,79.0,74.495,72.0,88.0,79.32249999999999,0.7,18.7,6.687901205555557
6,7,77908,183782,48353,243000,0,9,5.0,21,26,24.18010752688172,58.31,100.0,83.98184139784946,0.3,359.40000000000003,169.8704301075269,0.0,5.6000000000000005,1.6056451612903229,25,32,27.73521505376344,2017,Florida,St. Petersburg,United States,27.7731,-82.64,70.0,79.0,75.5241935483871,77.0,90.0,81.92338709677419,0.0,18.4,5.267864870967743
7,8,71882,181371,45682,228597,0,9,4.0,23,26,24.7002688172043,66.08,100.0,86.27647849462365,0.2,356.6,184.13279569892475,0.0,4.800000000000001,1.7995967741935486,24,32,27.82258064516129,2017,Florida,St. Petersburg,United States,27.7731,-82.64,73.0,79.0,76.46048387096775,75.0,90.0,82.08064516129032,0.0,15.7,5.904189080645162
8,9,56766,157763,41247,195930,0,9,3.0,20,27,23.631944444444443,67.07000000000001,100.0,87.30980555555556,0.1,359.40000000000003,125.64611111111113,0.1,19.200000000000003,2.571388888888889,23,30,26.51805555555556,2017,Florida,St. Petersburg,United States,27.7731,-82.64,68.0,81.0,74.5375,73.0,86.0,79.73250000000002,0.3,63.0,8.436315522222221
9,10,48954,142036,34643,171802,0,8,3.0,7,26,20.98790322580645,45.35,100.0,89.2523252688172,2.2,359.6,108.9997311827957,0.5,8.3,3.606720430107527,12,30,23.438172043010752,2017,Florida,St. Petersburg,United States,27.7731,-82.64,45.0,79.0,69.77822580645162,54.0,86.0,74.18870967741935,1.6,27.2,11.83307265591398
10,11,32341,121119,25861,137310,0,9,2.0,8,21,17.35972222222222,58.48,100.0,88.39776388888889,0.2,359.3,97.21069444444444,0.3,6.0,2.7666666666666666,11,25,19.93055555555556,2017,Florida,St. Petersburg,United States,27.7731,-82.64,46.0,70.0,63.2475,52.0,77.0,67.875,1.0,19.7,9.076990666666669
11,12,32911,108630,24733,125543,0,8,2.0,5,22,15.10752688172043,50.2,100.0,86.96129032258064,0.2,359.90000000000003,168.45618279569894,0.3,7.2,2.4294354838709675,8,25,17.893817204301076,2017,Florida,St. Petersburg,United States,27.7731,-82.64,41.0,72.0,59.193548387096776,46.0,77.0,64.20887096774194,1.0,23.6,7.970589112903225
