,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,33974,114588,24530,139485,0,8,2.0,1.4,21.6,11.377822580645162,45.49,100.0,81.53545698924731,1,360,158.875,0.3,9.1,3.2641129032258065,4.5,25.8,14.736290322580643,2019,Florida,Tampa,United States,27.9474,-82.4588,35.0,71.0,52.480080645161294,40.0,78.0,58.52532258064516,1.0,29.9,10.709032177419354
1,2,35125,121938,26874,149119,0,8,2.0,4.6000000000000005,22.200000000000003,17.19970238095238,43.87,100.0,86.65927083333334,2,359,142.26636904761904,0.3,7.1000000000000005,2.428125,7.5,28.200000000000003,19.695982142857144,2019,Florida,Tampa,United States,27.9474,-82.4588,40.0,72.0,62.95946428571429,46.0,83.0,67.45276785714286,1.0,23.3,7.966289625
2,3,48862,173152,37554,203302,0,9,2.0,0.6000000000000001,22.3,14.90430107526882,32.56,100.0,76.96934139784946,2,358,164.19086021505376,0.1,6.9,2.8571236559139788,6.7,28.200000000000003,19.47836021505376,2019,Florida,Tampa,United States,27.9474,-82.4588,33.0,72.0,58.82774193548388,44.0,83.0,67.06104838709678,0.3,22.6,9.373765575268818
3,4,51072,198573,40401,226878,0,9,2.0,7.1000000000000005,23.4,16.9625,25.0,100.0,70.82684722222223,4,355,167.4375,0.2,9.6,3.0587500000000003,13.6,32.5,23.24277777777778,2019,Florida,Tampa,United States,27.9474,-82.4588,45.0,74.0,62.5325,56.0,90.0,73.837,0.7,31.5,10.03526935
4,5,62237,214563,46876,247406,0,9,2.0,13.6,24.5,20.45833333333333,27.97,100.0,70.10092741935485,8,352,156.91666666666666,0.3,5.9,2.4903225806451617,19.6,35.7,27.12137096774193,2019,Florida,Tampa,United States,27.9474,-82.4588,56.0,76.0,68.82499999999999,67.0,96.0,80.81846774193548,1.0,19.4,8.170349935483872
5,6,71899,186742,46630,239407,0,9,3.0,19.9,26.4,23.73416666666667,41.45,98.7,78.90995833333334,8,356,209.1472222222222,0.3,5.300000000000001,2.426388888888889,23.4,35.0,28.02277777777778,2019,Florida,Tampa,United States,27.9474,-82.4588,68.0,80.0,74.7215,74.0,95.0,82.441,1.0,17.4,7.960593722222223
6,7,71531,164002,51430,241293,0,9,4.0,22.5,26.700000000000003,24.54260752688172,57.27,100.0,82.87545698924731,3,358,174.9005376344086,0.1,5.4,1.9866935483870969,23.5,32.800000000000004,27.88051075268817,2019,Florida,Tampa,United States,27.9474,-82.4588,72.0,80.0,76.1766935483871,74.0,91.0,82.18491935483871,0.3,17.7,6.518023661290323
7,8,67844,154049,43225,228634,0,9,4.0,22.8,27.4,25.361962365591395,66.31,99.7,86.50612903225806,12,351,178.6438172043011,0.2,5.300000000000001,2.3721774193548386,24.3,31.9,27.91209677419355,2019,Florida,Tampa,United States,27.9474,-82.4588,73.0,81.0,77.65153225806452,76.0,89.0,82.2417741935484,0.7,17.4,7.782734564516128
8,9,57359,170419,39172,199918,0,9,2.0,19.1,28.1,23.58194444444445,50.05,100.0,82.82463888888888,2,359,121.38888888888889,0.3,6.5,3.103055555555556,20.4,32.7,26.97888888888889,2019,Florida,Tampa,United States,27.9474,-82.4588,66.0,83.0,74.44750000000002,69.0,91.0,80.56200000000001,1.0,21.3,10.18062878888889
9,10,45435,136951,31849,171740,0,9,2.0,13.2,27.0,22.649865591397848,47.5,100.0,84.1888440860215,2,355,121.36424731182797,0.2,6.4,2.9120967741935484,18.7,31.6,25.765860215053763,2019,Florida,Tampa,United States,27.9474,-82.4588,56.0,81.0,72.76975806451613,66.0,89.0,78.37854838709677,0.7,21.0,9.55412358064516
10,11,34474,111432,27156,137514,0,8,2.0,10.0,24.3,16.242083333333333,47.45,100.0,81.66194444444444,3,359,164.7138888888889,0.3,6.4,2.80375,10.9,29.8,19.70694444444445,2019,Florida,Tampa,United States,27.9474,-82.4588,50.0,76.0,61.23575,52.0,86.0,67.47250000000001,1.0,21.0,9.19865515
11,12,35812,91967,24560,124907,0,9,2.0,3.0,22.8,15.574596774193548,36.5,100.0,83.05630376344087,1,357,162.0510752688172,0.2,7.2,3.417204301075269,7.0,26.9,18.77620967741936,2019,Florida,Tampa,United States,27.9474,-82.4588,37.0,73.0,60.034274193548384,45.0,80.0,65.79717741935485,0.7,23.6,11.211300559139788
