,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26730,87125,22437,114572,0,9,4.0,-14,18,6.279569892473118,40.49,100.0,87.32715053763441,1.3,357.20000000000005,212.6456989247312,0.0,0.9,0.1379032258064516,-11,23,8.762096774193548,2017,Georgia,Athens,United States,33.95,-83.3833,7.0,64.0,43.303225806451614,12.0,73.0,47.77177419354839,0.0,3.0,0.4524384193548386
1,2,33824,102961,26153,133518,0,9,3.0,-9,18,7.165178571428571,31.39,100.0,83.86977678571428,2.5,359.70000000000005,207.8933035714286,0.0,1.1,0.1369047619047619,-2,24,10.595238095238097,2017,Georgia,Athens,United States,33.95,-83.3833,16.0,64.0,44.89732142857143,28.0,75.0,51.07142857142857,0.0,3.6,0.449162619047619
2,3,54329,152256,38756,190075,0,9,3.0,-12,21,6.893817204301075,27.45,100.0,79.04916666666666,0.1,359.90000000000003,201.43225806451613,0.0,0.9,0.1115591397849462,-5,27,11.396505376344086,2017,Georgia,Athens,United States,33.95,-83.3833,10.0,70.0,44.40887096774193,23.0,81.0,52.51370967741936,0.0,3.0,0.3660076881720429
3,4,58799,170425,48165,216028,0,9,3.0,1,22,13.681944444444444,33.97,100.0,81.30765277777778,2.9000000000000004,359.3,194.7201388888889,0.0,0.9,0.1306944444444444,2,29,18.025,2017,Georgia,Athens,United States,33.95,-83.3833,34.0,72.0,56.6275,36.0,84.0,64.445,0.0,3.0,0.4287875611111109
4,5,68099,198580,49737,248339,0,9,3.0,3,22,15.170698924731182,29.35,100.0,78.07426075268818,1.5,359.1,231.1075268817204,0.0,0.9,0.1228494623655914,7,34,20.443548387096776,2017,Georgia,Athens,United States,33.95,-83.3833,37.0,72.0,59.30725806451613,45.0,93.0,68.7983870967742,0.0,3.0,0.4030494301075268
5,6,81191,187531,47337,245466,0,9,4.0,12,25,19.181944444444444,36.24,100.0,80.74547222222222,0.4,360.0,194.2988888888889,0.0,0.7000000000000001,0.1163888888888889,15,33,23.78333333333333,2017,Georgia,Athens,United States,33.95,-83.3833,54.0,77.0,66.5275,59.0,91.0,74.81,0.0,2.3,0.3818533222222223
6,7,71088,218569,52972,244823,0,9,3.0,11,25,21.137096774193548,29.52,100.0,78.33954301075269,1.2000000000000002,359.3,216.28870967741932,0.0,0.7000000000000001,0.1048387096774193,15,38,26.486559139784948,2017,Georgia,Athens,United States,33.95,-83.3833,52.0,77.0,70.04677419354839,59.0,100.0,79.67580645161291,0.0,2.3,0.3439590322580643
7,8,75478,178531,47198,225508,0,8,4.0,11,27,19.498655913978496,26.56,100.0,76.81131720430108,0.1,358.40000000000003,165.52513440860216,0.0,0.7000000000000001,0.1177419354838709,17,36,25.135752688172044,2017,Georgia,Athens,United States,33.95,-83.3833,52.0,81.0,67.09758064516129,63.0,97.0,77.24435483870968,0.0,2.3,0.386292451612903
8,9,44746,165171,38704,189251,0,9,1.0,6,23,15.609722222222222,28.86,100.0,74.41841666666667,1.0,359.3,146.43347222222224,0.0,1.0,0.1708333333333333,11,34,21.77083333333333,2017,Georgia,Athens,United States,33.95,-83.3833,43.0,73.0,60.0975,52.0,93.0,71.1875,0.0,3.3,0.5604768333333332
9,10,35169,130973,28022,158747,0,8,2.0,-1,25,11.696236559139784,20.06,100.0,76.85379032258065,2.6,357.40000000000003,152.18225806451613,0.0,1.1,0.1674731182795699,0,32,17.098118279569892,2017,Georgia,Athens,United States,33.95,-83.3833,30.0,77.0,53.05322580645161,32.0,90.0,62.77661290322581,0.0,3.6,0.5494525053763442
10,11,29571,98555,24682,116540,0,8,3.0,-2,20,7.070833333333334,34.62,100.0,83.46719444444444,0.6000000000000001,360.0,167.42944444444447,0.0,1.1,0.2076388888888889,-2,26,10.645833333333334,2017,Georgia,Athens,United States,33.95,-83.3833,28.0,68.0,44.7275,28.0,79.0,51.1625,0.0,3.6,0.6812299722222223
11,12,27018,70565,22455,102780,0,8,4.0,-11,18,2.9771505376344085,30.92,100.0,82.88665322580646,0.7000000000000001,359.40000000000003,192.0364247311828,0.0,1.1,0.128494623655914,-5,22,6.200268817204301,2017,Georgia,Athens,United States,33.95,-83.3833,12.0,64.0,37.358870967741936,23.0,72.0,43.16048387096774,0.0,3.6,0.4215703010752689
