,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25658,76197,20458,118952,0,9,3.0,-9.1,18.0,3.303763440860215,44.69,100.0,85.28962365591399,1,357,242.24327956989248,0.3,4.0,1.435483870967742,-5.800000000000001,19.0,5.809543010752688,2019,Georgia,Atlanta,United States,33.7485,-84.3915,16.0,64.0,37.94677419354839,22.0,66.0,42.45717741935484,1.0,13.1,4.709592903225807
1,2,32688,69957,24527,134034,0,9,4.0,-3.5,19.5,8.751636904761906,41.51,100.0,87.5114880952381,5,358,195.6547619047619,0.3,4.0,1.3851190476190478,-2.1,22.8,10.99717261904762,2019,Georgia,Atlanta,United States,33.7485,-84.3915,26.0,67.0,47.75294642857144,28.0,73.0,51.79491071428572,1.0,13.1,4.544353976190477
2,3,49084,141825,33850,194894,0,9,4.0,-8.1,19.200000000000003,6.808333333333333,33.72,100.0,80.04271505376344,4,358,225.65591397849465,0.2,3.2,1.355510752688172,-4.7,22.3,10.578763440860216,2019,Georgia,Atlanta,United States,33.7485,-84.3915,17.0,67.0,44.255,24.0,72.0,51.04177419354839,0.7,10.5,4.447213897849462
3,4,57569,174394,39839,223180,0,9,3.0,-2.0,21.5,12.773333333333335,37.25,100.0,80.5235,4,356,203.5222222222222,0.2,3.9,1.3218055555555557,0.7000000000000001,28.3,16.618194444444445,2019,Georgia,Atlanta,United States,33.7485,-84.3915,28.0,71.0,54.992,33.0,83.0,61.91275,0.7,12.8,4.336632538888889
4,5,63040,216049,43509,251368,0,9,2.0,8.200000000000001,23.0,18.13481182795699,35.550000000000004,100.0,77.92987903225807,4,357,225.5497311827957,0.2,2.9000000000000004,1.0276881720430109,8.6,33.300000000000004,22.74422043010753,2019,Georgia,Atlanta,United States,33.7485,-84.3915,47.0,73.0,64.6426612903226,47.0,92.0,72.93959677419355,0.7,9.5,3.371680462365592
5,6,74634,173029,47329,246977,0,9,4.0,11.0,25.1,19.86722222222222,36.46,100.0,79.24288888888888,3,356,201.3875,0.2,3.0,1.072638888888889,12.2,32.9,24.299722222222226,2019,Georgia,Atlanta,United States,33.7485,-84.3915,52.0,77.0,67.761,54.0,91.0,75.7395,0.7,9.8,3.5191565722222222
6,7,73943,197411,49103,248046,0,9,3.0,11.6,25.700000000000003,19.87029569892473,28.63,100.0,67.89864247311829,3,357,201.50940860215053,0.1,2.3000000000000003,0.8995967741935484,16.6,36.4,27.38454301075269,2019,Georgia,Atlanta,United States,33.7485,-84.3915,53.0,78.0,67.76653225806452,62.0,98.0,81.29217741935484,0.3,7.5,2.9514330806451614
7,8,61279,188397,43636,228729,0,8,2.0,7.2,24.4,19.588037634408604,20.29,100.0,66.98692204301076,1,358,186.9099462365592,0.1,2.4000000000000004,0.8700268817204302,17.1,38.2,27.476881720430107,2019,Georgia,Atlanta,United States,33.7485,-84.3915,45.0,76.0,67.25846774193549,63.0,101.0,81.4583870967742,0.3,7.9,2.854418994623656
8,9,43323,181051,34448,192752,0,9,1.0,6.2,23.6,16.017222222222223,16.72,100.0,54.89698611111111,3,359,158.70138888888889,0.2,2.9000000000000004,1.0030555555555556,15.2,38.900000000000006,27.325416666666666,2019,Georgia,Atlanta,United States,33.7485,-84.3915,43.0,74.0,60.831,59.0,102.0,81.18575,0.7,9.5,3.290864788888889
9,10,40392,106741,29501,158461,0,8,3.0,-1.8,22.200000000000003,12.97513440860215,21.59,100.0,69.68176075268818,1,358,165.1451612903226,0.3,3.9,1.2537634408602152,2.3000000000000003,38.3,19.783198924731185,2019,Georgia,Atlanta,United States,33.7485,-84.3915,29.0,72.0,55.35524193548388,36.0,101.0,67.60975806451614,1.0,12.8,4.113397247311829
10,11,26986,96951,20866,122072,0,8,2.0,-10.4,18.5,5.208194444444445,33.02,100.0,79.45341666666667,3,358,205.5833333333333,0.3,3.7,1.11625,-6.7,21.9,9.055555555555555,2019,Georgia,Atlanta,United States,33.7485,-84.3915,13.0,65.0,41.37475,20.0,71.0,48.3,1.0,12.1,3.66223765
11,12,24064,67962,18075,107279,0,9,4.0,-6.0,18.8,5.441532258064516,35.19,100.0,84.23112903225807,13,356,178.63306451612902,0.3,3.4000000000000004,1.444220430107527,-4.800000000000001,20.6,8.284005376344087,2019,Georgia,Atlanta,United States,33.7485,-84.3915,21.0,66.0,41.79475806451613,23.0,69.0,46.91120967741936,1.0,11.2,4.738256155913978
