,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25478,90852,22939,115595,0,9,3.0,-10,19,7.516129032258065,43.9,100.0,89.22291666666668,2.4000000000000004,358.40000000000003,212.23763440860216,0.4,6.2,1.7788978494623655,-8,23,10.125,2017,Georgia,Augusta,United States,33.4667,-81.9667,14.0,66.0,45.52903225806452,18.0,73.0,50.225,1.3,20.3,5.836279220430107
1,2,34983,113601,26095,134849,0,9,3.0,-6,19,8.488095238095237,36.18,100.0,85.10025297619048,1.8,359.1,201.90386904761905,0.3,4.800000000000001,1.7498511904761906,0,24,12.072916666666666,2017,Georgia,Augusta,United States,33.4667,-81.9667,21.0,66.0,47.27857142857143,32.0,75.0,53.73125,1.0,15.7,5.740981779761905
2,3,48693,159522,39118,190178,0,9,3.0,-9,20,7.495967741935484,31.2,100.0,77.20024193548387,0.1,359.5,194.4633064516129,0.3,4.800000000000001,1.9627688172043007,-4,27,12.725806451612904,2017,Georgia,Augusta,United States,33.4667,-81.9667,16.0,68.0,45.49274193548387,25.0,81.0,54.906451612903226,1.0,15.7,6.439530446236559
3,4,60417,174930,49145,215622,0,9,3.0,2,22,14.11111111111111,34.52,100.0,77.21758333333334,15.2,353.40000000000003,199.9672222222222,0.1,5.7,1.7405555555555556,4,32,19.68888888888889,2017,Georgia,Augusta,United States,33.4667,-81.9667,36.0,72.0,57.4,39.0,90.0,67.44,0.3,18.7,5.710484288888889
4,5,67282,200395,49747,247720,0,8,3.0,4,22,15.383064516129032,25.67,100.0,72.15306451612904,10.2,358.90000000000003,230.30658602150532,0.1,5.5,1.815994623655914,9,35,22.537634408602152,2017,Georgia,Augusta,United States,33.4667,-81.9667,39.0,72.0,59.689516129032256,48.0,95.0,72.56774193548387,0.3,18.0,5.9579878010752685
5,6,86130,189013,48158,243728,0,9,4.0,12,25,19.26527777777778,32.06,100.0,75.4716111111111,1.7000000000000002,359.3,175.49194444444444,0.0,3.6,1.4033333333333335,16,35,25.556944444444444,2017,Georgia,Augusta,United States,33.4667,-81.9667,54.0,77.0,66.67750000000001,61.0,95.0,78.0025,0.0,11.8,4.604112133333334
6,7,76393,198011,54085,242681,0,9,3.0,12,25,21.65322580645161,32.53,100.0,77.3125,2.0,352.8,208.19932795698924,0.2,3.2,1.3228494623655915,17,36,27.47983870967742,2017,Georgia,Augusta,United States,33.4667,-81.9667,54.0,77.0,70.9758064516129,63.0,97.0,81.46370967741936,0.7,10.5,4.340057430107527
7,8,74413,174972,48873,223579,0,9,4.0,12,25,20.641129032258064,30.77,100.0,75.17642473118279,0.3,358.6,170.2684139784946,0.2,4.6000000000000005,1.4700268817204305,17,37,26.95833333333333,2017,Georgia,Augusta,United States,33.4667,-81.9667,54.0,77.0,69.15403225806452,63.0,99.0,80.52499999999999,0.7,15.1,4.822922994623657
8,9,49515,158476,40227,188322,0,9,2.0,5,23,16.92222222222222,24.01,100.0,72.37497222222223,0.6000000000000001,360.0,147.0886111111111,0.2,9.2,1.6513888888888888,14,35,23.872222222222224,2017,Georgia,Augusta,United States,33.4667,-81.9667,41.0,73.0,62.46,57.0,95.0,74.97,0.7,30.2,5.417942722222222
9,10,37269,135592,27827,159496,0,8,2.0,-3,25,12.650537634408602,20.01,100.0,72.36677419354838,4.6000000000000005,357.70000000000005,149.04731182795695,0.3,5.5,1.733467741935484,0,34,19.530913978494624,2017,Georgia,Augusta,United States,33.4667,-81.9667,27.0,77.0,54.77096774193548,32.0,93.0,67.15564516129032,1.0,18.0,5.687230306451613
10,11,30774,99685,24710,118453,0,9,2.0,-4,18,6.834722222222222,25.43,100.0,74.46555555555555,0.8,359.70000000000005,149.0475,0.1,4.3,1.3718055555555555,0,29,12.725,2017,Georgia,Augusta,United States,33.4667,-81.9667,25.0,64.0,44.3025,32.0,84.0,54.905,0.3,14.1,4.500674538888888
11,12,29144,74409,23979,103521,0,8,4.0,-10,17,4.051075268817204,29.57,100.0,80.85456989247312,1.4,359.1,182.07782258064515,0.1,4.7,1.4856182795698925,-4,24,8.049731182795698,2017,Georgia,Augusta,United States,33.4667,-81.9667,14.0,63.0,39.291935483870965,25.0,75.0,46.48951612903225,0.3,15.4,4.874075876344086
