,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23470,64779,20498,95782,0,9,4.0,-22.200000000000003,11.7,-6.903629032258065,37.14,100.0,80.52657258064517,2,355,231.11559139784947,0.2,9.2,3.625268817204301,-19.0,12.3,-3.92244623655914,2018,Georgia,Columbus,United States,39.9833,-82.9833,-8.0,53.0,19.57346774193548,-2.0,54.0,24.939596774193543,0.7,30.2,11.893926946236558
1,2,30474,54918,23385,116116,0,8,5.0,-18.0,16.5,-0.3861607142857143,41.35,100.0,83.92168154761904,2,357,202.29613095238096,0.1,9.6,3.583333333333333,-11.9,22.3,2.215327380952381,2018,Georgia,Columbus,United States,39.9833,-82.9833,-0.0,62.0,31.304910714285715,11.0,72.0,35.987589285714286,0.3,31.5,11.756343333333332
2,3,39853,117138,30626,180856,0,9,3.0,-10.8,14.9,-1.7655913978494626,39.32,100.0,77.80310483870969,1,360,170.78494623655914,0.2,9.5,3.5911290322580647,-5.7,18.1,1.9969086021505376,2018,Georgia,Columbus,United States,39.9833,-82.9833,13.0,59.0,28.821935483870966,22.0,65.0,35.59443548387097,0.7,31.2,11.781919774193549
3,4,54714,136558,47594,214259,0,9,4.0,-7.800000000000001,19.1,3.310416666666667,38.26,100.0,77.93154166666666,2,357,200.84166666666667,0.3,9.4,3.23,-5.800000000000001,23.700000000000003,7.262777777777777,2018,Georgia,Columbus,United States,39.9833,-82.9833,18.0,66.0,37.95875,22.0,75.0,45.073,1.0,30.8,10.5971132
4,5,76613,184285,50051,244093,0,9,4.0,2.6,23.700000000000003,17.038306451612904,43.11,100.0,82.42329301075269,2,357,165.2284946236559,0.3,7.9,2.618413978494624,5.300000000000001,30.200000000000003,20.44731182795699,2018,Georgia,Columbus,United States,39.9833,-82.9833,37.0,75.0,62.66895161290323,42.0,86.0,68.80516129032259,1.0,25.9,8.5905973172043
5,6,72148,172366,50169,247507,0,9,3.0,8.5,25.200000000000003,19.01083333333333,42.86,100.0,83.17041666666667,1,358,197.9611111111111,0.2,6.1000000000000005,2.1925000000000003,9.1,31.8,22.30444444444445,2018,Georgia,Columbus,United States,39.9833,-82.9833,47.0,77.0,66.2195,48.0,89.0,72.14800000000001,0.7,20.0,7.193241700000001
6,7,68030,187212,48035,249863,0,9,3.0,11.7,25.6,18.37002688172043,34.72,100.0,74.50700268817204,3,358,173.94623655913978,0.1,4.9,1.7936827956989247,12.9,32.1,23.726209677419355,2018,Georgia,Columbus,United States,39.9833,-82.9833,53.0,78.0,65.06604838709677,55.0,90.0,74.70717741935485,0.3,16.1,5.88478626344086
7,8,70420,161684,50851,218764,0,9,3.0,9.2,24.4,18.91317204301076,33.730000000000004,100.0,76.73174731182796,0,356,196.5779569892473,0.1,6.6000000000000005,2.071908602150537,11.9,33.5,23.84032258064516,2018,Georgia,Columbus,United States,39.9833,-82.9833,49.0,76.0,66.04370967741937,53.0,92.0,74.91258064516128,0.3,21.7,6.797600618279568
8,9,44109,109184,32569,175980,0,9,3.0,7.4,23.1,17.309305555555557,37.72,100.0,80.49247222222222,2,357,147.24722222222223,0.3,6.7,2.134305555555556,7.7,35.0,21.28861111111112,2018,Georgia,Columbus,United States,39.9833,-82.9833,45.0,74.0,63.15675,46.0,95.0,70.3195,1.0,22.0,7.002315038888891
9,10,36514,89563,23566,139887,0,8,3.0,-4.3,23.0,8.690322580645162,33.76,100.0,78.77478494623657,1,358,217.4032258064516,0.3,8.0,2.901075268817205,-1.5,30.5,12.748387096774197,2018,Georgia,Columbus,United States,39.9833,-82.9833,24.0,73.0,47.64258064516129,29.0,87.0,54.947096774193554,1.0,26.2,9.51796378494624
10,11,24106,46550,21791,96857,0,9,4.0,-12.1,14.6,-0.1290277777777778,43.79,100.0,84.55955555555555,2,357,193.9333333333333,0.3,8.200000000000001,2.8752777777777783,-6.800000000000001,15.3,2.366805555555556,2018,Georgia,Columbus,United States,39.9833,-82.9833,10.0,58.0,31.76775,20.0,60.0,36.26025,1.0,26.9,9.433326344444446
11,12,19873,43207,17228,82096,0,9,4.0,-16.7,14.6,-0.9504032258064516,55.79,100.0,88.41770161290323,3,357,199.25940860215053,0.2,7.4,2.827956989247312,-15.3,17.2,0.8474462365591398,2018,Georgia,Columbus,United States,39.9833,-82.9833,2.0,58.0,30.289274193548387,4.0,63.0,33.52540322580645,0.7,24.3,9.278074408602151
