,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,30344,95586,22598,124767,0,9,3.0,-10.5,18.6,2.765725806451613,27.94,100.0,74.23912634408603,5,357,173.80376344086022,0.1,2.5,1.248521505376344,-4.3,20.700000000000003,7.50752688172043,2018,Georgia,Savannah,United States,32.0167,-81.1167,13.0,65.0,36.9783064516129,24.0,69.0,45.513548387096776,0.3,8.2,4.096199295698924
1,2,35734,95417,24765,137873,0,9,3.0,-4.1000000000000005,19.1,13.516964285714286,36.65,100.0,84.5290625,8,348,158.36755952380952,0.3,2.4000000000000004,1.0345238095238096,2.4000000000000004,26.9,16.463392857142857,2018,Georgia,Savannah,United States,32.0167,-81.1167,25.0,66.0,56.33053571428572,36.0,80.0,61.63410714285715,1.0,7.9,3.394107095238096
2,3,47833,151253,34992,197707,0,9,2.0,-5.7,19.6,7.595430107526882,20.25,100.0,67.00129032258064,3,357,219.15456989247312,0.1,3.5,1.4190860215053762,2.3000000000000003,27.6,14.561693548387096,2018,Georgia,Savannah,United States,32.0167,-81.1167,22.0,67.0,45.67177419354839,36.0,82.0,58.21104838709677,0.3,11.5,4.655794182795699
3,4,52473,173893,44975,221715,0,9,2.0,1.1,22.0,12.57125,28.08,100.0,71.523375,5,358,174.20833333333334,0.2,3.0,1.4108333333333334,7.0,28.4,18.58013888888889,2018,Georgia,Savannah,United States,32.0167,-81.1167,34.0,72.0,54.62825,45.0,83.0,65.44425000000001,0.7,9.8,4.628718433333334
4,5,76602,190678,45055,247517,0,9,4.0,10.2,25.1,19.85564516129032,27.55,100.0,80.02962365591398,9,357,158.1048387096774,0.2,2.4000000000000004,1.1793010752688171,14.2,34.4,24.214112903225807,2018,Georgia,Savannah,United States,32.0167,-81.1167,50.0,77.0,67.74016129032258,58.0,94.0,75.58540322580646,0.7,7.9,3.869098139784946
5,6,71204,190375,47345,242697,0,9,3.0,16.2,26.3,23.13083333333333,40.48,100.0,80.30765277777778,13,355,225.1861111111111,0.1,1.8,0.9697222222222224,20.700000000000003,36.1,27.26875,2018,Georgia,Savannah,United States,32.0167,-81.1167,61.0,79.0,73.63550000000001,69.0,97.0,81.08375000000001,0.3,5.9,3.181503455555556
6,7,78326,181265,51362,243653,0,9,3.0,17.5,26.5,23.956720430107527,36.02,100.0,81.26262096774194,2,352,169.38440860215053,0.1,2.2,1.091532258064516,23.0,36.6,27.88252688172044,2018,Georgia,Savannah,United States,32.0167,-81.1167,64.0,80.0,75.12209677419355,73.0,98.0,82.18854838709679,0.3,7.2,3.5811426935483865
7,8,69896,182079,45757,226275,0,9,3.0,20.700000000000003,26.200000000000003,24.07379032258065,50.33,100.0,82.52162634408603,15,334,183.58467741935485,0.1,2.1,1.0323924731182796,22.700000000000003,33.4,27.651075268817205,2018,Georgia,Savannah,United States,32.0167,-81.1167,69.0,79.0,75.33282258064517,73.0,92.0,81.77193548387098,0.3,6.9,3.3871145215053766
8,9,60711,140090,33084,191501,0,9,3.0,19.6,26.9,23.45027777777777,45.13,100.0,79.84162500000001,3,358,144.30833333333334,0.1,2.6,1.1730555555555555,22.200000000000003,34.5,27.58680555555556,2018,Georgia,Savannah,United States,32.0167,-81.1167,67.0,80.0,74.2105,72.0,94.0,81.65625,0.3,8.5,3.8486075888888887
9,10,42128,128864,27014,163494,0,8,2.0,3.8,26.200000000000003,18.04327956989248,31.04,100.0,76.0341935483871,2,358,149.39247311827958,0.2,3.8,1.3458333333333334,10.9,33.0,22.93413978494624,2018,Georgia,Savannah,United States,32.0167,-81.1167,39.0,79.0,64.47790322580646,52.0,91.0,73.28145161290323,0.7,12.5,4.415463833333334
10,11,34936,78245,22539,123962,0,9,4.0,-3.9,21.700000000000003,12.339583333333334,33.83,100.0,83.35015277777778,1,358,182.78333333333333,0.1,2.7,1.196388888888889,0.5,27.6,15.44888888888889,2018,Georgia,Savannah,United States,32.0167,-81.1167,25.0,71.0,54.21125,33.0,82.0,59.80800000000001,0.3,8.9,3.9251605222222223
11,12,27405,68305,21521,111141,0,9,4.0,-0.3,21.700000000000003,10.262768817204302,46.95,100.0,88.52533602150538,6,352,194.92876344086025,0.1,3.2,1.0803763440860217,1.0,23.6,12.282123655913978,2018,Georgia,Savannah,United States,32.0167,-81.1167,31.0,71.0,50.47298387096775,34.0,74.0,54.10782258064516,0.3,10.5,3.544541924731184
