,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,48492,111721,34238,162851,0,8,3.0,14,20,17.822580645161292,68.85000000000001,100.0,93.29619623655914,2.2,359.8,76.5970430107527,0.4,8.3,3.4431451612903228,20,28,23.620967741935484,2017,Hawaii,Hilo,United States,19.7056,-155.0858,57.0,68.0,64.08064516129033,68.0,82.0,74.51774193548387,1.3,27.2,11.296408370967743
1,2,53150,104801,34670,168913,0,8,4.0,14,22,17.915178571428573,66.2,100.0,91.53614583333334,1.3,356.3,118.9840773809524,0.2,6.4,3.368898809523809,20,29,24.004464285714285,2017,Hawaii,Hilo,United States,19.7056,-155.0858,57.0,72.0,64.24732142857144,68.0,84.0,75.20803571428571,0.7,21.0,11.052817970238094
2,3,64879,158158,40615,214437,0,8,3.0,17,21,18.991935483870968,68.12,100.0,92.82006720430108,1.1,292.40000000000003,100.32002688172044,0.5,6.1000000000000005,3.0491935483870964,22,29,24.885752688172044,2017,Hawaii,Hilo,United States,19.7056,-155.0858,63.0,70.0,66.18548387096774,72.0,84.0,76.79435483870968,1.6,20.0,10.003916161290322
3,4,72345,158907,40703,228008,0,9,3.0,17,21,19.28472222222222,72.97,100.0,93.54084722222224,15.9,191.0,90.03472222222223,1.0,6.1000000000000005,3.547638888888889,23,28,25.03472222222222,2017,Hawaii,Hilo,United States,19.7056,-155.0858,63.0,70.0,66.7125,73.0,82.0,77.0625,3.3,20.0,11.63923557222222
4,5,75327,179898,43417,243249,0,8,3.0,18,22,19.530913978494624,71.96000000000001,100.0,93.09337365591398,37.9,169.20000000000002,81.55967741935484,0.8,7.0,3.956182795698925,23,29,25.38844086021505,2017,Hawaii,Hilo,United States,19.7056,-155.0858,64.0,72.0,67.15564516129032,73.0,84.0,77.69919354838709,2.6,23.0,12.97960276344086
5,6,76177,183746,38981,238067,0,8,3.0,18,22,20.2375,73.60000000000001,100.0,93.82427777777777,23.700000000000003,103.8,67.53694444444444,1.3,6.300000000000001,3.753888888888889,23,29,25.9,2017,Hawaii,Hilo,United States,19.7056,-155.0858,64.0,72.0,68.42750000000001,73.0,84.0,78.62,4.3,20.7,12.315908822222225
6,7,69443,183984,37393,244373,0,8,3.0,18,23,20.93010752688172,71.02,100.0,93.86469086021506,22.6,133.20000000000002,62.8741935483871,1.0,5.9,3.755241935483871,24,30,26.587365591397848,2017,Hawaii,Hilo,United States,19.7056,-155.0858,64.0,73.0,69.6741935483871,75.0,86.0,79.85725806451613,3.3,19.4,12.320347951612904
7,8,78113,165062,36865,237799,0,8,3.0,19,24,21.178763440860216,72.34,100.0,93.1675,26.200000000000003,108.5,73.13897849462366,1.7000000000000002,5.9,3.849462365591398,24,30,26.969086021505376,2017,Hawaii,Hilo,United States,19.7056,-155.0858,66.0,75.0,70.12177419354839,75.0,86.0,80.54435483870968,5.6,19.4,12.629470107526885
8,9,64098,145908,33655,213534,0,8,2.0,19,23,21.129166666666663,71.35000000000001,100.0,93.48616666666666,28.5,143.5,84.32791666666667,1.5,6.4,3.608194444444445,25,30,26.884722222222223,2017,Hawaii,Hilo,United States,19.7056,-155.0858,66.0,73.0,70.0325,77.0,86.0,80.39250000000001,4.9,21.0,11.837908661111111
9,10,58238,133302,31294,194467,0,8,4.0,19,24,21.25,71.47,100.0,95.17322580645164,2.0,206.0,98.67715053763442,0.8,7.2,3.7788978494623655,25,30,26.64381720430108,2017,Hawaii,Hilo,United States,19.7056,-155.0858,66.0,75.0,70.25,77.0,86.0,79.95887096774194,2.6,23.6,12.397959220430106
10,11,49248,102459,27966,162501,0,9,4.0,15,22,19.59583333333333,66.79,100.0,93.57734722222224,0.3,352.0,69.36263888888888,0.5,7.0,3.880694444444445,23,30,25.280555555555555,2017,Hawaii,Hilo,United States,19.7056,-155.0858,59.0,72.0,67.27250000000001,73.0,86.0,77.505,1.6,23.0,12.731937561111112
11,12,42659,113318,26321,156577,0,8,4.0,13,22,17.78494623655914,55.94,100.0,91.45885752688172,0.4,360.0,91.02620967741936,0.5,8.700000000000001,3.510752688172043,21,29,23.87903225806452,2017,Hawaii,Hilo,United States,19.7056,-155.0858,55.0,72.0,64.01290322580645,70.0,84.0,74.98225806451615,1.6,28.5,11.518217849462363
