,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,42115,125763,26463,159640,0,8,2.0,16.6,23.200000000000003,20.58413978494624,56.91,87.79,76.35091397849463,2,359,91.28225806451611,0.5,11.2,5.8500000000000005,23.3,26.6,25.08104838709677,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,62.0,74.0,69.05145161290324,74.0,80.0,77.14588709677419,1.6,36.7,19.192914
1,2,44125,135892,24826,170213,0,8,1.0,14.9,23.1,19.392857142857142,60.22,87.48,74.2649255952381,1,358,119.1532738095238,0.5,11.5,6.311309523809523,21.4,26.9,24.30208333333333,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,59.0,74.0,66.90714285714286,71.0,80.0,75.74374999999999,1.6,37.7,20.70639673809524
2,3,66547,159718,33252,215323,0,8,3.0,16.8,22.8,20.14126344086021,63.06,91.63,77.69514784946237,4,352,96.45833333333331,0.3,10.6,5.5233870967741945,22.9,26.3,24.32755376344086,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,62.0,73.0,68.25427419354838,73.0,79.0,75.78959677419354,1.0,34.8,18.12134932258065
3,4,62659,197611,32961,230719,0,9,2.0,18.2,22.4,20.48013888888889,63.96,84.9,75.42759722222223,8,355,123.54027777777776,0.4,8.9,4.1480555555555565,23.200000000000003,26.8,25.16541666666667,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,65.0,72.0,68.86425,74.0,80.0,77.29775000000001,1.3,29.2,13.609106588888892
4,5,58790,217558,33634,249850,0,8,1.0,19.4,22.700000000000003,21.068279569892475,63.88,84.60000000000001,75.20569892473118,5,351,66.98118279569893,0.8,8.5,5.54986559139785,24.0,27.700000000000003,25.82916666666667,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,67.0,73.0,69.92290322580646,75.0,82.0,78.4925,2.6,27.9,18.208221026881724
5,6,64877,211229,33274,242493,0,8,1.0,19.8,23.700000000000003,21.99277777777778,62.22,85.72,75.20527777777778,39,88,72.4625,2.8000000000000003,8.700000000000001,5.930000000000001,25.5,28.6,26.79125,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,68.0,75.0,71.587,78.0,83.0,80.22425000000001,9.2,28.5,19.4553812
6,7,66808,207704,33868,247687,0,11,1.0,20.700000000000003,25.0,22.50994623655914,63.33,87.85000000000001,75.15424731182796,6,347,70.22043010752688,2.2,9.2,6.0448924731182805,25.9,29.0,27.33239247311828,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,69.0,77.0,72.51790322580646,79.0,84.0,81.1983064516129,7.2,30.2,19.83232502150538
7,8,51294,220715,30371,241089,0,8,1.0,20.1,24.700000000000003,22.67795698924732,58.92,87.83,74.91032258064516,44,85,69.9247311827957,3.9,8.5,6.162903225806452,26.1,29.4,27.57715053763441,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,68.0,76.0,72.82032258064517,79.0,85.0,81.63887096774194,12.8,27.9,20.21949941935484
8,9,42208,200475,26150,216410,0,8,1.0,20.1,24.5,22.451944444444443,57.75,84.32000000000001,73.33841666666667,16,93,68.89861111111111,2.0,7.7,5.524444444444445,26.200000000000003,29.4,27.71166666666667,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,68.0,76.0,72.4135,79.0,85.0,81.881,6.6,25.3,18.124818311111117
9,10,47461,161256,25328,192599,0,11,2.0,19.5,24.9,22.76344086021505,60.39,86.3,74.65493279569893,1,354,151.18145161290323,0.5,6.300000000000001,3.0786290322580645,25.5,29.700000000000003,27.71384408602151,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,67.0,77.0,72.97419354838709,78.0,85.0,81.88491935483873,1.6,20.7,10.100489274193547
10,11,38086,140462,25159,158274,0,11,1.0,19.0,24.700000000000003,22.435972222222222,61.68,86.54,76.91051388888889,11,346,74.1875,0.4,9.8,6.097083333333334,24.6,29.0,26.859583333333337,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,66.0,76.0,72.38475,76.0,84.0,80.34725,1.3,32.2,20.003554883333337
11,12,33376,133571,23260,150842,0,11,1.0,18.4,23.200000000000003,21.61411290322581,59.41,84.99,76.59979838709677,0,356,85.40456989247312,0.9,9.9,4.903494623655915,24.4,27.9,26.07943548387097,2020,Hawaii,Honolulu,United States,21.3099,-157.8582,65.0,74.0,70.90540322580645,76.0,82.0,78.94298387096774,3.0,32.5,16.08758130107527
