,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,40530,123858,24326,162591,0,8,1.0,15.2,21.5,19.125806451612902,55.63,83.91,72.5403629032258,2,360,99.46236559139786,0.9,9.6,4.849193548387097,21.700000000000003,26.4,24.43467741935484,2019,Hawaii,Kailua,United States,21.3975,-157.7394,59.0,71.0,66.42645161290324,71.0,80.0,75.98241935483873,3.0,31.5,15.909428161290323
1,2,45481,123293,25666,169950,0,8,2.0,13.4,21.3,18.32916666666667,60.13,86.54,75.68982142857142,0,359,123.5967261904762,0.7000000000000001,11.4,5.532886904761905,20.1,25.3,22.886755952380952,2019,Hawaii,Kailua,United States,21.3975,-157.7394,56.0,70.0,64.9925,68.0,78.0,73.19616071428572,2.3,37.4,18.152516672619047
2,3,63994,168615,30665,219359,0,8,2.0,13.8,21.0,18.39610215053764,59.96,86.09,73.14236559139785,4,357,87.52822580645162,1.1,9.6,5.358870967741935,20.4,25.5,23.526478494623657,2019,Hawaii,Kailua,United States,21.3975,-157.7394,57.0,70.0,65.11298387096775,69.0,78.0,74.34766129032258,3.6,31.5,17.58159822580645
3,4,62779,186969,33941,231121,0,8,1.0,17.6,22.1,20.490277777777777,62.39,86.05,76.5495,8,351,79.65416666666667,0.8,9.5,5.598055555555556,23.0,26.700000000000003,24.93416666666667,2019,Hawaii,Kailua,United States,21.3975,-157.7394,64.0,72.0,68.8825,73.0,80.0,76.88150000000002,2.6,31.2,18.36632458888889
4,5,66402,196619,32712,249503,0,8,1.0,15.5,23.700000000000003,21.45241935483871,57.35,87.81,75.91153225806451,2,357,92.56720430107526,0.8,7.800000000000001,4.513978494623656,22.200000000000003,28.6,26.08844086021505,2019,Hawaii,Kailua,United States,21.3975,-157.7394,60.0,75.0,70.61435483870969,72.0,83.0,78.95919354838709,2.6,25.6,14.809641204301077
5,6,66804,186789,32490,241108,0,9,2.0,20.1,24.700000000000003,22.61513888888889,61.9,91.13,76.01023611111111,22,233,87.53333333333333,0.8,8.5,4.8012500000000005,25.6,29.4,27.26027777777778,2019,Hawaii,Kailua,United States,21.3975,-157.7394,68.0,76.0,72.70725,78.0,85.0,81.0685,2.6,27.9,15.75213305
6,7,52030,217228,32713,247237,0,8,1.0,21.9,25.4,23.324596774193548,65.27,87.07000000000001,75.76822580645161,33,97,75.40053763440861,1.5,9.1,6.402284946236559,26.700000000000003,29.6,28.031182795698925,2019,Hawaii,Kailua,United States,21.3975,-157.7394,71.0,78.0,73.98427419354839,80.0,85.0,82.45612903225808,4.9,29.9,21.00487254301075
7,8,62380,199571,31414,238724,0,8,2.0,21.0,25.700000000000003,23.98897849462365,60.54,88.06,76.97646505376343,5,354,75.5725806451613,0.6000000000000001,9.0,5.459811827956989,27.1,30.200000000000003,28.45483870967742,2019,Hawaii,Kailua,United States,21.3975,-157.7394,70.0,78.0,75.18016129032257,81.0,86.0,83.21870967741935,2.0,29.5,17.91276903763441
8,9,63830,166680,28537,212872,0,8,2.0,22.200000000000003,25.8,24.058611111111112,63.3,86.5,76.75652777777779,38,236,77.11805555555556,0.7000000000000001,9.4,5.773333333333333,27.3,30.1,28.56833333333333,2019,Hawaii,Kailua,United States,21.3975,-157.7394,72.0,78.0,75.3055,81.0,86.0,83.423,2.3,30.8,18.941382933333333
9,10,47628,157344,27267,192771,0,9,1.0,21.0,26.200000000000003,23.2989247311828,61.53,88.3,75.89575268817205,4,356,88.70430107526882,0.3,8.8,5.122043010752688,26.3,29.8,27.975403225806453,2019,Hawaii,Kailua,United States,21.3975,-157.7394,70.0,79.0,73.93806451612905,79.0,86.0,82.35572580645162,1.0,28.9,16.80460359139785
10,11,44338,120780,23650,158810,0,8,2.0,18.1,24.3,22.505277777777778,53.44,87.45,75.47147222222222,1,357,109.93888888888888,0.4,10.1,4.477916666666666,25.9,28.8,27.270972222222227,2019,Hawaii,Kailua,United States,21.3975,-157.7394,65.0,76.0,72.5095,79.0,84.0,81.08775,1.3,33.1,14.691328116666666
11,12,42672,108317,24698,149124,0,8,2.0,19.5,25.0,21.87903225806452,63.03,91.67,77.75607526881721,1,355,87.1263440860215,0.4,11.3,6.062231182795699,24.5,27.9,26.09784946236559,2019,Hawaii,Kailua,United States,21.3975,-157.7394,67.0,77.0,71.38225806451614,76.0,82.0,78.97612903225806,1.3,37.1,19.88921055376344
