,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,41769,103990,26665,159216,0,8,2.0,16.7,23.1,20.541397849462367,57.23,88.14,76.54883064516129,2,355,87.49327956989248,0.5,11.3,6.093548387096774,23.200000000000003,26.6,24.99610215053764,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,62.0,74.0,68.97451612903225,74.0,80.0,76.99298387096775,1.6,37.1,19.99195729032258
1,2,42534,126425,24821,169958,0,8,1.0,14.6,23.200000000000003,19.352083333333333,59.71,87.68,74.43361607142857,2,358,119.0297619047619,0.6000000000000001,11.4,6.472023809523809,21.3,26.9,24.22529761904762,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,58.0,74.0,66.83375000000001,70.0,80.0,75.60553571428571,2.0,37.4,21.23367459523809
2,3,67627,123962,33343,215220,0,8,4.0,16.6,22.8,20.087365591397848,63.06,91.47,77.71612903225807,5,354,88.53763440860214,0.4,10.8,5.644489247311828,22.8,26.3,24.26854838709677,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,62.0,73.0,68.15725806451613,73.0,79.0,75.6833870967742,1.3,35.4,18.518666102150537
3,4,68163,171786,33115,231012,0,8,2.0,18.2,22.4,20.42763888888889,62.36,85.08,75.40111111111112,5,351,113.16805555555555,0.5,8.9,4.232083333333334,23.1,26.700000000000003,25.119027777777777,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,65.0,72.0,68.76975,74.0,80.0,77.21424999999999,1.6,29.2,13.884788283333334
4,5,62602,197139,33721,250323,0,7,1.0,19.3,22.700000000000003,21.05779569892473,65.16,85.03,75.61860215053763,7,99,67.01747311827957,0.8,8.6,5.747715053763441,23.9,27.6,25.7244623655914,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,67.0,73.0,69.90403225806452,75.0,82.0,78.30403225806452,2.6,28.2,18.85733345698925
5,6,66221,194855,33420,242940,0,8,1.0,19.8,23.8,21.98041666666667,62.46,86.13,75.5916388888889,44,99,76.37222222222222,3.4000000000000004,8.8,6.254305555555556,25.4,28.5,26.686527777777776,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,68.0,75.0,71.56475,78.0,83.0,80.03575000000001,11.2,28.9,20.51937583888889
6,7,67249,194010,34257,248124,0,11,1.0,20.700000000000003,25.1,22.503629032258065,64.05,88.56,75.48833333333333,11,351,73.00672043010752,3.0,10.2,6.30255376344086,25.8,29.0,27.251344086021504,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,69.0,77.0,72.50653225806451,78.0,84.0,81.05241935483872,9.8,33.5,20.677670489247312
7,8,58503,196307,30508,241375,0,8,1.0,20.1,24.6,22.65241935483872,59.18,88.18,75.20869623655915,49,87,72.15322580645162,3.8,8.6,6.361827956989247,26.0,29.3,27.480376344086025,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,68.0,76.0,72.77435483870968,79.0,85.0,81.46467741935484,12.5,28.2,20.8721396344086
8,9,40992,196528,26168,216489,0,8,1.0,20.3,24.4,22.45013888888889,59.11,84.31,73.77776388888888,27,95,71.08055555555555,2.3000000000000003,7.9,5.709305555555555,26.1,29.200000000000003,27.60277777777777,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,69.0,76.0,72.41025,79.0,85.0,81.685,7.5,25.9,18.731318038888887
9,10,51544,143538,25264,192444,0,8,2.0,19.4,24.9,22.688037634408605,58.81,86.66,74.28849462365591,0,350,138.41801075268816,0.4,6.5,3.1123655913978494,25.4,29.6,27.723655913978497,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,67.0,77.0,72.83846774193549,78.0,85.0,81.9025806451613,1.3,21.3,10.21117352688172
10,11,42196,117931,25207,157997,0,8,1.0,19.200000000000003,24.700000000000003,22.378055555555555,62.04,86.53,76.95854166666666,23,343,74.10277777777777,0.4,10.0,6.312083333333333,24.4,28.9,26.785,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,67.0,76.0,72.2805,76.0,84.0,80.213,1.3,32.8,20.70893548333333
11,12,36186,114653,23339,150519,0,8,1.0,18.8,23.200000000000003,21.604166666666668,61.3,85.44,76.88,7,360,76.65591397849462,0.6000000000000001,10.2,5.111155913978495,24.200000000000003,27.9,26.00712365591398,2020,Hawaii,Kaneohe,United States,21.4092,-157.7992,66.0,74.0,70.8875,76.0,82.0,78.81282258064516,2.0,33.5,16.768884768817205
