,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,39944,138467,24159,162739,0,8,1.0,17.400000000000002,22.3,19.77782258064516,61.59,87.93,76.80100806451614,1,351,105.1787634408602,0.7000000000000001,10.2,4.820564516129032,22.4,25.9,24.15120967741936,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,63.0,72.0,67.60008064516128,72.0,79.0,75.47217741935485,2.3,33.5,15.815500887096771
1,2,47045,121341,25476,168474,0,9,3.0,15.1,23.6,19.887351190476192,54.75,94.73,80.19144345238095,0,359,137.88541666666666,0.4,8.3,3.722470238095238,20.700000000000003,25.9,23.56860119047619,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,59.0,74.0,67.79723214285715,69.0,79.0,74.42348214285715,1.3,27.2,12.21282925595238
2,3,67839,158542,31807,216119,0,8,4.0,14.9,22.9,19.45094086021505,61.28,93.59,78.64275537634408,8,356,112.99462365591398,0.4,8.200000000000001,4.480107526881721,20.8,26.700000000000003,23.42956989247312,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,59.0,73.0,67.01169354838709,69.0,80.0,74.17322580645161,1.3,26.9,14.698515978494624
3,4,79639,168995,35815,228410,0,8,4.0,13.2,24.4,21.04388888888889,51.07,93.61,81.67455555555556,2,355,118.04861111111111,0.3,9.2,5.511527777777778,20.8,26.8,24.441388888888888,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,56.0,76.0,69.879,69.0,80.0,75.9945,1.0,30.2,18.082440794444445
4,5,85372,187116,38515,247226,0,8,4.0,17.0,23.8,20.98736559139785,62.72,91.69,78.8690994623656,1,359,66.27553763440861,0.9,8.5,5.458064516129032,22.0,27.3,24.94771505376344,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,63.0,75.0,69.77725806451613,72.0,81.0,76.9058870967742,3.0,27.9,17.907036387096774
5,6,68667,202501,35039,242107,0,8,1.0,18.4,23.8,21.872222222222224,54.54,90.15,76.80976388888888,34,91,68.33611111111111,1.2000000000000002,8.8,5.69375,24.200000000000003,28.9,26.32819444444444,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,65.0,75.0,71.37,76.0,84.0,79.39075,3.9,28.9,18.68028275
6,7,82615,195486,35519,246477,0,8,3.0,21.0,24.9,22.87755376344086,67.01,90.24,79.20700268817204,51,86,68.04032258064517,3.5,8.3,6.396908602150538,25.1,29.0,26.81881720430108,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,70.0,77.0,73.17959677419356,77.0,84.0,80.27387096774194,11.5,27.2,20.98723361827957
7,8,75837,181270,34435,237731,0,9,3.0,21.0,25.8,23.196236559139784,65.1,91.03,78.87645161290322,47,90,65.55376344086021,3.3000000000000003,10.4,6.7375,25.6,29.700000000000003,27.22956989247312,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,70.0,78.0,73.75322580645161,78.0,85.0,81.01322580645162,10.8,34.1,22.1046595
8,9,55076,177672,28629,214169,0,9,2.0,20.8,25.6,23.37166666666667,63.61,92.24,79.46522222222222,12,349,76.1875,0.7000000000000001,10.8,4.778333333333333,25.0,29.3,27.288888888888888,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,69.0,78.0,74.06900000000002,77.0,85.0,81.12,2.3,35.4,15.676947133333334
9,10,56804,148825,26792,193727,0,9,3.0,21.200000000000003,25.6,23.07029569892473,64.03,92.63,79.97915322580644,5,357,81.27822580645162,0.5,7.1000000000000005,4.350940860215054,25.0,29.200000000000003,26.853897849462363,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,70.0,78.0,73.52653225806452,77.0,85.0,80.33701612903226,1.6,23.3,14.27474081182796
10,11,44338,132560,24548,161155,0,8,2.0,18.4,24.4,21.75375,61.07,89.13,78.22090277777778,7,350,71.88888888888889,0.6000000000000001,8.1,4.92,23.9,28.0,25.87763888888889,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,65.0,76.0,71.15675,75.0,82.0,78.57975,2.0,26.6,16.1417328
11,12,33670,135440,24282,153167,0,8,1.0,17.5,22.700000000000003,20.388172043010755,64.4,91.28,77.53102150537634,0,358,74.27688172043011,0.9,9.6,6.114247311827957,22.6,26.6,24.621908602150537,2018,Hawaii,Kapolei,United States,21.3347,-158.0808,64.0,73.0,68.69870967741936,73.0,80.0,76.31943548387096,3.0,31.5,20.059867150537634
