,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23878,58243,19082,88349,0,9,4.0,-39.1,8.700000000000001,-10.793145161290322,53.21,100.0,82.90826612903226,1,358,197.5349462365592,0.5,10.4,3.9358870967741937,-34.2,8.9,-8.356317204301076,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,-38.0,48.0,12.572338709677418,-30.0,48.0,16.958629032258063,1.6,34.1,12.913015822580643
1,2,32137,79623,26724,113797,0,9,5.0,-25.0,8.3,-9.602678571428571,55.13,100.0,84.82758928571428,1,358,182.4122023809524,0.4,11.2,4.039434523809524,-22.3,8.3,-7.451636904761905,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,-13.0,47.0,14.71517857142857,-8.0,47.0,18.58705357142857,1.3,36.7,13.252738363095238
2,3,47758,130063,33129,175642,0,9,4.0,-28.6,12.5,-3.2455645161290327,41.63,100.0,82.37595430107527,4,359,212.20698924731184,0.4,8.8,3.673790322580645,-25.6,17.2,-0.3962365591397849,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,-19.0,54.0,26.15798387096774,-14.0,63.0,31.286774193548386,1.3,28.9,12.053118241935485
3,4,54303,124840,43803,207683,0,9,4.0,-4.2,19.1,5.858194444444444,40.56,100.0,80.99958333333333,2,359,179.83194444444445,0.3,9.8,3.962222222222223,-2.9000000000000004,25.3,9.309722222222222,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,24.0,66.0,42.54475,27.0,78.0,48.7575,1.0,32.2,12.999417155555555
4,5,66258,144026,49910,245902,0,9,4.0,2.3000000000000003,23.9,11.615322580645165,49.91,100.0,83.91879032258065,2,357,186.869623655914,0.4,10.2,3.022715053763441,2.6,27.5,14.539516129032258,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,36.0,75.0,52.907580645161296,37.0,82.0,58.17112903225807,1.3,33.5,9.917044456989249
5,6,71764,170117,47462,249262,0,9,4.0,6.9,27.3,17.676111111111112,47.64,100.0,84.20391666666667,2,359,181.01388888888889,0.4,7.2,2.3466666666666667,8.9,31.1,20.697777777777777,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,44.0,81.0,63.81700000000001,48.0,88.0,69.256,1.3,23.6,7.699037866666667
6,7,67323,209745,43121,249514,0,9,2.0,12.4,28.3,21.13790322580645,55.64,100.0,84.25842741935485,2,357,188.8521505376344,0.1,5.5,2.3650537634408604,13.6,31.9,24.16733870967742,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,54.0,83.0,70.04822580645161,56.0,89.0,75.50120967741935,0.3,18.0,7.759362989247312
7,8,56354,170606,38286,222778,0,9,3.0,10.1,25.3,17.77177419354839,52.44,100.0,81.71220430107526,2,356,177.67876344086022,0.2,5.9,2.114381720430108,12.0,29.4,21.275806451612905,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,50.0,78.0,63.9891935483871,54.0,85.0,70.29645161290323,0.7,19.4,6.936948123655915
8,9,45983,114682,33456,171095,0,9,3.0,8.1,25.3,17.94388888888889,43.5,100.0,85.95765277777778,5,359,191.0861111111111,0.3,5.7,2.8409722222222222,8.700000000000001,29.5,20.612916666666667,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,47.0,78.0,64.299,48.0,85.0,69.10325,1.0,18.7,9.320775305555555
9,10,33109,84413,23543,135436,0,9,3.0,-6.7,24.200000000000003,4.741129032258065,41.7,100.0,80.85071236559139,1,358,221.7271505376344,0.4,9.0,3.251344086021505,-4.5,26.0,8.147715053763442,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,20.0,76.0,40.534032258064514,24.0,79.0,46.6658870967742,1.3,29.5,10.667139731182797
10,11,26101,56563,18214,91310,0,9,4.0,-18.7,10.7,-2.7084722222222224,43.81,100.0,83.87665277777778,0,359,215.2111111111111,0.3,10.4,3.136805555555556,-15.7,10.9,-0.1270833333333333,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,-2.0,51.0,27.12475,4.0,52.0,31.77125,1.0,34.1,10.291357138888891
11,12,18842,49439,15786,74751,0,8,4.0,-19.5,11.4,-3.490725806451613,42.23,100.0,85.21881720430108,3,356,229.68413978494624,0.3,9.2,3.411962365591398,-13.7,12.0,-1.1938172043010753,2019,Iowa,Cedar Rapids,United States,41.9831,-91.6686,-3.0,53.0,25.7166935483871,7.0,54.0,29.851129032258065,1.0,30.2,11.19410260752688
