,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26507,49928,20572,88293,0,9,4.0,-21.1,8.4,-5.678091397849462,45.39,100.0,85.27068548387096,2,357,207.9650537634409,0.4,10.4,3.49502688172043,-17.7,9.9,-3.481048387096774,2020,Iowa,Davenport,United States,41.5431,-90.5908,-6.0,47.0,21.77943548387097,0.0,50.0,25.734112903225807,1.3,34.1,11.466623994623657
1,2,27058,78310,21571,113543,0,9,4.0,-22.700000000000003,5.800000000000001,-5.932886904761905,43.75,100.0,78.8821875,1,360,201.7827380952381,0.6000000000000001,8.0,3.6666666666666665,-19.3,11.8,-2.5950892857142858,2020,Iowa,Davenport,United States,41.5431,-90.5908,-9.0,42.0,21.32080357142857,-3.0,53.0,27.328839285714285,2.0,26.2,12.029746666666666
2,3,37898,92819,31716,173198,0,9,3.0,-6.800000000000001,18.4,1.436290322580645,36.08,100.0,80.74771505376344,4,357,184.54166666666663,0.5,10.6,3.755779569892473,-4.5,20.5,4.818010752688172,2020,Iowa,Davenport,United States,41.5431,-90.5908,20.0,65.0,34.58532258064516,24.0,69.0,40.67241935483871,1.6,34.8,12.322111844086022
3,4,56820,147460,44815,211642,0,9,3.0,-8.6,18.9,4.185694444444445,33.4,100.0,75.09956944444444,4,358,211.88611111111112,0.3,9.2,3.673611111111111,-5.1000000000000005,25.200000000000003,8.8625,2020,Iowa,Davenport,United States,41.5431,-90.5908,17.0,66.0,39.53425,23.0,77.0,47.9525,1.0,30.2,12.05253027777778
4,5,71136,155919,45605,249764,0,9,3.0,-4.6000000000000005,23.200000000000003,11.060887096774191,36.13,100.0,79.0525,5,358,190.06989247311827,0.5,8.3,3.163709677419355,-0.3,29.0,15.118817204301076,2020,Iowa,Davenport,United States,41.5431,-90.5908,24.0,74.0,51.909596774193545,31.0,84.0,59.21387096774194,1.6,27.2,10.379625258064516
5,6,64479,194957,45566,250160,0,9,3.0,7.300000000000001,25.200000000000003,17.97833333333333,41.54,100.0,79.3050138888889,9,359,189.05416666666667,0.2,9.0,2.7169444444444446,10.4,30.700000000000003,22.101944444444445,2020,Iowa,Davenport,United States,41.5431,-90.5908,45.0,77.0,64.36099999999999,51.0,87.0,71.7835,0.7,29.5,8.913860011111112
6,7,63503,199975,44351,248768,0,9,2.0,15.3,25.700000000000003,20.94287634408602,46.24,100.0,78.96766129032258,2,359,173.91263440860214,0.2,7.6,2.2252688172043014,15.3,34.0,25.169758064516127,2020,Iowa,Davenport,United States,41.5431,-90.5908,60.0,78.0,69.69717741935483,60.0,93.0,77.30556451612904,0.7,24.9,7.30075094623656
7,8,54275,193027,39806,222300,0,9,1.0,8.4,24.5,16.253763440860215,24.71,100.0,65.74701612903226,1,358,187.2231182795699,0.2,4.800000000000001,2.2614247311827955,13.7,36.8,24.025,2020,Iowa,Davenport,United States,41.5431,-90.5908,47.0,76.0,61.25677419354839,57.0,98.0,75.245,0.7,15.7,7.419372715053763
8,9,44690,124785,43439,168921,0,9,2.0,3.7,23.0,12.608055555555554,20.93,100.0,76.83315277777778,0,359,181.82916666666668,0.7000000000000001,7.6,2.92125,5.6000000000000005,32.7,17.424166666666665,2020,Iowa,Davenport,United States,41.5431,-90.5908,39.0,73.0,54.6945,42.0,91.0,63.3635,2.3,24.9,9.58415385
9,10,30624,88449,26661,133207,0,9,3.0,-7.0,20.5,3.693951612903226,24.91,100.0,72.41393817204302,2,359,192.13844086021504,0.2,8.200000000000001,3.135349462365592,-3.5,27.1,8.978360215053764,2020,Iowa,Davenport,United States,41.5431,-90.5908,19.0,69.0,38.649112903225806,26.0,81.0,48.16104838709677,0.7,26.9,10.28657993010753
10,11,20270,67626,17511,91132,0,8,2.0,-10.2,17.900000000000002,2.024583333333333,28.46,100.0,77.17283333333333,5,356,224.92916666666667,0.3,10.2,3.6175,-5.7,23.8,6.164583333333334,2020,Iowa,Davenport,United States,41.5431,-90.5908,14.0,64.0,35.64425,22.0,75.0,43.09625,1.0,33.5,11.8684387
11,12,17937,55410,15872,77397,0,9,3.0,-19.700000000000003,7.7,-4.775806451612904,45.38,100.0,81.56663978494623,4,360,217.45698924731184,0.3,9.8,3.1100806451612906,-14.1,12.4,-1.863978494623656,2020,Iowa,Davenport,United States,41.5431,-90.5908,-3.0,46.0,23.403548387096773,7.0,54.0,28.64483870967742,1.0,32.2,10.203676983870968
