,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22764,64297,18257,90040,0,9,4.0,-38.6,8.200000000000001,-9.706854838709678,49.370000000000005,100.0,81.85290322580644,1,359,201.8575268817204,0.2,9.7,3.873118279569893,-33.300000000000004,10.1,-7.0569892473118285,2019,Iowa,Des Moines,United States,41.5908,-93.6208,-37.0,47.0,14.52766129032258,-28.0,50.0,19.29741935483871,0.7,31.8,12.707081376344089
1,2,30435,77309,25216,115509,0,9,4.0,-26.5,10.8,-10.057738095238095,48.44,100.0,83.18412202380952,2,357,190.1205357142857,0.3,10.7,3.9282738095238097,-23.6,11.6,-7.641964285714287,2019,Iowa,Des Moines,United States,41.5908,-93.6208,-16.0,51.0,13.896071428571428,-10.0,53.0,18.244464285714283,1.0,35.1,12.888037845238095
2,3,44699,122753,32737,176387,0,9,4.0,-26.8,13.4,-2.839784946236559,43.12,100.0,81.917311827957,2,358,209.2701612903226,0.3,9.7,3.6579301075268815,-23.8,19.200000000000003,0.1497311827956989,2019,Iowa,Des Moines,United States,41.5908,-93.6208,-16.0,56.0,26.888387096774192,-11.0,67.0,32.269516129032255,1.0,31.8,12.001083413978494
3,4,53597,135370,44497,208301,0,9,4.0,-4.0,17.8,6.19361111111111,35.72,100.0,77.94108333333334,1,359,181.59722222222223,0.6000000000000001,9.3,3.9308333333333336,-2.3000000000000003,26.200000000000003,10.32375,2019,Iowa,Des Moines,United States,41.5908,-93.6208,25.0,64.0,43.1485,28.0,79.0,50.58275,2.0,30.5,12.896435233333332
4,5,63058,150230,50276,246014,0,9,4.0,1.2000000000000002,23.1,11.60766129032258,44.09,100.0,81.9899193548387,2,359,182.44086021505376,0.1,8.700000000000001,3.003225806451613,2.6,29.1,14.967473118279573,2019,Iowa,Des Moines,United States,41.5908,-93.6208,34.0,74.0,52.89379032258064,37.0,84.0,58.94145161290324,0.3,28.5,9.85310335483871
5,6,72593,179572,47330,249241,0,9,4.0,6.6000000000000005,27.6,18.160694444444445,42.6,100.0,83.09705555555556,7,355,186.3736111111111,0.2,6.9,2.416527777777778,8.5,31.5,21.443194444444444,2019,Iowa,Des Moines,United States,41.5908,-93.6208,44.0,82.0,64.68925,47.0,89.0,70.59774999999999,0.7,22.6,7.928240994444446
6,7,68287,196784,44084,249210,0,9,3.0,12.3,28.3,21.241397849462366,55.79,100.0,83.6649059139785,1,358,183.8185483870968,0.3,5.6000000000000005,2.4951612903225806,13.6,32.2,24.3864247311828,2019,Iowa,Des Moines,United States,41.5908,-93.6208,54.0,83.0,70.23451612903226,56.0,90.0,75.89556451612904,1.0,18.4,8.186224967741936
7,8,57197,170805,40884,221421,0,9,3.0,8.6,26.8,18.11424731182796,47.27,100.0,79.78130376344086,2,358,171.46236559139786,0.2,5.800000000000001,2.2057795698924734,12.0,29.8,22.06666666666667,2019,Iowa,Des Moines,United States,41.5908,-93.6208,47.0,80.0,64.60564516129033,54.0,86.0,71.72,0.7,19.0,7.2368098440860225
8,9,43411,118018,34742,171218,0,9,3.0,7.6,25.3,18.56416666666667,41.42,100.0,83.71751388888889,1,356,188.48888888888888,0.4,6.7,2.9451388888888888,9.2,30.8,21.74375,2019,Iowa,Des Moines,United States,41.5908,-93.6208,46.0,78.0,65.41550000000001,49.0,87.0,71.13875,1.3,22.0,9.66252947222222
9,10,32612,91429,22266,137323,0,9,3.0,-8.0,24.5,4.363709677419354,39.18,100.0,77.74842741935484,1,359,228.9516129032258,0.3,9.5,3.311962365591398,-4.2,25.5,8.41008064516129,2019,Iowa,Des Moines,United States,41.5908,-93.6208,18.0,76.0,39.85467741935484,24.0,78.0,47.138145161290325,1.0,31.2,10.866018607526884
10,11,23103,61008,16996,93192,0,8,4.0,-19.1,12.5,-2.2718055555555554,40.73,100.0,81.75888888888889,1,358,215.25972222222225,0.3,9.1,3.268333333333333,-13.7,13.9,0.7284722222222222,2019,Iowa,Des Moines,United States,41.5908,-93.6208,-2.0,54.0,27.91075,7.0,57.0,33.31125,1.0,29.9,10.722878733333332
11,12,20938,51052,15244,76995,0,9,4.0,-15.7,9.3,-3.158064516129032,48.19,100.0,84.40787634408602,1,358,227.5510752688172,0.2,9.0,3.5114247311827955,-11.1,13.8,-0.7123655913978495,2019,Iowa,Des Moines,United States,41.5908,-93.6208,4.0,49.0,26.315483870967743,12.0,57.0,30.717741935483872,0.7,29.5,11.520422715053762
