,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22388,63252,17093,86218,0,9,4.0,-28.9,4.4,-10.446774193548388,44.36,100.0,78.36154569892473,0,359,219.6397849462365,0.5,10.8,3.929301075268817,-26.200000000000003,7.800000000000001,-7.188575268817204,2018,Iowa,Sioux City,United States,42.4981,-96.3956,-20.0,40.0,13.195806451612905,-15.0,46.0,19.060564516129038,1.6,35.4,12.891408139784946
1,2,29654,86912,21778,113629,0,8,4.0,-23.200000000000003,3.7,-10.89375,36.19,100.0,74.23102678571429,1,357,212.0803571428572,0.4,12.8,3.6873511904761904,-19.1,11.0,-6.852083333333334,2018,Iowa,Sioux City,United States,42.4981,-96.3956,-10.0,39.0,12.39125,-2.0,52.0,19.66625,1.3,42.0,12.097609279761905
2,3,43902,117345,34431,172391,0,9,4.0,-13.7,7.300000000000001,-2.490188172043011,34.19,100.0,74.3663306451613,2,358,196.5201612903226,0.4,10.6,4.226612903225806,-7.1000000000000005,16.8,2.032795698924731,2018,Iowa,Sioux City,United States,42.4981,-96.3956,7.0,45.0,27.51766129032258,19.0,62.0,35.659032258064514,1.3,34.8,13.866840677419354
3,4,55637,149603,46590,212812,0,9,3.0,-18.0,13.7,-1.4205555555555556,29.67,100.0,68.42165277777778,0,358,182.63194444444449,0.4,10.4,4.147083333333334,-10.5,27.9,4.544305555555556,2018,Iowa,Sioux City,United States,42.4981,-96.3956,-0.0,57.0,29.443,13.0,82.0,40.17975,1.3,34.1,13.605916883333334
4,5,60247,169289,49223,243879,0,9,3.0,5.2,22.700000000000003,13.471908602150538,26.61,100.0,72.96608870967742,2,357,171.01478494623657,0.1,6.300000000000001,2.782795698924731,7.1000000000000005,35.0,19.12311827956989,2018,Iowa,Sioux City,United States,42.4981,-96.3956,41.0,73.0,56.24943548387097,45.0,95.0,66.4216129032258,0.3,20.7,9.129907440860215
5,6,69091,169672,48434,247347,0,9,4.0,6.2,27.5,18.663055555555555,30.44,100.0,77.13656944444445,5,357,172.2763888888889,0.3,7.4,3.21875,12.1,35.4,23.36958333333333,2018,Iowa,Sioux City,United States,42.4981,-96.3956,43.0,82.0,65.5935,54.0,96.0,74.06524999999999,1.0,24.3,10.56020375
6,7,56432,220836,43086,250894,0,9,2.0,11.9,25.700000000000003,18.406451612903226,43.37,100.0,76.79043010752689,2,357,176.875,0.3,6.4,2.301478494623656,12.4,32.5,23.022311827957,2018,Iowa,Sioux City,United States,42.4981,-96.3956,53.0,78.0,65.1316129032258,54.0,90.0,73.4401612903226,1.0,21.0,7.550782704301076
7,8,59173,166451,53608,213895,0,9,2.0,9.1,24.4,17.919220430107526,41.74,100.0,76.89662634408603,0,359,180.2970430107527,0.2,6.1000000000000005,2.4106182795698925,9.9,33.1,22.608467741935485,2018,Iowa,Sioux City,United States,42.4981,-96.3956,48.0,76.0,64.25459677419354,50.0,92.0,72.69524193548386,0.7,20.0,7.908852876344086
8,9,42121,113555,31142,172051,0,9,3.0,0.4,24.3,14.627638888888889,38.68,100.0,80.14633333333333,4,355,172.52916666666667,0.3,7.1000000000000005,3.0606944444444446,4.0,32.6,18.474722222222223,2018,Iowa,Sioux City,United States,42.4981,-96.3956,33.0,76.0,58.32975,39.0,91.0,65.25450000000001,1.0,23.3,10.041648761111112
9,10,28216,82910,21143,132929,0,9,3.0,-6.4,21.6,3.861424731182796,34.39,100.0,77.63439516129031,2,359,209.5766129032258,0.3,8.6,3.05752688172043,-4.800000000000001,29.200000000000003,7.949193548387097,2018,Iowa,Sioux City,United States,42.4981,-96.3956,20.0,71.0,38.95056451612904,23.0,85.0,46.30854838709678,1.0,28.2,10.031256494623657
10,11,22275,50874,17366,89447,0,9,4.0,-17.0,6.300000000000001,-4.461111111111111,37.45,100.0,79.01729166666667,2,359,223.38333333333333,0.3,7.9,3.335833333333333,-12.8,14.3,-1.04,2018,Iowa,Sioux City,United States,42.4981,-96.3956,1.0,43.0,23.97,9.0,58.0,30.128,1.0,25.9,10.944335433333332
11,12,19142,55711,15799,74486,0,9,3.0,-28.1,2.5,-6.25739247311828,55.47,100.0,88.40493279569893,1,359,236.8897849462365,0.3,9.5,3.244220430107528,-25.5,5.0,-4.585349462365591,2018,Iowa,Sioux City,United States,42.4981,-96.3956,-19.0,36.0,20.73669354838709,-14.0,41.0,23.74637096774193,1.0,31.2,10.643768155913982
