,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23735,60010,18506,86687,0,9,4.0,-39.1,6.300000000000001,-11.284408602150538,51.96,100.0,81.48567204301075,0,357,205.4731182795699,0.3,11.0,4.066129032258065,-33.9,6.7,-8.627284946236559,2019,Iowa,Waterloo,United States,42.4924,-92.3462,-38.0,43.0,11.688064516129032,-29.0,44.0,16.47088709677419,1.0,36.1,13.340318774193548
1,2,31342,76594,26010,112295,0,9,5.0,-25.0,7.1000000000000005,-10.940178571428572,54.14,100.0,84.06577380952382,2,359,189.9196428571429,0.2,11.3,4.098214285714286,-22.1,7.1000000000000005,-8.698958333333334,2019,Iowa,Waterloo,United States,42.4924,-92.3462,-13.0,45.0,12.307678571428571,-8.0,45.0,16.341875,0.7,37.1,13.445585357142855
2,3,46491,129950,33677,174726,0,9,4.0,-28.200000000000003,11.6,-3.936290322580645,46.37,100.0,82.40502688172043,1,358,215.88844086021504,0.3,9.0,3.720564516129033,-25.1,17.7,-1.102016129032258,2019,Iowa,Waterloo,United States,42.4924,-92.3462,-19.0,53.0,24.91467741935484,-13.0,64.0,30.01637096774193,1.0,29.5,12.206576887096777
3,4,51112,122393,43525,207302,0,9,4.0,-4.0,18.6,5.358888888888889,41.66,100.0,80.834875,2,359,183.19027777777777,0.4,9.8,4.040555555555556,-2.2,25.700000000000003,8.811250000000001,2019,Iowa,Waterloo,United States,42.4924,-92.3462,25.0,65.0,41.646,28.0,78.0,47.86025,1.3,32.2,13.25641628888889
4,5,64777,149822,48682,246811,0,9,4.0,1.5,23.3,10.658736559139786,48.71,100.0,82.63733870967742,2,358,187.1048387096774,0.2,9.5,3.23494623655914,2.2,28.0,13.818548387096774,2019,Iowa,Waterloo,United States,42.4924,-92.3462,35.0,74.0,51.185725806451615,36.0,82.0,56.8733870967742,0.7,31.2,10.61334101075269
5,6,73086,165394,46887,249700,0,9,4.0,6.6000000000000005,27.200000000000003,17.28902777777778,45.17,100.0,83.64727777777777,1,358,187.98472222222225,0.4,6.800000000000001,2.403194444444445,8.4,31.3,20.42513888888889,2019,Iowa,Waterloo,United States,42.4924,-92.3462,44.0,81.0,63.12025,47.0,88.0,68.76525000000001,1.3,22.3,7.884496461111112
6,7,66440,196624,42764,249471,0,9,3.0,12.3,28.4,20.96451612903226,55.31,100.0,84.79966397849462,0,358,183.9435483870968,0.3,6.0,2.415322580645161,13.3,31.200000000000003,23.866666666666667,2019,Iowa,Waterloo,United States,42.4924,-92.3462,54.0,83.0,69.73612903225806,56.0,88.0,74.96000000000001,1.0,19.7,7.92428693548387
7,8,55360,173110,37222,222609,0,9,3.0,10.1,25.4,17.443817204301077,51.29,100.0,82.04295698924732,2,358,188.4798387096774,0.3,6.4,2.156989247311828,10.9,29.0,20.85806451612904,2019,Iowa,Waterloo,United States,42.4924,-92.3462,50.0,78.0,63.39887096774194,52.0,84.0,69.54451612903227,1.0,21.0,7.076736602150539
8,9,43455,111341,32912,170275,0,9,3.0,7.4,25.0,17.67625,45.87,100.0,86.66361111111111,0,357,195.3958333333333,0.5,6.2,2.938333333333333,8.5,29.1,20.17875,2019,Iowa,Waterloo,United States,42.4924,-92.3462,45.0,77.0,63.81725,47.0,84.0,68.32175000000001,1.6,20.3,9.640201533333332
9,10,32226,80155,22929,133843,0,9,3.0,-7.7,22.6,4.108602150537634,43.63,100.0,80.96334677419355,4,356,223.81182795698925,0.3,9.5,3.3513440860215056,-4.800000000000001,22.9,7.461290322580645,2019,Iowa,Waterloo,United States,42.4924,-92.3462,18.0,73.0,39.39548387096775,23.0,73.0,45.43032258064516,1.0,31.2,10.995223731182795
10,11,23989,51761,17758,89654,0,8,4.0,-19.3,11.0,-3.0479166666666666,46.08,100.0,84.49227777777779,1,360,219.59583333333333,0.4,9.9,3.2662500000000003,-15.9,11.1,-0.5923611111111111,2019,Iowa,Waterloo,United States,42.4924,-92.3462,-3.0,52.0,26.51375,3.0,52.0,30.93375,1.3,32.5,10.71604365
11,12,20049,47315,15489,72955,0,9,4.0,-19.9,9.5,-4.358736559139785,45.41,100.0,85.98682795698926,2,356,232.4193548387097,0.3,10.0,3.4866935483870964,-14.9,9.8,-2.2376344086021507,2019,Iowa,Waterloo,United States,42.4924,-92.3462,-4.0,49.0,24.15427419354839,5.0,50.0,27.97225806451613,1.0,32.8,11.439283661290322
